bioentity	bioentity_name	qualifier	annotation_class	annotation_extension_json	assigned_by	taxon	evidence_type	evidence_with	panther_family	type	bioentity_isoform	reference	date	bioentity_label	taxon_label	isa_partof_closure_label	regulates_closure_label	annotation_class_label	annotation_extension_class_labelannotation_extension_class_closure_label	has_participant_closure_label	term
UniProtKB:P68400	Casein kinase II subunit alpha		GO:0051879		UniProt	NCBITaxon:9606	TAS		PANTHER:PTHR24054	protein	UniProtKB:P68400	PMID:19387550	20111207	CSNK2A1	Homo sapiens	heat shock protein binding,protein binding,Hsp90 protein binding,binding,molecular_function	heat shock protein binding,protein binding,Hsp90 protein binding,binding,molecular_function	Hsp90 protein binding			heat_shock_protein_binding
UniProtKB:P53041	Serine/threonine-protein phosphatase 5		GO:0030544		Ensembl	NCBITaxon:9606	IEA	UniProtKB:P53042,ensembl:ENSRNOP00000023078	PANTHER:PTHR45668	protein	UniProtKB:P53041	GO_REF:0000107	20250313	PPP5C	Homo sapiens	heat shock protein binding,protein binding,protein-folding chaperone binding,binding,molecular_function,Hsp70 protein binding	heat shock protein binding,protein binding,protein-folding chaperone binding,binding,molecular_function,Hsp70 protein binding	Hsp70 protein binding			heat_shock_protein_binding
UniProtKB:P53041	Serine/threonine-protein phosphatase 5		GO:0031072		Ensembl	NCBITaxon:9606	IEA	UniProtKB:P53042,ensembl:ENSRNOP00000023078	PANTHER:PTHR45668	protein	UniProtKB:P53041	GO_REF:0000107	20250313	PPP5C	Homo sapiens	heat shock protein binding,protein binding,binding,molecular_function	heat shock protein binding,protein binding,binding,molecular_function	heat shock protein binding			heat_shock_protein_binding
UniProtKB:P53041	Serine/threonine-protein phosphatase 5		GO:0051879		Ensembl	NCBITaxon:9606	IEA	UniProtKB:P53042,ensembl:ENSRNOP00000023078	PANTHER:PTHR45668	protein	UniProtKB:P53041	GO_REF:0000107	20250313	PPP5C	Homo sapiens	heat shock protein binding,protein binding,Hsp90 protein binding,binding,molecular_function	heat shock protein binding,protein binding,Hsp90 protein binding,binding,molecular_function	Hsp90 protein binding			heat_shock_protein_binding
UniProtKB:P53041	Serine/threonine-protein phosphatase 5		GO:0051879		CAFA	NCBITaxon:9606	IPI	UniProtKB:P07900	PANTHER:PTHR45668	protein	UniProtKB:P53041	PMID:15713458	20170110	PPP5C	Homo sapiens	heat shock protein binding,protein binding,Hsp90 protein binding,binding,molecular_function	heat shock protein binding,protein binding,Hsp90 protein binding,binding,molecular_function	Hsp90 protein binding			heat_shock_protein_binding
UniProtKB:P53041	Serine/threonine-protein phosphatase 5		GO:0051879		CAFA	NCBITaxon:9606	IPI	UniProtKB:P08238	PANTHER:PTHR45668	protein	UniProtKB:P53041	PMID:15713458	20170110	PPP5C	Homo sapiens	heat shock protein binding,protein binding,Hsp90 protein binding,binding,molecular_function	heat shock protein binding,protein binding,Hsp90 protein binding,binding,molecular_function	Hsp90 protein binding			heat_shock_protein_binding
UniProtKB:O94966	Ubiquitin carboxyl-terminal hydrolase 19		GO:0051879		ParkinsonsUK-UCL	NCBITaxon:9606	IDA		PANTHER:PTHR21646	protein	UniProtKB:O94966	PMID:24356957	20150430	USP19	Homo sapiens	heat shock protein binding,protein binding,Hsp90 protein binding,binding,molecular_function	heat shock protein binding,protein binding,Hsp90 protein binding,binding,molecular_function	Hsp90 protein binding			heat_shock_protein_binding
UniProtKB:Q99743	Neuronal PAS domain-containing protein 2		GO:0051879		BHF-UCL	NCBITaxon:9606	IDA		PANTHER:PTHR46055	protein	UniProtKB:Q99743	PMID:9079689	20080522	NPAS2	Homo sapiens	heat shock protein binding,protein binding,Hsp90 protein binding,binding,molecular_function	heat shock protein binding,protein binding,Hsp90 protein binding,binding,molecular_function	Hsp90 protein binding			heat_shock_protein_binding
UniProtKB:P26651	mRNA decay activator protein ZFP36		GO:0031072		UniProt	NCBITaxon:9606	IDA		PANTHER:PTHR12547	protein	UniProtKB:P26651	PMID:20221403	20160803	ZFP36	Homo sapiens	heat shock protein binding,protein binding,binding,molecular_function	heat shock protein binding,protein binding,binding,molecular_function	heat shock protein binding			heat_shock_protein_binding
UniProtKB:P23396	Small ribosomal subunit protein uS3		GO:0030544	"{""relationship"": {""relation"": [{""id"": ""RO:0002092""\, ""label"": ""happens during""}]\, ""id"": ""GO:0034614""\, ""label"": ""cellular response to reactive oxygen species""}}"	UniProt	NCBITaxon:9606	IDA		PANTHER:PTHR11760	protein	UniProtKB:P23396	PMID:23911537	20200304	RPS3	Homo sapiens	heat shock protein binding,protein binding,protein-folding chaperone binding,binding,molecular_function,Hsp70 protein binding	heat shock protein binding,protein binding,protein-folding chaperone binding,binding,molecular_function,Hsp70 protein binding	Hsp70 protein binding			heat_shock_protein_binding
