bioentity	bioentity_name	qualifier	annotation_class	annotation_extension_json	assigned_by	taxon	evidence_type	evidence_with	panther_family	type	bioentity_isoform	reference	date	bioentity_label	taxon_label	isa_partof_closure_label	regulates_closure_label	annotation_class_label	annotation_extension_class_labelannotation_extension_class_closure_label	has_participant_closure_label	term
UniProtKB:Q92618	Zinc finger protein 516		GO:0120162		Ensembl	NCBITaxon:9606	IEA	UniProtKB:Q7TSH3,ensembl:ENSMUSP00000126629	PANTHER:PTHR45925	protein	UniProtKB:Q92618	GO_REF:0000107	20250313	ZNF516	Homo sapiens	biological regulation,biological_process,regulation of cellular process,positive regulation of cellular process,positive regulation of metabolic process,positive regulation of multicellular organismal process,regulation of metabolic process,regulation of cold-induced thermogenesis,positive regulation of cold-induced thermogenesis,regulation of multicellular organismal process,regulation of biological process,positive regulation of biological process	biological regulation,biological_process,positive regulation of metabolic process,metabolic process,positive regulation of biological process,cellular process,regulation of cellular process,positive regulation of cellular process,positive regulation of multicellular organismal process,homeostatic process,temperature homeostasis,multicellular organismal-level homeostasis,adaptive thermogenesis,cold-induced thermogenesis,regulation of metabolic process,regulation of cold-induced thermogenesis,positive regulation of cold-induced thermogenesis,regulation of multicellular organismal process,regulation of biological process,multicellular organismal process	positive regulation of cold-induced thermogenesis			positive_regulation_of_cold-induced_thermogenesis
UniProtKB:Q92618	Zinc finger protein 516		GO:0120162		YuBioLab	NCBITaxon:9606	ISS	UniProtKB:Q7TSH3	PANTHER:PTHR45925	protein	UniProtKB:Q92618	PMID:25578880	20180612	ZNF516	Homo sapiens	biological regulation,biological_process,regulation of cellular process,positive regulation of cellular process,positive regulation of metabolic process,positive regulation of multicellular organismal process,regulation of metabolic process,regulation of cold-induced thermogenesis,positive regulation of cold-induced thermogenesis,regulation of multicellular organismal process,regulation of biological process,positive regulation of biological process	biological regulation,biological_process,positive regulation of metabolic process,metabolic process,positive regulation of biological process,cellular process,regulation of cellular process,positive regulation of cellular process,positive regulation of multicellular organismal process,homeostatic process,temperature homeostasis,multicellular organismal-level homeostasis,adaptive thermogenesis,cold-induced thermogenesis,regulation of metabolic process,regulation of cold-induced thermogenesis,positive regulation of cold-induced thermogenesis,regulation of multicellular organismal process,regulation of biological process,multicellular organismal process	positive regulation of cold-induced thermogenesis			positive_regulation_of_cold-induced_thermogenesis
UniProtKB:Q86V24	Adiponectin receptor protein 2		GO:0120162		Ensembl	NCBITaxon:9606	IEA	UniProtKB:Q8BQS5,ensembl:ENSMUSP00000032272	PANTHER:PTHR20855	protein	UniProtKB:Q86V24	GO_REF:0000107	20250313	ADIPOR2	Homo sapiens	biological regulation,biological_process,regulation of cellular process,positive regulation of cellular process,positive regulation of metabolic process,positive regulation of multicellular organismal process,regulation of metabolic process,regulation of cold-induced thermogenesis,positive regulation of cold-induced thermogenesis,regulation of multicellular organismal process,regulation of biological process,positive regulation of biological process	biological regulation,biological_process,positive regulation of metabolic process,metabolic process,positive regulation of biological process,cellular process,regulation of cellular process,positive regulation of cellular process,positive regulation of multicellular organismal process,homeostatic process,temperature homeostasis,multicellular organismal-level homeostasis,adaptive thermogenesis,cold-induced thermogenesis,regulation of metabolic process,regulation of cold-induced thermogenesis,positive regulation of cold-induced thermogenesis,regulation of multicellular organismal process,regulation of biological process,multicellular organismal process	positive regulation of cold-induced thermogenesis			positive_regulation_of_cold-induced_thermogenesis
UniProtKB:Q86V24	Adiponectin receptor protein 2		GO:0120162		YuBioLab	NCBITaxon:9606	ISS	UniProtKB:Q8BQS5	PANTHER:PTHR20855	protein	UniProtKB:Q86V24	PMID:24531262	20180612	ADIPOR2	Homo sapiens	biological regulation,biological_process,regulation of cellular process,positive regulation of cellular process,positive regulation of metabolic process,positive regulation of multicellular organismal process,regulation of metabolic process,regulation of cold-induced thermogenesis,positive regulation of cold-induced thermogenesis,regulation of multicellular organismal process,regulation of biological process,positive regulation of biological process	biological regulation,biological_process,positive regulation of metabolic process,metabolic process,positive regulation of biological process,cellular process,regulation of cellular process,positive regulation of cellular process,positive regulation of multicellular organismal process,homeostatic process,temperature homeostasis,multicellular organismal-level homeostasis,adaptive thermogenesis,cold-induced thermogenesis,regulation of metabolic process,regulation of cold-induced thermogenesis,positive regulation of cold-induced thermogenesis,regulation of multicellular organismal process,regulation of biological process,multicellular organismal process	positive regulation of cold-induced thermogenesis			positive_regulation_of_cold-induced_thermogenesis
UniProtKB:Q99788	Chemerin-like receptor 1		GO:0120162		Ensembl	NCBITaxon:9606	IEA	UniProtKB:P97468,ensembl:ENSMUSP00000036316	PANTHER:PTHR24225	protein	UniProtKB:Q99788	GO_REF:0000107	20250313	CMKLR1	Homo sapiens	biological regulation,biological_process,regulation of cellular process,positive regulation of cellular process,positive regulation of metabolic process,positive regulation of multicellular organismal process,regulation of metabolic process,regulation of cold-induced thermogenesis,positive regulation of cold-induced thermogenesis,regulation of multicellular organismal process,regulation of biological process,positive regulation of biological process	biological regulation,biological_process,positive regulation of metabolic process,metabolic process,positive regulation of biological process,cellular process,regulation of cellular process,positive regulation of cellular process,positive regulation of multicellular organismal process,homeostatic process,temperature homeostasis,multicellular organismal-level homeostasis,adaptive thermogenesis,cold-induced thermogenesis,regulation of metabolic process,regulation of cold-induced thermogenesis,positive regulation of cold-induced thermogenesis,regulation of multicellular organismal process,regulation of biological process,multicellular organismal process	positive regulation of cold-induced thermogenesis			positive_regulation_of_cold-induced_thermogenesis
UniProtKB:Q99788	Chemerin-like receptor 1		GO:0120162		YuBioLab	NCBITaxon:9606	ISS	UniProtKB:P97468	PANTHER:PTHR24225	protein	UniProtKB:Q99788	PMID:26972253	20180612	CMKLR1	Homo sapiens	biological regulation,biological_process,regulation of cellular process,positive regulation of cellular process,positive regulation of metabolic process,positive regulation of multicellular organismal process,regulation of metabolic process,regulation of cold-induced thermogenesis,positive regulation of cold-induced thermogenesis,regulation of multicellular organismal process,regulation of biological process,positive regulation of biological process	biological regulation,biological_process,positive regulation of metabolic process,metabolic process,positive regulation of biological process,cellular process,regulation of cellular process,positive regulation of cellular process,positive regulation of multicellular organismal process,homeostatic process,temperature homeostasis,multicellular organismal-level homeostasis,adaptive thermogenesis,cold-induced thermogenesis,regulation of metabolic process,regulation of cold-induced thermogenesis,positive regulation of cold-induced thermogenesis,regulation of multicellular organismal process,regulation of biological process,multicellular organismal process	positive regulation of cold-induced thermogenesis			positive_regulation_of_cold-induced_thermogenesis
UniProtKB:O15294	UDP-N-acetylglucosamine--peptide N-acetylglucosaminyltransferase 110 kDa subunit		GO:0120162		Ensembl	NCBITaxon:9606	IEA	UniProtKB:Q8CGY8,ensembl:ENSMUSP00000045409	PANTHER:PTHR44366	protein	UniProtKB:O15294	GO_REF:0000107	20250313	OGT	Homo sapiens	biological regulation,biological_process,regulation of cellular process,positive regulation of cellular process,positive regulation of metabolic process,positive regulation of multicellular organismal process,regulation of metabolic process,regulation of cold-induced thermogenesis,positive regulation of cold-induced thermogenesis,regulation of multicellular organismal process,regulation of biological process,positive regulation of biological process	biological regulation,biological_process,positive regulation of metabolic process,metabolic process,positive regulation of biological process,cellular process,regulation of cellular process,positive regulation of cellular process,positive regulation of multicellular organismal process,homeostatic process,temperature homeostasis,multicellular organismal-level homeostasis,adaptive thermogenesis,cold-induced thermogenesis,regulation of metabolic process,regulation of cold-induced thermogenesis,positive regulation of cold-induced thermogenesis,regulation of multicellular organismal process,regulation of biological process,multicellular organismal process	positive regulation of cold-induced thermogenesis			positive_regulation_of_cold-induced_thermogenesis
UniProtKB:O15294	UDP-N-acetylglucosamine--peptide N-acetylglucosaminyltransferase 110 kDa subunit		GO:0120162		YuBioLab	NCBITaxon:9606	ISS	UniProtKB:Q8CGY8	PANTHER:PTHR44366	protein	UniProtKB:O15294	PMID:28637651	20180612	OGT	Homo sapiens	biological regulation,biological_process,regulation of cellular process,positive regulation of cellular process,positive regulation of metabolic process,positive regulation of multicellular organismal process,regulation of metabolic process,regulation of cold-induced thermogenesis,positive regulation of cold-induced thermogenesis,regulation of multicellular organismal process,regulation of biological process,positive regulation of biological process	biological regulation,biological_process,positive regulation of metabolic process,metabolic process,positive regulation of biological process,cellular process,regulation of cellular process,positive regulation of cellular process,positive regulation of multicellular organismal process,homeostatic process,temperature homeostasis,multicellular organismal-level homeostasis,adaptive thermogenesis,cold-induced thermogenesis,regulation of metabolic process,regulation of cold-induced thermogenesis,positive regulation of cold-induced thermogenesis,regulation of multicellular organismal process,regulation of biological process,multicellular organismal process	positive regulation of cold-induced thermogenesis			positive_regulation_of_cold-induced_thermogenesis
UniProtKB:Q8N6T7	NAD-dependent protein deacylase sirtuin-6		GO:0120162		UniProt	NCBITaxon:9606	ISS	UniProtKB:P59941	PANTHER:PTHR11085	protein	UniProtKB:Q8N6T7	GO_REF:0000024	20220301	SIRT6	Homo sapiens	biological regulation,biological_process,regulation of cellular process,positive regulation of cellular process,positive regulation of metabolic process,positive regulation of multicellular organismal process,regulation of metabolic process,regulation of cold-induced thermogenesis,positive regulation of cold-induced thermogenesis,regulation of multicellular organismal process,regulation of biological process,positive regulation of biological process	biological regulation,biological_process,positive regulation of metabolic process,metabolic process,positive regulation of biological process,cellular process,regulation of cellular process,positive regulation of cellular process,positive regulation of multicellular organismal process,homeostatic process,temperature homeostasis,multicellular organismal-level homeostasis,adaptive thermogenesis,cold-induced thermogenesis,regulation of metabolic process,regulation of cold-induced thermogenesis,positive regulation of cold-induced thermogenesis,regulation of multicellular organismal process,regulation of biological process,multicellular organismal process	positive regulation of cold-induced thermogenesis			positive_regulation_of_cold-induced_thermogenesis
UniProtKB:Q8N6T7	NAD-dependent protein deacylase sirtuin-6		GO:0120162		Ensembl	NCBITaxon:9606	IEA	UniProtKB:P59941,ensembl:ENSMUSP00000048971	PANTHER:PTHR11085	protein	UniProtKB:Q8N6T7	GO_REF:0000107	20250313	SIRT6	Homo sapiens	biological regulation,biological_process,regulation of cellular process,positive regulation of cellular process,positive regulation of metabolic process,positive regulation of multicellular organismal process,regulation of metabolic process,regulation of cold-induced thermogenesis,positive regulation of cold-induced thermogenesis,regulation of multicellular organismal process,regulation of biological process,positive regulation of biological process	biological regulation,biological_process,positive regulation of metabolic process,metabolic process,positive regulation of biological process,cellular process,regulation of cellular process,positive regulation of cellular process,positive regulation of multicellular organismal process,homeostatic process,temperature homeostasis,multicellular organismal-level homeostasis,adaptive thermogenesis,cold-induced thermogenesis,regulation of metabolic process,regulation of cold-induced thermogenesis,positive regulation of cold-induced thermogenesis,regulation of multicellular organismal process,regulation of biological process,multicellular organismal process	positive regulation of cold-induced thermogenesis			positive_regulation_of_cold-induced_thermogenesis
