bioentity	bioentity_name	qualifier	annotation_class	annotation_extension_json	assigned_by	taxon	evidence_type	evidence_with	panther_family	type	bioentity_isoform	reference	date	bioentity_label	taxon_label	isa_partof_closure_label	regulates_closure_label	annotation_class_label	annotation_extension_class_labelannotation_extension_class_closure_label	has_participant_closure_label	term
UniProtKB:Q99543	DnaJ homolog subfamily C member 2		GO:1900034		Reactome	NCBITaxon:9606	TAS		PANTHER:PTHR43999	protein	UniProtKB:Q99543	Reactome:R-HSA-3371453	20241117	DNAJC2	Homo sapiens	biological regulation,biological_process,regulation of response to stimulus,regulation of cellular process,regulation of cellular response to heat,regulation of response to stress,regulation of cellular response to stress,regulation of biological process	biological regulation,biological_process,response to temperature stimulus,regulation of cellular response to heat,regulation of response to stress,regulation of cellular response to stress,response to stress,cellular process,regulation of response to stimulus,response to heat,response to abiotic stimulus,cellular response to heat,regulation of cellular process,cellular response to stimulus,cellular response to stress,regulation of biological process,response to stimulus	regulation of cellular response to heat			regulation_of_cellular_response_to_heat
UniProtKB:Q92793	CREB-binding protein		GO:1900034		UniProt	NCBITaxon:9606	IEA	ARBA:ARBA00092510	PANTHER:PTHR13808	protein	UniProtKB:Q92793	GO_REF:0000117	20250428	CREBBP	Homo sapiens	biological regulation,biological_process,regulation of response to stimulus,regulation of cellular process,regulation of cellular response to heat,regulation of response to stress,regulation of cellular response to stress,regulation of biological process	biological regulation,biological_process,response to temperature stimulus,regulation of cellular response to heat,regulation of response to stress,regulation of cellular response to stress,response to stress,cellular process,regulation of response to stimulus,response to heat,response to abiotic stimulus,cellular response to heat,regulation of cellular process,cellular response to stimulus,cellular response to stress,regulation of biological process,response to stimulus	regulation of cellular response to heat			regulation_of_cellular_response_to_heat
UniProtKB:Q92793	CREB-binding protein		GO:1900034		Reactome	NCBITaxon:9606	TAS		PANTHER:PTHR13808	protein	UniProtKB:Q92793	Reactome:R-HSA-3371571	20241117	CREBBP	Homo sapiens	biological regulation,biological_process,regulation of response to stimulus,regulation of cellular process,regulation of cellular response to heat,regulation of response to stress,regulation of cellular response to stress,regulation of biological process	biological regulation,biological_process,response to temperature stimulus,regulation of cellular response to heat,regulation of response to stress,regulation of cellular response to stress,response to stress,cellular process,regulation of response to stimulus,response to heat,response to abiotic stimulus,cellular response to heat,regulation of cellular process,cellular response to stimulus,cellular response to stress,regulation of biological process,response to stimulus	regulation of cellular response to heat			regulation_of_cellular_response_to_heat
UniProtKB:Q13315	Serine-protein kinase ATM		GO:1900034		Reactome	NCBITaxon:9606	TAS		PANTHER:PTHR11139	protein	UniProtKB:Q13315	Reactome:R-HSA-3371453	20230308	ATM	Homo sapiens	biological regulation,biological_process,regulation of response to stimulus,regulation of cellular process,regulation of cellular response to heat,regulation of response to stress,regulation of cellular response to stress,regulation of biological process	biological regulation,biological_process,response to temperature stimulus,regulation of cellular response to heat,regulation of response to stress,regulation of cellular response to stress,response to stress,cellular process,regulation of response to stimulus,response to heat,response to abiotic stimulus,cellular response to heat,regulation of cellular process,cellular response to stimulus,cellular response to stress,regulation of biological process,response to stimulus	regulation of cellular response to heat			regulation_of_cellular_response_to_heat
UniProtKB:Q13535	Serine/threonine-protein kinase ATR		GO:1900034		Reactome	NCBITaxon:9606	TAS		PANTHER:PTHR11139	protein	UniProtKB:Q13535	Reactome:R-HSA-3371453	20230308	ATR	Homo sapiens	biological regulation,biological_process,regulation of response to stimulus,regulation of cellular process,regulation of cellular response to heat,regulation of response to stress,regulation of cellular response to stress,regulation of biological process	biological regulation,biological_process,response to temperature stimulus,regulation of cellular response to heat,regulation of response to stress,regulation of cellular response to stress,response to stress,cellular process,regulation of response to stimulus,response to heat,response to abiotic stimulus,cellular response to heat,regulation of cellular process,cellular response to stimulus,cellular response to stress,regulation of biological process,response to stimulus	regulation of cellular response to heat			regulation_of_cellular_response_to_heat
UniProtKB:O75190	DnaJ homolog subfamily B member 6		GO:1900034		Reactome	NCBITaxon:9606	TAS		PANTHER:PTHR43948	protein	UniProtKB:O75190	Reactome:R-HSA-3371453	20241117	DNAJB6	Homo sapiens	biological regulation,biological_process,regulation of response to stimulus,regulation of cellular process,regulation of cellular response to heat,regulation of response to stress,regulation of cellular response to stress,regulation of biological process	biological regulation,biological_process,response to temperature stimulus,regulation of cellular response to heat,regulation of response to stress,regulation of cellular response to stress,response to stress,cellular process,regulation of response to stimulus,response to heat,response to abiotic stimulus,cellular response to heat,regulation of cellular process,cellular response to stimulus,cellular response to stress,regulation of biological process,response to stimulus	regulation of cellular response to heat			regulation_of_cellular_response_to_heat
UniProtKB:P49841	Glycogen synthase kinase-3 beta		GO:1900034		Reactome	NCBITaxon:9606	TAS		PANTHER:PTHR24057	protein	UniProtKB:P49841	Reactome:R-HSA-3371453	20241117	GSK3B	Homo sapiens	biological regulation,biological_process,regulation of response to stimulus,regulation of cellular process,regulation of cellular response to heat,regulation of response to stress,regulation of cellular response to stress,regulation of biological process	biological regulation,biological_process,response to temperature stimulus,regulation of cellular response to heat,regulation of response to stress,regulation of cellular response to stress,response to stress,cellular process,regulation of response to stimulus,response to heat,response to abiotic stimulus,cellular response to heat,regulation of cellular process,cellular response to stimulus,cellular response to stress,regulation of biological process,response to stimulus	regulation of cellular response to heat			regulation_of_cellular_response_to_heat
UniProtKB:Q5VY09	Immediate early response gene 5 protein		GO:1900036		UniProt	NCBITaxon:9606	IMP		PANTHER:PTHR15895	protein	UniProtKB:Q5VY09	PMID:26496226	20170106	IER5	Homo sapiens	biological regulation,positive regulation of response to stimulus,biological_process,regulation of response to stimulus,regulation of cellular process,positive regulation of cellular process,regulation of cellular response to heat,positive regulation of cellular response to heat,regulation of response to stress,regulation of cellular response to stress,regulation of biological process,positive regulation of biological process	biological regulation,biological_process,response to temperature stimulus,regulation of cellular response to heat,positive regulation of cellular response to heat,regulation of response to stress,regulation of cellular response to stress,positive regulation of biological process,response to stress,cellular process,positive regulation of response to stimulus,regulation of response to stimulus,response to abiotic stimulus,response to heat,regulation of cellular process,cellular response to heat,positive regulation of cellular process,cellular response to stimulus,cellular response to stress,regulation of biological process,response to stimulus	positive regulation of cellular response to heat			regulation_of_cellular_response_to_heat
UniProtKB:Q9UHD1	Cysteine and histidine-rich domain-containing protein 1		GO:1900034		UniProt	NCBITaxon:9606	ISS	UniProtKB:Q9D1P4	PANTHER:PTHR12621	protein	UniProtKB:Q9UHD1	GO_REF:0000024	20130702	CHORDC1	Homo sapiens	biological regulation,biological_process,regulation of response to stimulus,regulation of cellular process,regulation of cellular response to heat,regulation of response to stress,regulation of cellular response to stress,regulation of biological process	biological regulation,biological_process,response to temperature stimulus,regulation of cellular response to heat,regulation of response to stress,regulation of cellular response to stress,response to stress,cellular process,regulation of response to stimulus,response to heat,response to abiotic stimulus,cellular response to heat,regulation of cellular process,cellular response to stimulus,cellular response to stress,regulation of biological process,response to stimulus	regulation of cellular response to heat			regulation_of_cellular_response_to_heat
UniProtKB:Q9UHD1	Cysteine and histidine-rich domain-containing protein 1		GO:1900034		Ensembl	NCBITaxon:9606	IEA	UniProtKB:Q9D1P4,ensembl:ENSMUSP00000001825	PANTHER:PTHR12621	protein	UniProtKB:Q9UHD1	GO_REF:0000107	20250313	CHORDC1	Homo sapiens	biological regulation,biological_process,regulation of response to stimulus,regulation of cellular process,regulation of cellular response to heat,regulation of response to stress,regulation of cellular response to stress,regulation of biological process	biological regulation,biological_process,response to temperature stimulus,regulation of cellular response to heat,regulation of response to stress,regulation of cellular response to stress,response to stress,cellular process,regulation of response to stimulus,response to heat,response to abiotic stimulus,cellular response to heat,regulation of cellular process,cellular response to stimulus,cellular response to stress,regulation of biological process,response to stimulus	regulation of cellular response to heat			regulation_of_cellular_response_to_heat
