disease_msh	numCTs	pathway_name	gene_symbol	num_genes	disease_cui	year_final	numDiseasesAssociatedToGene	pathway_id	score	disease_prevalence_class	geneEnsemblIDs	disease_prevalence_type	disease_name	disease_hpo	dpi	num_var_dis	disease_inheritance	ei	disease_type	disease_do	el	numVariantsAssociatedToGene	gp_class_names	pli	num_variants	geneDescription	year_initial	numberChemsIncludedInEvidence	num_pmids_evid	num_pmid_assoc	gene_ncbi	gene_type	genep_str_ids	dsi	disease_umls	disease_prevalence_geo_area
Pathological Conditions, Signs and Symptoms;Respiratory Tract Diseases	8	Hemostasis,Immune System,Metabolism of proteins,Vesicle-mediated transport	SERPINA1	102	C0024117	2018	44	R-HSA-109582,R-HSA-168256,R-HSA-392499,R-HSA-5653656	1.0		ENSG00000197249		Chronic Obstructive Airway Disease	Abnormality of the respiratory system (02086)	0.91	2		0.9148936170212766	disease	disease of anatomical entity (7)		170	Enzyme modulator	8.1899E-7	789	serpin family A member 1	1991		3	25	5265	protein-coding	P01009	0.34	Disease or Syndrome (T047)	
Pathological Conditions, Signs and Symptoms;Respiratory Tract Diseases	88	Signal Transduction,Disease,Immune System,Metabolism of proteins,Gene expression (Transcription),Cellular responses to stimuli	IL6	102	C0024117	2019	210	R-HSA-162582,R-HSA-1643685,R-HSA-168256,R-HSA-392499,R-HSA-74160,R-HSA-8953897	1.0		ENSG00000136244		Chronic Obstructive Airway Disease	Abnormality of the respiratory system (02086)	1.0	0		0.8695652173913043	disease	disease of anatomical entity (7)		7		0.19935	789	interleukin 6	2017		20	3	3569	protein-coding	P05231	0.23	Disease or Syndrome (T047)	
Pathological Conditions, Signs and Symptoms;Respiratory Tract Diseases	0	Signal Transduction	FAM13A	102	C0024117	2017	7	R-HSA-162582	1.0		ENSG00000138640		Chronic Obstructive Airway Disease	Abnormality of the respiratory system (02086)	0.83	15		0.9666666666666667	disease	disease of anatomical entity (7)		103		6.1935E-10	789	family with sequence similarity 13 member A	2010		1	2	10144	protein-coding	O94988	0.58	Disease or Syndrome (T047)	
Pathological Conditions, Signs and Symptoms;Respiratory Tract Diseases	70		TNF	102	C0024117	2018	310		1.0		ENSG00000232810		Chronic Obstructive Airway Disease	Abnormality of the respiratory system (02086)	1.0	0		0.8103448275862069	disease	disease of anatomical entity (7)		9	Signaling	0.85687	789	tumor necrosis factor	2004		20	2	7124	protein-coding	P01375	0.23	Disease or Syndrome (T047)	
Pathological Conditions, Signs and Symptoms;Respiratory Tract Diseases	0	Metabolism,Disease,Immune System,Transport of small molecules,Cellular responses to stimuli,Protein localization	HMOX1	102	C0024117	2006	84	R-HSA-1430728,R-HSA-1643685,R-HSA-168256,R-HSA-382551,R-HSA-8953897,R-HSA-9609507	1.0		ENSG00000100292		Chronic Obstructive Airway Disease	Abnormality of the respiratory system (02086)	0.91	1		0.92	disease	disease of anatomical entity (7)	Limited	8		3.3466E-7	789	heme oxygenase 1	2000		0	2	3162	protein-coding	P09601	0.36	Disease or Syndrome (T047)	
Pathological Conditions, Signs and Symptoms;Respiratory Tract Diseases	2	Extracellular matrix organization	ELN	102	C0024117	2014	60	R-HSA-1474244	1.0		ENSG00000049540		Chronic Obstructive Airway Disease	Abnormality of the respiratory system (02086)	0.91	1		0.9166666666666666	disease	disease of anatomical entity (7)		452		7.2698E-10	789	elastin	2014		2	1	2006	protein-coding	P15502	0.39	Disease or Syndrome (T047)	
Pathological Conditions, Signs and Symptoms;Respiratory Tract Diseases	10	Cell-Cell communication,Disease,Immune System,Metabolism of proteins	SFTPD	102	C0024117	2017	11	R-HSA-1500931,R-HSA-1643685,R-HSA-168256,R-HSA-392499	1.0		ENSG00000133661		Chronic Obstructive Airway Disease	Abnormality of the respiratory system (02086)	0.83	3		0.9	disease	disease of anatomical entity (7)		5	Surfactant	0.020325	789	surfactant protein D	2017		3	1	6441	protein-coding	P35247	0.47	Disease or Syndrome (T047)	
Pathological Conditions, Signs and Symptoms;Respiratory Tract Diseases	125	Immune System	CRP	102	C0024117	2018	65	R-HSA-168256	1.0		ENSG00000132693		Chronic Obstructive Airway Disease	Abnormality of the respiratory system (02086)	1.0	0		0.8713450292397661	disease	disease of anatomical entity (7)		1		5.414E-4	789	C-reactive protein	2018		25	1	1401	protein-coding	P02741	0.25	Disease or Syndrome (T047)	
Pathological Conditions, Signs and Symptoms;Respiratory Tract Diseases	2	Neuronal System	CHRNA3	102	C0024117		26	R-HSA-112316	1.0		ENSG00000080644		Chronic Obstructive Airway Disease	Abnormality of the respiratory system (02086)	0.91	5		0.9714285714285714	disease	disease of anatomical entity (7)		67	Ion channel	2.6717E-10	789	cholinergic receptor nicotinic alpha 3 subunit			1	0	1136	protein-coding	P32297	0.51	Disease or Syndrome (T047)	
Pathological Conditions, Signs and Symptoms;Respiratory Tract Diseases	5	Hemostasis,Developmental Biology,Extracellular matrix organization,Signal Transduction,Disease,Immune System,Metabolism of proteins,Gene expression (Transcription)	TGFB1	102	C0024117	2019	135	R-HSA-109582,R-HSA-1266738,R-HSA-1474244,R-HSA-162582,R-HSA-1643685,R-HSA-168256,R-HSA-392499,R-HSA-74160	0.95		ENSG00000105329		Chronic Obstructive Airway Disease	Abnormality of the respiratory system (02086)	0.96	0		0.8526315789473684	disease	disease of anatomical entity (7)		47	Signaling	0.025965	789	transforming growth factor beta 1	2006		2	2	7040	protein-coding	P01137	0.26	Disease or Syndrome (T047)	
