disease_msh	numCTs	pathway_name	gene_symbol	num_genes	disease_cui	year_final	numDiseasesAssociatedToGene	pathway_id	score	disease_prevalence_class	geneEnsemblIDs	disease_prevalence_type	disease_name	disease_hpo	dpi	num_var_dis	disease_inheritance	ei	disease_type	disease_do	el	numVariantsAssociatedToGene	gp_class_names	pli	num_variants	geneDescription	year_initial	numberChemsIncludedInEvidence	num_pmids_evid	num_pmid_assoc	gene_ncbi	gene_type	genep_str_ids	dsi	disease_umls	disease_prevalence_geo_area
Cardiovascular Diseases;Pathological Conditions, Signs and Symptoms	2	Metabolism of proteins	ACE	175	C0027051	1993	123	R-HSA-392499	1.0		ENSG00000159640		Myocardial Infarction	Abnormality of the cardiovascular system (01626)	0.96	0		0.8104089219330854	disease	disease of anatomical entity (7)		207	Enzyme	5.7955E-32	486	angiotensin I converting enzyme	1992		8	2	1636	protein-coding	P12821	0.33	Disease or Syndrome (T047)	
Cardiovascular Diseases;Pathological Conditions, Signs and Symptoms	2	Hemostasis,Metabolism,Signal Transduction,Immune System,Cellular responses to stimuli	NOS3	175	C0027051	2006	125	R-HSA-109582,R-HSA-1430728,R-HSA-162582,R-HSA-168256,R-HSA-8953897	1.0		ENSG00000164867		Myocardial Infarction	Abnormality of the cardiovascular system (01626)	0.96	1		0.8160919540229885	disease	disease of anatomical entity (7)		17		2.4053E-25	486	nitric oxide synthase 3	1999		9	2	4846	protein-coding	P29474	0.36	Disease or Syndrome (T047)	
Cardiovascular Diseases;Pathological Conditions, Signs and Symptoms	17	Disease,Immune System	IL10	175	C0027051	2006	127	R-HSA-1643685,R-HSA-168256	1.0		ENSG00000136634		Myocardial Infarction	Abnormality of the cardiovascular system (01626)	1.0	0		0.8333333333333334	disease	disease of anatomical entity (7)		50		0.48334	486	interleukin 10	2005		2	2	3586	protein-coding	P22301	0.27	Disease or Syndrome (T047)	
Cardiovascular Diseases;Pathological Conditions, Signs and Symptoms	4	Metabolism of proteins,Muscle contraction,Gene expression (Transcription)	NPPA	175	C0027051	2002	57	R-HSA-392499,R-HSA-397014,R-HSA-74160	1.0		ENSG00000175206		Myocardial Infarction	Abnormality of the cardiovascular system (01626)	0.91	0		0.76	disease	disease of anatomical entity (7)		82		0.0013161	486	natriuretic peptide A	1998		5	2	4878	protein-coding	P01160	0.42	Disease or Syndrome (T047)	
Cardiovascular Diseases;Pathological Conditions, Signs and Symptoms	5	Hemostasis,Developmental Biology,Extracellular matrix organization,Signal Transduction,Disease,Immune System,Metabolism of proteins,Gene expression (Transcription)	TGFB1	175	C0027051	2006	135	R-HSA-109582,R-HSA-1266738,R-HSA-1474244,R-HSA-162582,R-HSA-1643685,R-HSA-168256,R-HSA-392499,R-HSA-74160	1.0		ENSG00000105329		Myocardial Infarction	Abnormality of the cardiovascular system (01626)	0.96	2		0.9122807017543859	disease	disease of anatomical entity (7)		47	Signaling	0.025965	486	transforming growth factor beta 1	2006		6	1	7040	protein-coding	P01137	0.26	Disease or Syndrome (T047)	
Cardiovascular Diseases;Pathological Conditions, Signs and Symptoms	0	Metabolism,Signal Transduction,Transport of small molecules,Metabolism of proteins,Vesicle-mediated transport,Gene expression (Transcription),Sensory Perception	APOE	175	C0027051	2000	100	R-HSA-1430728,R-HSA-162582,R-HSA-382551,R-HSA-392499,R-HSA-5653656,R-HSA-74160,R-HSA-9709957	1.0		ENSG00000130203		Myocardial Infarction	Abnormality of the cardiovascular system (01626)	0.96	2		0.8522727272727273	disease	disease of anatomical entity (7)		46		2.5529E-4	486	apolipoprotein E	2000		4	1	348	protein-coding	P02649	0.32	Disease or Syndrome (T047)	
Cardiovascular Diseases;Pathological Conditions, Signs and Symptoms	81		NPPB	175	C0027051		40		1.0		ENSG00000120937		Myocardial Infarction	Abnormality of the cardiovascular system (01626)	0.96	0		0.8378378378378378	disease	disease of anatomical entity (7)		1		1.8925E-5	486	natriuretic peptide B			9	0	4879	protein-coding	P16860	0.36	Disease or Syndrome (T047)	
Cardiovascular Diseases;Pathological Conditions, Signs and Symptoms	0	Developmental Biology,Metabolism,Transport of small molecules,Gene expression (Transcription),Sensory Perception	LPL	175	C0027051		39	R-HSA-1266738,R-HSA-1430728,R-HSA-382551,R-HSA-74160,R-HSA-9709957	1.0		ENSG00000175445		Myocardial Infarction	Abnormality of the cardiovascular system (01626)	0.87	0		0.9142857142857143	disease	disease of anatomical entity (7)		249	Enzyme	3.0524E-12	486	lipoprotein lipase			2	0	4023	protein-coding	P06858	0.44	Disease or Syndrome (T047)	
Cardiovascular Diseases;Pathological Conditions, Signs and Symptoms	1	Hemostasis,Signal Transduction	PLAT	175	C0027051	2010	92	R-HSA-109582,R-HSA-162582	0.95		ENSG00000104368		Myocardial Infarction	Abnormality of the cardiovascular system (01626)	0.96	0		0.8961038961038961	disease	disease of anatomical entity (7)		6	Enzyme	5.9432E-7	486	plasminogen activator, tissue type	1986		8	34	5327	protein-coding	P00750	0.38	Disease or Syndrome (T047)	
Cardiovascular Diseases;Pathological Conditions, Signs and Symptoms	8	Immune System,Vesicle-mediated transport	HP	175	C0027051	2007	52	R-HSA-168256,R-HSA-5653656	0.95		ENSG00000257017		Myocardial Infarction	Abnormality of the cardiovascular system (01626)	0.96	0		0.9	disease	disease of anatomical entity (7)		3			486	haptoglobin	2006		3	3	3240	protein-coding	P00738	0.33	Disease or Syndrome (T047)	
Cardiovascular Diseases;Pathological Conditions, Signs and Symptoms	51	Signal Transduction,Disease,Immune System,Metabolism of proteins,Gene expression (Transcription),Cellular responses to stimuli	IL6	175	C0027051	2006	210	R-HSA-162582,R-HSA-1643685,R-HSA-168256,R-HSA-392499,R-HSA-74160,R-HSA-8953897	0.95		ENSG00000136244		Myocardial Infarction	Abnormality of the cardiovascular system (01626)	1.0	0		0.8646616541353384	disease	disease of anatomical entity (7)		7		0.19935	486	interleukin 6	2005		12	2	3569	protein-coding	P05231	0.23	Disease or Syndrome (T047)	
Cardiovascular Diseases;Pathological Conditions, Signs and Symptoms	10	Developmental Biology,Extracellular matrix organization,Signal Transduction,Immune System	MMP9	175	C0027051	2013	107	R-HSA-1266738,R-HSA-1474244,R-HSA-162582,R-HSA-168256	0.95		ENSG00000100985		Myocardial Infarction	Abnormality of the cardiovascular system (01626)	0.96	0		0.8918918918918919	disease	disease of anatomical entity (7)		40	Enzyme	3.7082E-25	486	matrix metallopeptidase 9	2006		5	2	4318	protein-coding	P14780	0.29	Disease or Syndrome (T047)	
Cardiovascular Diseases;Pathological Conditions, Signs and Symptoms	1	Hemostasis,Immune System	OLR1	175	C0027051	2003	20	R-HSA-109582,R-HSA-168256	0.95		ENSG00000173391		Myocardial Infarction	Abnormality of the cardiovascular system (01626)	0.83	0		0.8888888888888888	disease	disease of anatomical entity (7)		2		4.9309E-6	486	oxidized low density lipoprotein receptor 1	2003		0	2	4973	protein-coding	P78380	0.49	Disease or Syndrome (T047)	
Cardiovascular Diseases;Pathological Conditions, Signs and Symptoms	2	Metabolism,Signal Transduction,Metabolism of proteins	AGT	175	C0027051	2006	106	R-HSA-1430728,R-HSA-162582,R-HSA-392499	0.95		ENSG00000135744		Myocardial Infarction	Abnormality of the cardiovascular system (01626)	0.96	0		0.8421052631578947	disease	disease of anatomical entity (7)		95	Enzyme modulator	1.6654E-8	486	angiotensinogen	1991		6	2	183	protein-coding	P01019	0.36	Disease or Syndrome (T047)	
Cardiovascular Diseases;Pathological Conditions, Signs and Symptoms	31	Muscle contraction	TNNI3	175	C0027051	2002	28	R-HSA-397014	0.95		ENSG00000129991		Myocardial Infarction	Abnormality of the cardiovascular system (01626)	0.87	0		0.8796992481203008	disease	disease of anatomical entity (7)		393	Cellular structure	6.4921E-7	486	troponin I3, cardiac type	2002		4	1	7137	protein-coding	P19429	0.45	Disease or Syndrome (T047)	
