disease_msh	numCTs	pathway_name	gene_symbol	num_genes	disease_cui	year_final	numDiseasesAssociatedToGene	pathway_id	score	disease_prevalence_class	geneEnsemblIDs	disease_prevalence_type	disease_name	disease_hpo	dpi	num_var_dis	disease_inheritance	ei	disease_type	disease_do	el	numVariantsAssociatedToGene	gp_class_names	pli	num_variants	geneDescription	year_initial	numberChemsIncludedInEvidence	num_pmids_evid	num_pmid_assoc	gene_ncbi	gene_type	genep_str_ids	dsi	disease_umls	disease_prevalence_geo_area
Cardiovascular Diseases;Pathological Conditions, Signs and Symptoms;Nervous System Diseases	1	Metabolism of proteins	ACE	51	C0007785		123	R-HSA-392499	0.9		ENSG00000159640		Cerebral Infarction		0.96	0		0.7	disease	disease of anatomical entity (7)		207	Enzyme	5.7955E-32	0	angiotensin I converting enzyme			0	0	1636	protein-coding	P12821	0.33	Disease or Syndrome (T047)	
Cardiovascular Diseases;Pathological Conditions, Signs and Symptoms;Nervous System Diseases	19		TNF	51	C0007785		310		0.9		ENSG00000232810		Cerebral Infarction		1.0	0		0.9259259259259259	disease	disease of anatomical entity (7)		9	Signaling	0.85687	0	tumor necrosis factor			6	0	7124	protein-coding	P01375	0.23	Disease or Syndrome (T047)	
Cardiovascular Diseases;Pathological Conditions, Signs and Symptoms;Nervous System Diseases	2	Hemostasis,Signal Transduction	PLAT	51	C0007785	2008	92	R-HSA-109582,R-HSA-162582	0.85		ENSG00000104368		Cerebral Infarction		0.96	0		1.0	disease	disease of anatomical entity (7)		6	Enzyme	5.9432E-7	0	plasminogen activator, tissue type	1991		3	6	5327	protein-coding	P00750	0.38	Disease or Syndrome (T047)	
Cardiovascular Diseases;Pathological Conditions, Signs and Symptoms;Nervous System Diseases	16	Developmental Biology,Extracellular matrix organization,Signal Transduction,Immune System	MMP9	51	C0007785	2006	107	R-HSA-1266738,R-HSA-1474244,R-HSA-162582,R-HSA-168256	0.85		ENSG00000100985		Cerebral Infarction		0.96	0		0.9393939393939394	disease	disease of anatomical entity (7)		40	Enzyme	3.7082E-25	0	matrix metallopeptidase 9	2006		7	1	4318	protein-coding	P14780	0.29	Disease or Syndrome (T047)	
Cardiovascular Diseases;Pathological Conditions, Signs and Symptoms;Nervous System Diseases	0	Hemostasis,Signal Transduction,Disease,Immune System,Metabolism of proteins	F2	51	C0007785		65	R-HSA-109582,R-HSA-162582,R-HSA-1643685,R-HSA-168256,R-HSA-392499	0.8		ENSG00000180210		Cerebral Infarction		0.91	0		0.8461538461538461	disease	disease of anatomical entity (7)		100			0	coagulation factor II, thrombin			1	0	2147	protein-coding	P00734	0.38	Disease or Syndrome (T047)	
Cardiovascular Diseases;Pathological Conditions, Signs and Symptoms;Nervous System Diseases	0	Metabolism,Signal Transduction,Transport of small molecules,Metabolism of proteins,Vesicle-mediated transport,Gene expression (Transcription),Sensory Perception	APOE	51	C0007785		100	R-HSA-1430728,R-HSA-162582,R-HSA-382551,R-HSA-392499,R-HSA-5653656,R-HSA-74160,R-HSA-9709957	0.8		ENSG00000130203		Cerebral Infarction		0.96	0		0.8518518518518519	disease	disease of anatomical entity (7)		46		2.5529E-4	0	apolipoprotein E			0	0	348	protein-coding	P02649	0.32	Disease or Syndrome (T047)	
Cardiovascular Diseases;Pathological Conditions, Signs and Symptoms;Nervous System Diseases	2	Developmental Biology,Extracellular matrix organization,Signal Transduction,Immune System,Metabolism of proteins	MMP2	51	C0007785	2006	73	R-HSA-1266738,R-HSA-1474244,R-HSA-162582,R-HSA-168256,R-HSA-392499	0.75		ENSG00000087245		Cerebral Infarction		0.91	0		1.0	disease	disease of anatomical entity (7)		83	Enzyme	6.2654E-5	0	matrix metallopeptidase 2	2006		1	1	4313	protein-coding	P08253	0.32	Disease or Syndrome (T047)	
Cardiovascular Diseases;Pathological Conditions, Signs and Symptoms;Nervous System Diseases	0	Hemostasis,Metabolism of proteins,Vesicle-mediated transport	F5	51	C0007785		40	R-HSA-109582,R-HSA-392499,R-HSA-5653656	0.75		ENSG00000198734		Cerebral Infarction		0.91	0		1.0	disease	disease of anatomical entity (7)		302			0	coagulation factor V			0	0	2153	protein-coding	P12259	0.4	Disease or Syndrome (T047)	
Cardiovascular Diseases;Pathological Conditions, Signs and Symptoms;Nervous System Diseases	0	Metabolism	MTHFR	51	C0007785		212	R-HSA-1430728	0.75		ENSG00000177000		Cerebral Infarction		0.91	0		0.7777777777777778	disease	disease of anatomical entity (7)		346		1.0185E-11	0	methylenetetrahydrofolate reductase			2	0	4524	protein-coding	P42898	0.33	Disease or Syndrome (T047)	
Cardiovascular Diseases;Pathological Conditions, Signs and Symptoms;Nervous System Diseases	0	Signal Transduction,Disease	NTRK2	51	C0007785		43	R-HSA-162582,R-HSA-1643685	0.7		ENSG00000148053		Cerebral Infarction		0.91	0		0.75	disease	disease of anatomical entity (7)		47	Kinase	1.0	0	neurotrophic receptor tyrosine kinase 2			1	0	4915	protein-coding	Q16620	0.41	Disease or Syndrome (T047)	
