disease_msh	numCTs	pathway_name	gene_symbol	num_genes	disease_cui	year_final	numDiseasesAssociatedToGene	pathway_id	score	disease_prevalence_class	geneEnsemblIDs	disease_prevalence_type	disease_name	disease_hpo	dpi	num_var_dis	disease_inheritance	ei	disease_type	disease_do	el	numVariantsAssociatedToGene	gp_class_names	pli	num_variants	geneDescription	year_initial	numberChemsIncludedInEvidence	num_pmids_evid	num_pmid_assoc	gene_ncbi	gene_type	genep_str_ids	dsi	disease_umls	disease_prevalence_geo_area
	1		TNF	15	C0018843	2013	310		0.75		ENSG00000232810		Heat Stroke		1.0	0		1.0	disease			9	Signaling	0.85687	0	tumor necrosis factor	2006		3	2	7124	protein-coding	P01375	0.23	Injury or Poisoning (T037)	
	1	Disease,Immune System,Programmed Cell Death	IL1B	15	C0018843	2013	164	R-HSA-1643685,R-HSA-168256,R-HSA-5357801	0.75		ENSG00000125538		Heat Stroke		1.0	0		0.8333333333333334	disease			4		0.48761	0	interleukin 1 beta	2013		2	1	3553	protein-coding	P01584	0.27	Injury or Poisoning (T037)	
	1	Signal Transduction,Disease,Immune System,Metabolism of proteins,Gene expression (Transcription),Cellular responses to stimuli	IL6	15	C0018843	2013	210	R-HSA-162582,R-HSA-1643685,R-HSA-168256,R-HSA-392499,R-HSA-74160,R-HSA-8953897	0.75		ENSG00000136244		Heat Stroke		1.0	0		0.8333333333333334	disease			7		0.19935	0	interleukin 6	2013		2	1	3569	protein-coding	P05231	0.23	Injury or Poisoning (T037)	
	0	Disease,Immune System	IL10	15	C0018843	2013	127	R-HSA-1643685,R-HSA-168256	0.65		ENSG00000136634		Heat Stroke		1.0	0		1.0	disease			50		0.48334	0	interleukin 10	2013		0	1	3586	protein-coding	P22301	0.27	Injury or Poisoning (T037)	
	0	Disease,Immune System,Programmed Cell Death,Cellular responses to stimuli	IL1A	15	C0018843	2013	71	R-HSA-1643685,R-HSA-168256,R-HSA-5357801,R-HSA-8953897	0.45		ENSG00000115008		Heat Stroke		0.91	0		1.0	disease			2		0.060574	0	interleukin 1 alpha	2013		0	1	3552	protein-coding	P01583	0.39	Injury or Poisoning (T037)	
	0	Signal Transduction,Immune System,Gene expression (Transcription),Cellular responses to stimuli	FOS	15	C0018843	2013	32	R-HSA-162582,R-HSA-168256,R-HSA-74160,R-HSA-8953897	0.4		ENSG00000170345		Heat Stroke		0.91	0		1.0	disease			1	Transcription factor	0.8667	0	Fos proto-oncogene, AP-1 transcription factor subunit	2013		0	1	2353	protein-coding	P01100	0.37	Injury or Poisoning (T037)	
	0	Immune System	RELB	15	C0018843	2013	3	R-HSA-168256	0.4		ENSG00000104856		Heat Stroke		0.83	0		1.0	disease			25	Transcription factor	0.9693	0	RELB proto-oncogene, NF-kB subunit	2013		0	1	5971	protein-coding	Q01201	0.52	Injury or Poisoning (T037)	
	0	Developmental Biology,Signal Transduction,Disease,Immune System,Gene expression (Transcription),Cellular responses to stimuli	JUN	15	C0018843	2013	30	R-HSA-1266738,R-HSA-162582,R-HSA-1643685,R-HSA-168256,R-HSA-74160,R-HSA-8953897	0.4		ENSG00000177606		Heat Stroke		0.96	0		1.0	disease			1	Transcription factor	0.46638	0	Jun proto-oncogene, AP-1 transcription factor subunit	2013		0	1	3725	protein-coding	P05412	0.39	Injury or Poisoning (T037)	
	0	Developmental Biology,Signal Transduction,Disease,Immune System,Chromatin organization,Gene expression (Transcription),Cellular responses to stimuli	NFKB1	15	C0018843	2013	28	R-HSA-1266738,R-HSA-162582,R-HSA-1643685,R-HSA-168256,R-HSA-4839726,R-HSA-74160,R-HSA-8953897	0.4		ENSG00000109320		Heat Stroke		0.96	0		1.0	disease			82	Transcription factor	1.0	0	nuclear factor kappa B subunit 1	2013		0	1	4790	protein-coding	P19838	0.31	Injury or Poisoning (T037)	
	0	Immune System	REL	15	C0018843	2013	8	R-HSA-168256	0.4		ENSG00000162924		Heat Stroke		0.91	0		1.0	disease			10	Transcription factor	0.99917	0	REL proto-oncogene, NF-kB subunit	2013		0	1	5966	protein-coding	Q04864	0.5	Injury or Poisoning (T037)	
	0	Metabolism of proteins	ALPL	15	C0018843	2006	19	R-HSA-392499	0.4		ENSG00000162551		Heat Stroke		0.96	0		1.0	disease			426	Enzyme	1.666E-11	0	alkaline phosphatase, biomineralization associated	2006		0	1	249	protein-coding	P05186	0.31	Injury or Poisoning (T037)	
	0	Developmental Biology,Signal Transduction,Disease,Immune System	IL6R	15	C0018843	2013	27	R-HSA-1266738,R-HSA-162582,R-HSA-1643685,R-HSA-168256	0.4		ENSG00000160712		Heat Stroke		0.96	0		1.0	disease			37	Signaling	6.7914E-8	0	interleukin 6 receptor	2013		0	1	3570	protein-coding	P08887	0.36	Injury or Poisoning (T037)	
	0	Immune System	IL11RA	15	C0018843	2013	4	R-HSA-168256	0.4		ENSG00000137070		Heat Stroke		0.87	0		1.0	disease			31	Signaling	9.2375E-15	0	interleukin 11 receptor subunit alpha	2013		0	1	3590	protein-coding	Q14626	0.55	Injury or Poisoning (T037)	
	0	Disease,Immune System,Metabolism of proteins,Chromatin organization	NFKB2	15	C0018843	2013	9	R-HSA-1643685,R-HSA-168256,R-HSA-392499,R-HSA-4839726	0.4		ENSG00000077150		Heat Stroke		0.91	0		1.0	disease			278	Transcription factor	1.0	0	nuclear factor kappa B subunit 2	2013		0	1	4791	protein-coding	Q00653	0.43	Injury or Poisoning (T037)	
