disease_msh	numCTs	pathway_name	gene_symbol	num_genes	disease_cui	year_final	numDiseasesAssociatedToGene	pathway_id	score	disease_prevalence_class	geneEnsemblIDs	disease_prevalence_type	disease_name	disease_hpo	dpi	num_var_dis	disease_inheritance	ei	disease_type	disease_do	el	numVariantsAssociatedToGene	gp_class_names	pli	num_variants	geneDescription	year_initial	numberChemsIncludedInEvidence	num_pmids_evid	num_pmid_assoc	gene_ncbi	gene_type	genep_str_ids	dsi	disease_umls	disease_prevalence_geo_area
Pathological Conditions, Signs and Symptoms	10	Signal Transduction,Disease,Immune System,Metabolism of proteins,Gene expression (Transcription),Cellular responses to stimuli	IL6	31	C0015967	2004	210	R-HSA-162582,R-HSA-1643685,R-HSA-168256,R-HSA-392499,R-HSA-74160,R-HSA-8953897	1.0		ENSG00000136244		Fever	Abnormality of metabolism/homeostasis (01939)	1.0	0		0.8633093525179856	phenotype			7		0.19935	10	interleukin 6	1995		19	3	3569	protein-coding	P05231	0.23	Sign or Symptom (T184)	
Pathological Conditions, Signs and Symptoms	6	Disease,Immune System,Programmed Cell Death	IL1B	31	C0015967	2014	164	R-HSA-1643685,R-HSA-168256,R-HSA-5357801	0.9		ENSG00000125538		Fever	Abnormality of metabolism/homeostasis (01939)	1.0	0		0.859375	phenotype			4		0.48761	10	interleukin 1 beta	1999		14	5	3553	protein-coding	P01584	0.27	Sign or Symptom (T184)	
Pathological Conditions, Signs and Symptoms	4	Immune System,Gene expression (Transcription)	IFNG	31	C0015967	2008	132	R-HSA-168256,R-HSA-74160	0.9		ENSG00000111537		Fever	Abnormality of metabolism/homeostasis (01939)	1.0	0		0.8	phenotype			19		0.10687	10	interferon gamma	1986		2	2	3458	protein-coding	P01579	0.27	Sign or Symptom (T184)	
Pathological Conditions, Signs and Symptoms	2	Immune System	IL1RN	31	C0015967	2006	133	R-HSA-168256	0.9		ENSG00000136689		Fever	Abnormality of metabolism/homeostasis (01939)	0.96	0		0.9166666666666666	phenotype			106		0.0055013	10	interleukin 1 receptor antagonist	2006		0	1	3557	protein-coding	P18510	0.35	Sign or Symptom (T184)	
Pathological Conditions, Signs and Symptoms	13		TNF	31	C0015967	2004	310		0.85		ENSG00000232810		Fever	Abnormality of metabolism/homeostasis (01939)	1.0	0		0.8271604938271605	phenotype			9	Signaling	0.85687	10	tumor necrosis factor	1999		14	3	7124	protein-coding	P01375	0.23	Sign or Symptom (T184)	
Pathological Conditions, Signs and Symptoms	7	Immune System	CSF3	31	C0015967	1998	89	R-HSA-168256	0.8		ENSG00000108342		Fever	Abnormality of metabolism/homeostasis (01939)	0.96	0		0.7894736842105263	phenotype			2		4.8646E-6	10	colony stimulating factor 3	1998		2	1	1440	protein-coding	P09919	0.34	Sign or Symptom (T184)	
Pathological Conditions, Signs and Symptoms	5	Signal Transduction,Immune System,Gene expression (Transcription)	IL2	31	C0015967	1996	82	R-HSA-162582,R-HSA-168256,R-HSA-74160	0.8		ENSG00000109471		Fever	Abnormality of metabolism/homeostasis (01939)	1.0	0		0.8571428571428571	phenotype			5		0.84704	10	interleukin 2	1996		5	1	3558	protein-coding	P60568	0.3	Sign or Symptom (T184)	
Pathological Conditions, Signs and Symptoms	0	Metabolism,Immune System	PTGS2	31	C0015967	2014	142	R-HSA-1430728,R-HSA-168256	0.8		ENSG00000073756		Fever	Abnormality of metabolism/homeostasis (01939)	0.96	0		0.96	phenotype			1	Enzyme	1.0	10	prostaglandin-endoperoxide synthase 2	2014		10	1	5743	protein-coding	P35354	0.31	Sign or Symptom (T184)	
Pathological Conditions, Signs and Symptoms	0		TNFRSF1A	31	C0015967	2001	38		0.8		ENSG00000067182		Fever	Abnormality of metabolism/homeostasis (01939)	0.91	0		1.0	phenotype			222		0.99985	10	TNF receptor superfamily member 1A	2001		3	1	7132	protein-coding	P19438	0.37	Sign or Symptom (T184)	
Pathological Conditions, Signs and Symptoms	1	Disease,Immune System,Programmed Cell Death,Cellular responses to stimuli	IL1A	31	C0015967	2004	71	R-HSA-1643685,R-HSA-168256,R-HSA-5357801,R-HSA-8953897	0.75		ENSG00000115008		Fever	Abnormality of metabolism/homeostasis (01939)	0.91	0		0.5	phenotype			2		0.060574	10	interleukin 1 alpha	2004		0	1	3552	protein-coding	P01583	0.39	Sign or Symptom (T184)	
Pathological Conditions, Signs and Symptoms	0	Developmental Biology,Signal Transduction,Disease,Immune System,Metabolism of proteins,Programmed Cell Death,Cellular responses to stimuli	STAT3	31	C0015967	2014	95	R-HSA-1266738,R-HSA-162582,R-HSA-1643685,R-HSA-168256,R-HSA-392499,R-HSA-5357801,R-HSA-8953897	0.7		ENSG00000168610		Fever	Abnormality of metabolism/homeostasis (01939)	0.91	0		1.0	phenotype			316	Nucleic acid binding	1.0	10	signal transducer and activator of transcription 3	2014		2	1	6774	protein-coding	P40763	0.31	Sign or Symptom (T184)	
Pathological Conditions, Signs and Symptoms	0	Disease,Immune System	TLR3	31	C0015967	2018	16	R-HSA-1643685,R-HSA-168256	0.7		ENSG00000164342		Fever	Abnormality of metabolism/homeostasis (01939)	0.91	0		1.0	phenotype			247	Receptor	1.2583E-8	10	toll like receptor 3	2018		2	1	7098	protein-coding	O15455	0.41	Sign or Symptom (T184)	
Pathological Conditions, Signs and Symptoms	0	Signal Transduction	HTR1A	31	C0015967	2012	29	R-HSA-162582	0.7		ENSG00000178394		Fever	Abnormality of metabolism/homeostasis (01939)	0.91	0		0.3333333333333333	phenotype			3	G-protein coupled receptor	2.3419E-4	10	5-hydroxytryptamine receptor 1A	2012		2	1	3350	protein-coding	P08908	0.47	Sign or Symptom (T184)	
Pathological Conditions, Signs and Symptoms	0	Metabolism	PTGES	31	C0015967	2014	5	R-HSA-1430728	0.65		ENSG00000148344		Fever	Abnormality of metabolism/homeostasis (01939)	0.91	0		1.0	phenotype			1		0.39592	10	prostaglandin E synthase	2014		2	1	9536	protein-coding	O14684	0.49	Sign or Symptom (T184)	
Pathological Conditions, Signs and Symptoms	0	Signal Transduction	HTR2A	31	C0015967	2010	42	R-HSA-162582	0.65		ENSG00000102468		Fever	Abnormality of metabolism/homeostasis (01939)	0.96	0		0.6666666666666666	phenotype			2	G-protein coupled receptor	0.35656	10	5-hydroxytryptamine receptor 2A	2010		2	1	3356	protein-coding	P28223	0.44	Sign or Symptom (T184)	
Pathological Conditions, Signs and Symptoms	0	Developmental Biology,Signal Transduction,Disease,Immune System	IL6R	31	C0015967	2014	27	R-HSA-1266738,R-HSA-162582,R-HSA-1643685,R-HSA-168256	0.65		ENSG00000160712		Fever	Abnormality of metabolism/homeostasis (01939)	0.96	0		0.8571428571428571	phenotype			37	Signaling	6.7914E-8	10	interleukin 6 receptor	2014		0	1	3570	protein-coding	P08887	0.36	Sign or Symptom (T184)	
Pathological Conditions, Signs and Symptoms	0	Hemostasis,Immune System,Muscle contraction	NOS1	31	C0015967	1998	29	R-HSA-109582,R-HSA-168256,R-HSA-397014	0.65		ENSG00000089250		Fever	Abnormality of metabolism/homeostasis (01939)	0.91	0		1.0	phenotype			12		1.0	10	nitric oxide synthase 1	1998		0	1	4842	protein-coding	P29475	0.44	Sign or Symptom (T184)	
Pathological Conditions, Signs and Symptoms	0	Signal Transduction,Gene expression (Transcription)	CRH	31	C0015967	2002	44	R-HSA-162582,R-HSA-74160	0.65		ENSG00000147571		Fever	Abnormality of metabolism/homeostasis (01939)	0.91	0		0.6666666666666666	phenotype			1	Signaling	0.0059146	10	corticotropin releasing hormone	2002		1	1	1392	protein-coding	P06850	0.43	Sign or Symptom (T184)	
Pathological Conditions, Signs and Symptoms	0	Disease,Immune System,Programmed Cell Death	HMGB1	31	C0015967	2009	23	R-HSA-1643685,R-HSA-168256,R-HSA-5357801	0.65		ENSG00000189403		Fever	Abnormality of metabolism/homeostasis (01939)	0.96	0		1.0	phenotype			12	Nucleic acid binding	0.99972	10	high mobility group box 1	2009		0	1	3146	protein-coding	P09429	0.36	Sign or Symptom (T184)	
Pathological Conditions, Signs and Symptoms	0	Developmental Biology,Metabolism,Signal Transduction,Disease,Immune System,Metabolism of proteins,Gene expression (Transcription)	POMC	31	C0015967	1983	116	R-HSA-1266738,R-HSA-1430728,R-HSA-162582,R-HSA-1643685,R-HSA-168256,R-HSA-392499,R-HSA-74160	0.65		ENSG00000115138		Fever	Abnormality of metabolism/homeostasis (01939)	0.96	0		0.8333333333333334	phenotype			44		3.3396E-10	10	proopiomelanocortin	1983		3	1	5443	protein-coding	P01189	0.34	Sign or Symptom (T184)	
Pathological Conditions, Signs and Symptoms	0	Disease,Immune System,Metabolism of proteins,Cellular responses to stimuli	NLRP3	31	C0015967		38	R-HSA-1643685,R-HSA-168256,R-HSA-392499,R-HSA-8953897	0.65		ENSG00000162711		Fever	Abnormality of metabolism/homeostasis (01939)	0.91	1		0.875	phenotype			454		9.3769E-6	10	NLR family pyrin domain containing 3			1	0	114548	protein-coding	Q96P20	0.36	Sign or Symptom (T184)	
Pathological Conditions, Signs and Symptoms	0	Metabolism	MVK	31	C0015967	1999	18	R-HSA-1430728	0.6		ENSG00000110921		Fever	Abnormality of metabolism/homeostasis (01939)	0.83	0		0.7777777777777778	phenotype			319	Kinase	8.9591E-10	10	mevalonate kinase	1999		1	1	4598	protein-coding	Q03426	0.52	Sign or Symptom (T184)	
