disease_msh	numCTs	pathway_name	gene_symbol	num_genes	disease_cui	year_final	numDiseasesAssociatedToGene	pathway_id	score	disease_prevalence_class	geneEnsemblIDs	disease_prevalence_type	disease_name	disease_hpo	dpi	num_var_dis	disease_inheritance	ei	disease_type	disease_do	el	numVariantsAssociatedToGene	gp_class_names	pli	num_variants	geneDescription	year_initial	numberChemsIncludedInEvidence	num_pmids_evid	num_pmid_assoc	gene_ncbi	gene_type	genep_str_ids	dsi	disease_umls	disease_prevalence_geo_area
Cardiovascular Diseases;Nervous System Diseases	1	Hemostasis,Metabolism,Signal Transduction,Immune System,Cellular responses to stimuli	NOS3	10	C0948008	2014	125	R-HSA-109582,R-HSA-1430728,R-HSA-162582,R-HSA-168256,R-HSA-8953897	0.85		ENSG00000164867		Ischemic stroke	Abnormality of the cardiovascular system (01626);Abnormality of the nervous system (00707)	0.96	1		0.8412698412698413	disease			17		2.4053E-25	284	nitric oxide synthase 3	1998		6	14	4846	protein-coding	P29474	0.36	Disease or Syndrome (T047)	
Cardiovascular Diseases;Nervous System Diseases	0	Signal Transduction,Disease,Gene expression (Transcription)	NOTCH3	10	C0948008	2020	39	R-HSA-162582,R-HSA-1643685,R-HSA-74160	0.8		ENSG00000074181		Ischemic stroke	Abnormality of the cardiovascular system (01626);Abnormality of the nervous system (00707)	0.91	2		0.9310344827586207	disease			299		1.3894E-7	284	notch receptor 3	2014		0	2	4854	protein-coding	Q9UM47	0.41	Disease or Syndrome (T047)	
Cardiovascular Diseases;Nervous System Diseases	0	Metabolism of proteins	ACE	10	C0948008	2014	123	R-HSA-392499	0.75		ENSG00000159640		Ischemic stroke	Abnormality of the cardiovascular system (01626);Abnormality of the nervous system (00707)	0.96	0		0.8715596330275229	disease			207	Enzyme	5.7955E-32	284	angiotensin I converting enzyme	1988		1	46	1636	protein-coding	P12821	0.33	Disease or Syndrome (T047)	
Cardiovascular Diseases;Nervous System Diseases	0	Hemostasis,Signal Transduction	PRKCH	10	C0948008	2014	6	R-HSA-109582,R-HSA-162582	0.75		ENSG00000027075		Ischemic stroke	Abnormality of the cardiovascular system (01626);Abnormality of the nervous system (00707)	0.78	1		0.9166666666666666	disease			11	Kinase	0.99725	284	protein kinase C eta	2007		0	2	5583	protein-coding	P24723	0.6	Disease or Syndrome (T047)	
Cardiovascular Diseases;Nervous System Diseases	0	Immune System	GRN	10	C0948008	2014	27	R-HSA-168256	0.65		ENSG00000030582		Ischemic stroke	Abnormality of the cardiovascular system (01626);Abnormality of the nervous system (00707)	0.96	1		1.0	disease			354		0.041507	284	granulin precursor	2014		0	1	2896	protein-coding	P28799	0.41	Disease or Syndrome (T047)	
Cardiovascular Diseases;Nervous System Diseases	0	Metabolism	ACSL4	10	C0948008	2014	15	R-HSA-1430728	0.55		ENSG00000068366		Ischemic stroke	Abnormality of the cardiovascular system (01626);Abnormality of the nervous system (00707)	0.91	0		1.0	disease			35	Enzyme		284	acyl-CoA synthetase long chain family member 4	2013		0	2	2182	protein-coding	O60488	0.51	Disease or Syndrome (T047)	
Cardiovascular Diseases;Nervous System Diseases	0	Extracellular matrix organization,Signal Transduction,Metabolism of proteins	FBN1	10	C0948008	2014	103	R-HSA-1474244,R-HSA-162582,R-HSA-392499	0.55		ENSG00000166147		Ischemic stroke	Abnormality of the cardiovascular system (01626);Abnormality of the nervous system (00707)	0.87	1		1.0	disease			4478	Calcium-binding protein	1.0	284	fibrillin 1	2014		0	1	2200	protein-coding	P35555	0.39	Disease or Syndrome (T047)	
Cardiovascular Diseases;Nervous System Diseases	0		PRKCH-AS1	10	C0948008	2014	1		0.4		ENSG00000247287		Ischemic stroke	Abnormality of the cardiovascular system (01626);Abnormality of the nervous system (00707)	0.22	0		1.0	disease			0			284	PRKCH antisense RNA 1	2007		0	2	121233923	ncRNA		0.93	Disease or Syndrome (T047)	
Cardiovascular Diseases;Nervous System Diseases	0	Metabolism,Metabolism of proteins,Gene expression (Transcription),Cellular responses to stimuli	COX2	10	C0948008	2014	31	R-HSA-1430728,R-HSA-392499,R-HSA-74160,R-HSA-8953897	0.4				Ischemic stroke	Abnormality of the cardiovascular system (01626);Abnormality of the nervous system (00707)	0.91	1		1.0	disease			327	Enzyme		284	cytochrome c oxidase subunit II	2014		0	1	4513	protein-coding	P00403	0.44	Disease or Syndrome (T047)	
Cardiovascular Diseases;Nervous System Diseases	0	Metabolism,Metabolism of proteins	CYTB	10	C0948008	2014	30	R-HSA-1430728,R-HSA-392499	0.4				Ischemic stroke	Abnormality of the cardiovascular system (01626);Abnormality of the nervous system (00707)	0.87	1		1.0	disease			380			284	cytochrome b	2014		0	1	4519	protein-coding	P00156	0.49	Disease or Syndrome (T047)	
