disease_msh	numCTs	pathway_name	gene_symbol	num_genes	disease_cui	year_final	numDiseasesAssociatedToGene	pathway_id	score	disease_prevalence_class	geneEnsemblIDs	disease_prevalence_type	disease_name	disease_hpo	dpi	num_var_dis	disease_inheritance	ei	disease_type	disease_do	el	numVariantsAssociatedToGene	gp_class_names	pli	num_variants	geneDescription	year_initial	numberChemsIncludedInEvidence	num_pmids_evid	num_pmid_assoc	gene_ncbi	gene_type	genep_str_ids	dsi	disease_umls	disease_prevalence_geo_area
Pathological Conditions, Signs and Symptoms	5		TNF	16	C0020672	2022	310		0.85		ENSG00000232810		Hypothermia,natural	Abnormality of metabolism/homeostasis (01939)	1.0	0		1.0	phenotype			9	Signaling	0.85687	0	tumor necrosis factor	2006		2	2	7124	protein-coding	P01375	0.23	Finding (T033)	
Pathological Conditions, Signs and Symptoms	0	Signal Transduction	CNR1	16	C0020672	2020	49	R-HSA-162582	0.65		ENSG00000118432		Hypothermia,natural	Abnormality of metabolism/homeostasis (01939)	0.91	0		0.8333333333333334	phenotype			0	G-protein coupled receptor	0.31479	0	cannabinoid receptor 1	1999		1	4	1268	protein-coding	P21554	0.44	Finding (T033)	
Pathological Conditions, Signs and Symptoms	0	Signal Transduction	TRH	16	C0020672	1983	25	R-HSA-162582	0.65		ENSG00000170893		Hypothermia,natural	Abnormality of metabolism/homeostasis (01939)	0.87	0		0.8	phenotype			1		0.0013787	0	thyrotropin releasing hormone	1983		2	1	7200	protein-coding	P20396	0.48	Finding (T033)	
Pathological Conditions, Signs and Symptoms	0	Hemostasis,Immune System,Cellular responses to stimuli	SOD1	16	C0020672	2001	90	R-HSA-109582,R-HSA-168256,R-HSA-8953897	0.65		ENSG00000142168		Hypothermia,natural	Abnormality of metabolism/homeostasis (01939)	0.96	0		0.6666666666666666	phenotype			150	Enzyme	0.011954	0	superoxide dismutase 1	2001		1	1	6647	protein-coding	P00441	0.34	Finding (T033)	
Pathological Conditions, Signs and Symptoms	0	Immune System	IL12B	16	C0020672	2006	29	R-HSA-168256	0.65		ENSG00000113302		Hypothermia,natural	Abnormality of metabolism/homeostasis (01939)	1.0	0		1.0	phenotype			115	Signaling	4.3903E-7	0	interleukin 12B	2006		0	1	3593	protein-coding	P29460	0.33	Finding (T033)	
Pathological Conditions, Signs and Symptoms	0	Immune System	IL12A	16	C0020672	2006	14	R-HSA-168256	0.65		ENSG00000168811		Hypothermia,natural	Abnormality of metabolism/homeostasis (01939)	0.96	0		1.0	phenotype			3		4.7911E-4	0	interleukin 12A	2006		0	1	3592	protein-coding	P29459	0.35	Finding (T033)	
Pathological Conditions, Signs and Symptoms	0	Hemostasis,Disease,Immune System,Protein localization	NOS2	16	C0020672	2014	86	R-HSA-109582,R-HSA-1643685,R-HSA-168256,R-HSA-9609507	0.65		ENSG00000007171		Hypothermia,natural	Abnormality of metabolism/homeostasis (01939)	0.96	0		1.0	phenotype			18		1.9486E-22	0	nitric oxide synthase 2	2014		1	1	4843	protein-coding	P35228	0.34	Finding (T033)	
Pathological Conditions, Signs and Symptoms	0	Neuronal System	CHRNB2	16	C0020672	2004	21	R-HSA-112316	0.55		ENSG00000160716		Hypothermia,natural	Abnormality of metabolism/homeostasis (01939)	0.57	0		0.0	phenotype			251	Ion channel	1.6546E-9	0	cholinergic receptor nicotinic beta 2 subunit	2004		1	1	1141	protein-coding	P17787	0.58	Finding (T033)	
Pathological Conditions, Signs and Symptoms	0	Signal Transduction	GNRH1	16	C0020672	1983	34	R-HSA-162582	0.55		ENSG00000147437		Hypothermia,natural	Abnormality of metabolism/homeostasis (01939)	0.91	0		1.0	phenotype			18		0.33099	0	gonadotropin releasing hormone 1	1983		0	1	2796	protein-coding	P01148	0.43	Finding (T033)	
Pathological Conditions, Signs and Symptoms	0	Metabolism,Signal Transduction,Metabolism of proteins	TSHB	16	C0020672	1983	15	R-HSA-1430728,R-HSA-162582,R-HSA-392499	0.45		ENSG00000134200		Hypothermia,natural	Abnormality of metabolism/homeostasis (01939)	0.91	0		1.0	phenotype			10	Signaling	9.666E-4	0	thyroid stimulating hormone subunit beta	1983		0	1	7252	protein-coding	P01222	0.42	Finding (T033)	
Pathological Conditions, Signs and Symptoms	0	Metabolism,Signal Transduction,Metabolism of proteins	GCG	16	C0020672	1999	32	R-HSA-1430728,R-HSA-162582,R-HSA-392499	0.4		ENSG00000115263		Hypothermia,natural	Abnormality of metabolism/homeostasis (01939)	0.96	0		1.0	phenotype			1		0.13736	0	glucagon	1999		0	1	2641	protein-coding	P01275	0.39	Finding (T033)	
Pathological Conditions, Signs and Symptoms	0	Signal Transduction	HCRT	16	C0020672	2016	17	R-HSA-162582	0.4		ENSG00000161610		Hypothermia,natural	Abnormality of metabolism/homeostasis (01939)	0.96	0		1.0	phenotype			1		0.0030594	0	hypocretin neuropeptide precursor	2016		0	1	3060	protein-coding	O43612	0.46	Finding (T033)	
Pathological Conditions, Signs and Symptoms	0	Metabolism,Signal Transduction,Metabolism of proteins	LHB	16	C0020672	1983	21	R-HSA-1430728,R-HSA-162582,R-HSA-392499	0.4		ENSG00000104826		Hypothermia,natural	Abnormality of metabolism/homeostasis (01939)	0.74	0		1.0	phenotype			6	Signaling	1.2708E-4	0	luteinizing hormone subunit beta	1983		0	1	3972	protein-coding	P01229	0.6	Finding (T033)	
Pathological Conditions, Signs and Symptoms	0	Hemostasis,Signal Transduction,Immune System,Programmed Cell Death,Metabolism of RNA,Cellular responses to stimuli	PRKCD	16	C0020672	2019	19	R-HSA-109582,R-HSA-162582,R-HSA-168256,R-HSA-5357801,R-HSA-8953854,R-HSA-8953897	0.4		ENSG00000163932		Hypothermia,natural	Abnormality of metabolism/homeostasis (01939)	0.91	0		1.0	phenotype			194	Kinase	1.0	0	protein kinase C delta	2019		0	1	5580	protein-coding	Q05655	0.47	Finding (T033)	
Pathological Conditions, Signs and Symptoms	0	Signal Transduction,Immune System,Cellular responses to stimuli	NCF1	16	C0020672	2019	17	R-HSA-162582,R-HSA-168256,R-HSA-8953897	0.4		ENSG00000158517		Hypothermia,natural	Abnormality of metabolism/homeostasis (01939)	0.91	0		1.0	phenotype			18		0.82043	0	neutrophil cytosolic factor 1	2019		0	1	653361	protein-coding	P14598	0.45	Finding (T033)	
Pathological Conditions, Signs and Symptoms	0		ZFP91	16	C0020672	2022	6		0.4		ENSG00000186660		Hypothermia,natural	Abnormality of metabolism/homeostasis (01939)	0.52	0		1.0	phenotype			8	Transcription factor	1.0	0	ZFP91 zinc finger protein, atypical E3 ubiquitin ligase	2022		0	1	80829	protein-coding	Q96JP5	0.66	Finding (T033)	
