"Input","Match type","Approved symbol","Approved name","HGNC ID"
"gp1b-flna_human","Unmatched","","","",""
"gp1b_human","Unmatched","","","",""
"f8_human-1","Unmatched","","","",""
"klkb1_human-1","Unmatched","","","",""
"f13_human","Unmatched","","","",""
"fibrin-clot_human","Unmatched","","","",""
"fibrin_human","Unmatched","","","",""
"proc_human-1","Unmatched","","","",""
"f2-thbd_human","Unmatched","","","",""
"f2_human","Unmatched","","","",""
"f7_human","Unmatched","","","",""
"f12_human","Unmatched","","","",""
"f11_human","Unmatched","","","",""
"f8-f9_human","Unmatched","","","",""
"f5-f10_human","Unmatched","","","",""
"emilin2_human","Unmatched","","","",""
"f10_human","Unmatched","","","",""
"f5_human","Unmatched","","","",""
"tpa-pai-1_human","Unmatched","","","",""
"upa-upar_human","Unmatched","","","",""
"upa-pai-1_human","Unmatched","","","",""
"vitronectin-pai-1_human","Unmatched","","","",""
"emilin1_human","Unmatched","","","",""
"URS000024A59E_9606","Unmatched","","","",""
"f7_human","Unmatched","","","",""
"f12_human","Unmatched","","","",""
"f11_human","Unmatched","","","",""
"f8-f9_human","Unmatched","","","",""
"f3-f7_human","Unmatched","","","",""
"f8_human","Unmatched","","","",""
"hpse_human-1","Unmatched","","","",""
"f9_human","Unmatched","","","",""
"fibrinogen_human","Unmatched","","","",""
"LOC129391106","Unmatched","","","",""
"LOC126862902","Unmatched","","","",""
"LOC130064350","Unmatched","","","",""
"LOC130064357","Unmatched","","","",""
"LOC107063610","Unmatched","","","",""
"SEPT5-GP1BB","Unmatched","","","",""
