symbol	name	term	group	hgnc_id	ensembl_gene_id
UCP2	uncoupling protein 2	response_to_temperature_stimulus	Reactions to Temperatur - general	HGNC:12518	ENSG00000175567
CIDEA	cell death inducing DFFA like effector a	response_to_temperature_stimulus	Reactions to Temperatur - general	HGNC:1976	ENSG00000176194
EIF2AK4	eukaryotic translation initiation factor 2 alpha kinase 4	response_to_temperature_stimulus	Reactions to Temperatur - general	HGNC:19687	ENSG00000128829
TOP1	DNA topoisomerase I	response_to_temperature_stimulus	Reactions to Temperatur - general	HGNC:11986	ENSG00000198900
DNAJA1	DnaJ heat shock protein family (Hsp40) member A1	response_to_temperature_stimulus	Reactions to Temperatur - general	HGNC:5229	ENSG00000086061
METRNL	meteorin like, glial cell differentiation regulator	response_to_temperature_stimulus	Reactions to Temperatur - general	HGNC:27584	ENSG00000176845
HSPB1	heat shock protein family B (small) member 1	response_to_temperature_stimulus	Reactions to Temperatur - general	HGNC:5246	ENSG00000106211
CXCL12	C-X-C motif chemokine ligand 12	response_to_temperature_stimulus	Reactions to Temperatur - general	HGNC:10672	ENSG00000107562
EIF2B1	eukaryotic translation initiation factor 2B subunit alpha	response_to_temperature_stimulus	Reactions to Temperatur - general	HGNC:3257	ENSG00000111361
HSF1	heat shock transcription factor 1	response_to_temperature_stimulus	Reactions to Temperatur - general	HGNC:5224	ENSG00000185122
HSP90AB1	heat shock protein 90 alpha family class B member 1	response_to_temperature_stimulus	Reactions to Temperatur - general	HGNC:5258	ENSG00000096384
VCP	valosin containing protein	response_to_temperature_stimulus	Reactions to Temperatur - general	HGNC:12666	ENSG00000165280
YWHAE	tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein epsilon	response_to_temperature_stimulus	Reactions to Temperatur - general	HGNC:12851	ENSG00000108953
DNAJB1	DnaJ heat shock protein family (Hsp40) member B1	response_to_temperature_stimulus	Reactions to Temperatur - general	HGNC:5270	ENSG00000132002
EIF2S1	eukaryotic translation initiation factor 2 subunit alpha	response_to_temperature_stimulus	Reactions to Temperatur - general	HGNC:3265	ENSG00000134001
IER5	immediate early response 5	response_to_temperature_stimulus	Reactions to Temperatur - general	HGNC:5393	ENSG00000162783
CRNN	cornulin	response_to_temperature_stimulus	Reactions to Temperatur - general	HGNC:1230	ENSG00000143536
MTOR	mechanistic target of rapamycin kinase	response_to_temperature_stimulus	Reactions to Temperatur - general	HGNC:3942	ENSG00000198793
NFKBIA	NFKB inhibitor alpha	response_to_temperature_stimulus	Reactions to Temperatur - general	HGNC:7797	ENSG00000100906
HTRA2	HtrA serine peptidase 2	response_to_temperature_stimulus	Reactions to Temperatur - general	HGNC:14348	ENSG00000115317
SCRN3	secernin 3	response_to_temperature_stimulus	Reactions to Temperatur - general	HGNC:30382	ENSG00000144306
UCP1	uncoupling protein 1	response_to_temperature_stimulus	Reactions to Temperatur - general	HGNC:12517	ENSG00000109424
EIF2B2	eukaryotic translation initiation factor 2B subunit beta	response_to_temperature_stimulus	Reactions to Temperatur - general	HGNC:3258	ENSG00000119718
KCNK4	potassium two pore domain channel subfamily K member 4	response_to_temperature_stimulus	Reactions to Temperatur - general	HGNC:6279	ENSG00000182450
DNAJC3	DnaJ heat shock protein family (Hsp40) member C3	response_to_temperature_stimulus	Reactions to Temperatur - general	HGNC:9439	ENSG00000102580
LRP11	LDL receptor related protein 11	response_to_temperature_stimulus	Reactions to Temperatur - general	HGNC:16936	ENSG00000120256
EIF2AK3	eukaryotic translation initiation factor 2 alpha kinase 3	response_to_temperature_stimulus	Reactions to Temperatur - general	HGNC:3255	ENSG00000172071
TAC4	tachykinin precursor 4	response_to_temperature_stimulus	Reactions to Temperatur - general	HGNC:16641	ENSG00000176358
AKT1	AKT serine/threonine kinase 1	response_to_temperature_stimulus	Reactions to Temperatur - general	HGNC:391	ENSG00000142208
TRPM8	transient receptor potential cation channel subfamily M member 8	response_to_temperature_stimulus	Reactions to Temperatur - general	HGNC:17961	ENSG00000144481
HSP90AA2P	heat shock protein 90 alpha family class A member 2, pseudogene	response_to_temperature_stimulus	Reactions to Temperatur - general	HGNC:5256	ENSG00000224411
IRAK1	interleukin 1 receptor associated kinase 1	response_to_temperature_stimulus	Reactions to Temperatur - general	HGNC:6112	ENSG00000184216
FGF16	fibroblast growth factor 16	response_to_temperature_stimulus	Reactions to Temperatur - general	HGNC:3672	ENSG00000196468
CIRBP	cold inducible RNA binding protein	response_to_temperature_stimulus	Reactions to Temperatur - general	HGNC:1982	ENSG00000099622
UCP3	uncoupling protein 3	response_to_temperature_stimulus	Reactions to Temperatur - general	HGNC:12519	ENSG00000175564
TPR	translocated promoter region, nuclear basket protein	response_to_temperature_stimulus	Reactions to Temperatur - general	HGNC:12017	ENSG00000047410
HSBP1L1	heat shock factor binding protein 1 like 1	response_to_temperature_stimulus	Reactions to Temperatur - general	HGNC:37243	ENSG00000226742
NTRK1	neurotrophic receptor tyrosine kinase 1	response_to_temperature_stimulus	Reactions to Temperatur - general	HGNC:8031	ENSG00000198400
EIF2B5	eukaryotic translation initiation factor 2B subunit epsilon	response_to_temperature_stimulus	Reactions to Temperatur - general	HGNC:3261	ENSG00000145191
SCN9A	sodium voltage-gated channel alpha subunit 9	response_to_temperature_stimulus	Reactions to Temperatur - general	HGNC:10597	ENSG00000169432
MAP2K7	mitogen-activated protein kinase kinase 7	response_to_temperature_stimulus	Reactions to Temperatur - general	HGNC:6847	ENSG00000076984
ACOT11	acyl-CoA thioesterase 11	response_to_temperature_stimulus	Reactions to Temperatur - general	HGNC:18156	ENSG00000162390
