gene	term_general	term_specific	gene_id
HSBP1L1	Temperatur Homeostasis	cellular_heat_acclimation	ENSG00000226742
HSPA6	Temperatur Homeostasis	cellular_heat_acclimation	ENSG00000173110
RBBP7	Temperatur Homeostasis	cellular_heat_acclimation	ENSG00000102054
HSBP1	Temperatur Homeostasis	cellular_heat_acclimation	ENSG00000230989
HSPA1A	Temperatur Homeostasis	cellular_heat_acclimation	ENSG00000204389
HSPA1B	Temperatur Homeostasis	cellular_heat_acclimation	ENSG00000204388
APLN	Thermogenesis	positive_regulation_of_heat_generation	ENSG00000171388
TNFRSF11A	Thermogenesis	positive_regulation_of_heat_generation	ENSG00000141655
HTR2A	Thermogenesis	positive_regulation_of_heat_generation	ENSG00000102468
TNF	Thermogenesis	positive_regulation_of_heat_generation	ENSG00000232810
IL1B	Thermogenesis	positive_regulation_of_heat_generation	ENSG00000125538
TNFRSF11A	Temperatur Homeostasis	circadian_temperature_homeostasis	ENSG00000141655
TRPV1	Thermogenesis	heat_generation	ENSG00000196689
ARRDC3	Thermogenesis	heat_generation	ENSG00000113369
ADRB2	Thermogenesis	heat_generation	ENSG00000169252
ADRB3	Thermogenesis	heat_generation	ENSG00000188778
ADRB1	Thermogenesis	heat_generation	ENSG00000043591
IL1B	Thermogenesis	heat_generation	ENSG00000125538
IL1A	Thermogenesis	heat_generation	ENSG00000115008
KCNK4	Reactions to Temperatur - cellular	temperature-gated_ion_channel_activity	ENSG00000182450
TRPA1	Reactions to Temperatur - cellular	temperature-gated_ion_channel_activity	ENSG00000104321
TRPV1	Reactions to Temperatur - cellular	temperature-gated_ion_channel_activity	ENSG00000196689
TRPV1	Temperatur Homeostasis	temperature_homeostasis	ENSG00000196689
NTSR1	Temperatur Homeostasis	temperature_homeostasis	ENSG00000101188
ARRDC3	Temperatur Homeostasis	temperature_homeostasis	ENSG00000113369
ADORA1	Temperatur Homeostasis	temperature_homeostasis	ENSG00000163485
GPX1	Temperatur Homeostasis	temperature_homeostasis	ENSG00000233276
TNFRSF11A	Temperatur Homeostasis	temperature_homeostasis	ENSG00000141655
ADRB2	Temperatur Homeostasis	temperature_homeostasis	ENSG00000169252
ADRB3	Temperatur Homeostasis	temperature_homeostasis	ENSG00000188778
HTR2A	Temperatur Homeostasis	temperature_homeostasis	ENSG00000102468
ADRB1	Temperatur Homeostasis	temperature_homeostasis	ENSG00000043591
TRPM2	Temperatur Homeostasis	temperature_homeostasis	ENSG00000142185
IL1B	Temperatur Homeostasis	temperature_homeostasis	ENSG00000125538
IL1A	Temperatur Homeostasis	temperature_homeostasis	ENSG00000115008
NOD2	Temperatur Homeostasis	temperature_homeostasis	ENSG00000167207
HSBP1L1	Temperatur Homeostasis	heat_acclimation	ENSG00000226742
HSPA6	Temperatur Homeostasis	heat_acclimation	ENSG00000173110
