UniProtKB:P13866	Sodium/glucose cotransporter 1		GO:0035377		ARUK-UCL	NCBITaxon:9606	IDA		PANTHER:PTHR11819	protein	UniProtKB:P13866	PMID:26945065	20200323
UniProtKB:P56856	Claudin-18		GO:0042045		UniProt	NCBITaxon:9606	ISS	UniProtKB:P56857	PANTHER:PTHR12002	protein	UniProtKB:P56856	GO_REF:0000024	20221212
UniProtKB:P56856	Claudin-18		GO:0042045		Ensembl	NCBITaxon:9606	IEA	UniProtKB:P56857|ensembl:ENSMUSP00000035048	PANTHER:PTHR12002	protein	UniProtKB:P56856	GO_REF:0000107	20250313
UniProtKB:P29972	Aquaporin-1		GO:0035377		UniProt	NCBITaxon:9606	IDA		PANTHER:PTHR19139	protein	UniProtKB:P29972	PMID:12766090	20100319
UniProtKB:P13569	Cystic fibrosis transmembrane conductance regulator		GO:0035377		UniProt	NCBITaxon:9606	IMP		PANTHER:PTHR24223	protein	UniProtKB:P13569	PMID:19621064	20170301
UniProtKB:P24530	Endothelin receptor type B		GO:0042045		Ensembl	NCBITaxon:9606	IEA	UniProtKB:P21451|ensembl:ENSRNOP00000014747	PANTHER:PTHR46099	protein	UniProtKB:P24530	GO_REF:0000107	20250313
UniProtKB:P51168	Epithelial sodium channel subunit beta		GO:0042045		Ensembl	NCBITaxon:9606	IEA	UniProtKB:Q9WU38|ensembl:ENSMUSP00000033161	PANTHER:PTHR11690	protein	UniProtKB:P51168	GO_REF:0000107	20250313
UniProtKB:P04141	Granulocyte-macrophage colony-stimulating factor		GO:0042045		Ensembl	NCBITaxon:9606	IEA	UniProtKB:P48750|ensembl:ENSRNOP00000034235	PANTHER:PTHR10059	protein	UniProtKB:P04141	GO_REF:0000107	20250313
UniProtKB:O43865	S-adenosylhomocysteine hydrolase-like protein 1		GO:0042045		Ensembl	NCBITaxon:9606	IEA	UniProtKB:Q80SW1|ensembl:ENSMUSP00000029490	PANTHER:PTHR23420	protein	UniProtKB:O43865	GO_REF:0000107	20250313
UniProtKB:Q9BXS9	Solute carrier family 26 member 6		GO:0042045		UniProt	NCBITaxon:9606	ISS	UniProtKB:Q8CIW6	PANTHER:PTHR11814	protein	UniProtKB:Q9BXS9	GO_REF:0000024	20130613
UniProtKB:Q9BXS9	Solute carrier family 26 member 6		GO:0042045		Ensembl	NCBITaxon:9606	IEA	UniProtKB:Q8CIW6|ensembl:ENSMUSP00000140849	PANTHER:PTHR11814	protein	UniProtKB:Q9BXS9	GO_REF:0000107	20250313
UniProtKB:O94778	Aquaporin-8		GO:0035377		UniProt	NCBITaxon:9606	ISS	UniProtKB:P56405	PANTHER:PTHR45665	protein	UniProtKB:O94778	GO_REF:0000024	20220927
UniProtKB:Q14643	Inositol 1,4,5-trisphosphate-gated calcium channel ITPR1		GO:0042045		Ensembl	NCBITaxon:9606	IEA	UniProtKB:P11881|ensembl:ENSMUSP00000032192	PANTHER:PTHR13715	protein	UniProtKB:Q14643	GO_REF:0000107	20250313
UniProtKB:P05305	Endothelin-1		GO:0042045		Ensembl	NCBITaxon:9606	IEA	UniProtKB:P22388|ensembl:ENSRNOP00000019361	PANTHER:PTHR13874	protein	UniProtKB:P05305	GO_REF:0000107	20250313
UniProtKB:Q13835	Plakophilin-1		GO:0035377		Ensembl	NCBITaxon:9606	IEA	UniProtKB:P97350|ensembl:ENSMUSP00000027667	PANTHER:PTHR10372	protein	UniProtKB:Q13835	GO_REF:0000107	20250313
