bioentity	bioentity_name	qualifier	annotation_class	annotation_extension_json	assigned_by	taxon	evidence_type	evidence_with	panther_family	type	bioentity_isoform	reference	date	bioentity_label	taxon_label	isa_partof_closure_label	regulates_closure_label	annotation_class_label	annotation_extension_class_labelannotation_extension_class_closure_label	has_participant_closure_label	term
RNAcentral:URS00003768C5_9606	Homo sapiens (human) hsa-miR-92a-3p		GO:0097699	"{""relationship"": {""relation"": [{""id"": ""BFO:0000066""\, ""label"": ""occurs in""}]\, ""id"": ""CL:0002618""\, ""label"": ""endothelial cell of umbilical vein""}}"	BHF-UCL	NCBITaxon:9606	IDA			miRNA		PMID:24255059	20170113	URS00003768C5_9606	Homo sapiens	biological_process,cellular response to fluid shear stress,vascular endothelial cell response to fluid shear stress,cellular response to stimulus,cellular response to stress,response to fluid shear stress,cellular process,response to stress,response to stimulus	cell,structure with developmental contribution from neural crest,disconnected anatomical group,vessel,anatomical conduit,unilaminar epithelium,anatomical entity,material anatomical entity,endothelium,tissue,blood vessel endothelium,circulatory system,blood vasculature,squamous epithelium,connected anatomical structure,cardiovascular system,cellular response to fluid shear stress,blood vessel,anatomical cluster,anatomical entity,cardiovascular system endothelium,endothelial cell,barrier cell,endothelial cell of vascular tree,cellular response to stress,meso-epithelium,eukaryotic cell,response to fluid shear stress,response to stimulus,lining cell,biological_process,multicellular anatomical structure,blood vessel endothelial cell,biological entity,vascular system,epithelium,mesoderm-derived structure,cellular process,response to stress,anatomical structure,multicellular organism,anatomical system,vascular endothelial cell response to fluid shear stress,vasculature,simple squamous epithelium,material anatomical entity,cellular response to stimulus	vascular endothelial cell response to fluid shear stress			response_to_fluid_shear_stress
UniProtKB:Q13164	Mitogen-activated protein kinase 7		GO:0071499		BHF-UCL	NCBITaxon:9606	TAS		PANTHER:PTHR24055	protein	UniProtKB:Q13164	PMID:20551324	20111121	MAPK7	Homo sapiens	biological_process,response to laminar fluid shear stress,cellular response to fluid shear stress,cellular response to stimulus,cellular response to stress,cellular response to laminar fluid shear stress,response to fluid shear stress,response to stress,cellular process,response to stimulus	biological_process,response to laminar fluid shear stress,cellular response to fluid shear stress,cellular response to stimulus,cellular response to stress,cellular response to laminar fluid shear stress,response to fluid shear stress,response to stress,cellular process,response to stimulus	cellular response to laminar fluid shear stress			response_to_fluid_shear_stress
UniProtKB:Q13164	Mitogen-activated protein kinase 7		GO:0071499		BHF-UCL	NCBITaxon:9606	IMP		PANTHER:PTHR24055	protein	UniProtKB:Q13164	PMID:23043106	20121203	MAPK7	Homo sapiens	biological_process,response to laminar fluid shear stress,cellular response to fluid shear stress,cellular response to stimulus,cellular response to stress,cellular response to laminar fluid shear stress,response to fluid shear stress,response to stress,cellular process,response to stimulus	biological_process,response to laminar fluid shear stress,cellular response to fluid shear stress,cellular response to stimulus,cellular response to stress,cellular response to laminar fluid shear stress,response to fluid shear stress,response to stress,cellular process,response to stimulus	cellular response to laminar fluid shear stress			response_to_fluid_shear_stress
UniProtKB:P63092	Guanine nucleotide-binding protein G(s) subunit alpha isoforms short		GO:0097700		Reactome	NCBITaxon:9606	TAS			protein	UniProtKB:P63092	Reactome:R-HSA-9856530	20240323	GNAS	Homo sapiens	biological_process,response to laminar fluid shear stress,cellular response to fluid shear stress,vascular endothelial cell response to laminar fluid shear stress,vascular endothelial cell response to fluid shear stress,cellular response to stimulus,cellular response to stress,cellular response to laminar fluid shear stress,response to fluid shear stress,cellular process,response to stress,response to stimulus	structure with developmental contribution from neural crest,disconnected anatomical group,anatomical conduit,tissue,blood vessel endothelium,circulatory system,cellular response to fluid shear stress,anatomical cluster,barrier cell,cellular response to laminar fluid shear stress,eukaryotic cell,lining cell,biological_process,blood vessel endothelial cell,anatomical structure,multicellular organism,anatomical system,response to laminar fluid shear stress,vascular endothelial cell response to fluid shear stress,vasculature,material anatomical entity,cell,vessel,unilaminar epithelium,anatomical entity,material anatomical entity,endothelium,blood vasculature,squamous epithelium,connected anatomical structure,cardiovascular system,blood vessel,vascular endothelial cell response to laminar fluid shear stress,anatomical entity,cardiovascular system endothelium,endothelial cell,endothelial cell of vascular tree,cellular response to stress,meso-epithelium,response to fluid shear stress,response to stimulus,multicellular anatomical structure,biological entity,vascular system,epithelium,mesoderm-derived structure,cellular process,response to stress,simple squamous epithelium,cellular response to stimulus	vascular endothelial cell response to laminar fluid shear stress			response_to_fluid_shear_stress
UniProtKB:Q99571	P2X purinoceptor 4		GO:0034405		BHF-UCL	NCBITaxon:9606	IDA		PANTHER:PTHR10125	protein	UniProtKB:Q99571	PMID:10969036	20080609	P2RX4	Homo sapiens	biological_process,response to fluid shear stress,response to stress,response to stimulus	biological_process,response to fluid shear stress,response to stress,response to stimulus	response to fluid shear stress			response_to_fluid_shear_stress
UniProtKB:Q92819	Hyaluronan synthase 2		GO:0071498		BHF-UCL	NCBITaxon:9606	IEP		PANTHER:PTHR22913	protein	UniProtKB:Q92819	PMID:21551265	20120521	HAS2	Homo sapiens	biological_process,cellular response to fluid shear stress,cellular response to stimulus,cellular response to stress,response to fluid shear stress,cellular process,response to stress,response to stimulus	biological_process,cellular response to fluid shear stress,cellular response to stimulus,cellular response to stress,response to fluid shear stress,cellular process,response to stress,response to stimulus	cellular response to fluid shear stress			response_to_fluid_shear_stress
UniProtKB:Q15743	G-protein coupled receptor 68		GO:0034405		Ensembl	NCBITaxon:9606	IEA	UniProtKB:Q8BFQ3,ensembl:ENSMUSP00000105693	PANTHER:PTHR24234	protein	UniProtKB:Q15743	GO_REF:0000107	20250313	GPR68	Homo sapiens	biological_process,response to fluid shear stress,response to stress,response to stimulus	biological_process,response to fluid shear stress,response to stress,response to stimulus	response to fluid shear stress			response_to_fluid_shear_stress
UniProtKB:Q15743	G-protein coupled receptor 68		GO:0034405		UniProt	NCBITaxon:9606	IDA		PANTHER:PTHR24234	protein	UniProtKB:Q15743	PMID:29677517	20250306	GPR68	Homo sapiens	biological_process,response to fluid shear stress,response to stress,response to stimulus	biological_process,response to fluid shear stress,response to stress,response to stimulus	response to fluid shear stress			response_to_fluid_shear_stress
UniProtKB:Q05397	Focal adhesion kinase 1		GO:0097706		Reactome	NCBITaxon:9606	TAS		PANTHER:PTHR24418	protein	UniProtKB:Q05397	Reactome:R-HSA-9860927	20241116	PTK2	Homo sapiens	biological_process,cellular response to fluid shear stress,vascular endothelial cell response to fluid shear stress,cellular response to stimulus,response to oscillatory fluid shear stress,cellular response to stress,cellular response to oscillatory fluid shear stress,vascular endothelial cell response to oscillatory fluid shear stress,response to fluid shear stress,cellular process,response to stress,response to stimulus	structure with developmental contribution from neural crest,disconnected anatomical group,anatomical conduit,tissue,blood vessel endothelium,circulatory system,cellular response to fluid shear stress,anatomical cluster,barrier cell,eukaryotic cell,lining cell,biological_process,blood vessel endothelial cell,anatomical structure,multicellular organism,anatomical system,vascular endothelial cell response to fluid shear stress,vasculature,material anatomical entity,cell,vessel,unilaminar epithelium,anatomical entity,material anatomical entity,endothelium,blood vasculature,squamous epithelium,connected anatomical structure,cardiovascular system,blood vessel,anatomical entity,cardiovascular system endothelium,endothelial cell,response to oscillatory fluid shear stress,endothelial cell of vascular tree,cellular response to stress,meso-epithelium,cellular response to oscillatory fluid shear stress,vascular endothelial cell response to oscillatory fluid shear stress,response to fluid shear stress,response to stimulus,multicellular anatomical structure,biological entity,vascular system,epithelium,mesoderm-derived structure,cellular process,response to stress,simple squamous epithelium,cellular response to stimulus	vascular endothelial cell response to oscillatory fluid shear stress			response_to_fluid_shear_stress
UniProtKB:P17655	Calpain-2 catalytic subunit		GO:0097700		Reactome	NCBITaxon:9606	TAS		PANTHER:PTHR10183	protein	UniProtKB:P17655	Reactome:R-HSA-9856530	20241117	CAPN2	Homo sapiens	biological_process,response to laminar fluid shear stress,cellular response to fluid shear stress,vascular endothelial cell response to laminar fluid shear stress,vascular endothelial cell response to fluid shear stress,cellular response to stimulus,cellular response to stress,cellular response to laminar fluid shear stress,response to fluid shear stress,cellular process,response to stress,response to stimulus	structure with developmental contribution from neural crest,disconnected anatomical group,anatomical conduit,tissue,blood vessel endothelium,circulatory system,cellular response to fluid shear stress,anatomical cluster,barrier cell,cellular response to laminar fluid shear stress,eukaryotic cell,lining cell,biological_process,blood vessel endothelial cell,anatomical structure,multicellular organism,anatomical system,response to laminar fluid shear stress,vascular endothelial cell response to fluid shear stress,vasculature,material anatomical entity,cell,vessel,unilaminar epithelium,anatomical entity,material anatomical entity,endothelium,blood vasculature,squamous epithelium,connected anatomical structure,cardiovascular system,blood vessel,vascular endothelial cell response to laminar fluid shear stress,anatomical entity,cardiovascular system endothelium,endothelial cell,endothelial cell of vascular tree,cellular response to stress,meso-epithelium,response to fluid shear stress,response to stimulus,multicellular anatomical structure,biological entity,vascular system,epithelium,mesoderm-derived structure,cellular process,response to stress,simple squamous epithelium,cellular response to stimulus	vascular endothelial cell response to laminar fluid shear stress			response_to_fluid_shear_stress
