bioentity	bioentity_name	qualifier	annotation_class	annotation_extension_json	assigned_by	taxon	evidence_type	evidence_with	panther_family	type	bioentity_isoform	reference	date	bioentity_label	taxon_label	isa_partof_closure_label	regulates_closure_label	annotation_class_label	annotation_extension_class_labelannotation_extension_class_closure_label	has_participant_closure_label	term
UniProtKB:O94967	WD repeat-containing protein 47		GO:0120168		Ensembl	NCBITaxon:9606	IEA	UniProtKB:Q8CGF6,ensembl:ENSMUSP00000057482	PANTHER:PTHR19863	protein	UniProtKB:O94967	GO_REF:0000107	20250313	WDR47	Homo sapiens	detection of external stimulus,biological_process,sensory perception of hot stimulus,detection of hot stimulus involved in thermoception,detection of stimulus involved in sensory perception,response to temperature stimulus,detection of abiotic stimulus,sensory perception,detection of temperature stimulus involved in thermoception,detection of temperature stimulus involved in sensory perception,response to abiotic stimulus,system process,response to external stimulus,detection of stimulus,thermoception,detection of temperature stimulus,nervous system process,sensory perception of temperature stimulus,response to stimulus,multicellular organismal process	detection of external stimulus,biological_process,sensory perception of hot stimulus,detection of hot stimulus involved in thermoception,detection of stimulus involved in sensory perception,response to temperature stimulus,detection of abiotic stimulus,sensory perception,detection of temperature stimulus involved in thermoception,detection of temperature stimulus involved in sensory perception,response to abiotic stimulus,system process,response to external stimulus,detection of stimulus,thermoception,detection of temperature stimulus,nervous system process,sensory perception of temperature stimulus,response to stimulus,multicellular organismal process	detection of hot stimulus involved in thermoception			thermoception
UniProtKB:Q13002	Glutamate receptor ionotropic, kainate 2		GO:0120169		UniProt	NCBITaxon:9606	ISS	UniProtKB:P39087	PANTHER:PTHR18966	protein	UniProtKB:Q13002	GO_REF:0000024	20200305	GRIK2	Homo sapiens	detection of external stimulus,sensory perception of cold stimulus,biological_process,detection of cold stimulus involved in thermoception,detection of stimulus involved in sensory perception,response to temperature stimulus,detection of abiotic stimulus,sensory perception,detection of temperature stimulus involved in thermoception,detection of temperature stimulus involved in sensory perception,response to abiotic stimulus,system process,response to external stimulus,detection of stimulus,thermoception,detection of temperature stimulus,nervous system process,sensory perception of temperature stimulus,response to stimulus,multicellular organismal process	detection of external stimulus,sensory perception of cold stimulus,biological_process,detection of cold stimulus involved in thermoception,detection of stimulus involved in sensory perception,response to temperature stimulus,detection of abiotic stimulus,sensory perception,detection of temperature stimulus involved in thermoception,detection of temperature stimulus involved in sensory perception,response to abiotic stimulus,system process,response to external stimulus,detection of stimulus,thermoception,detection of temperature stimulus,nervous system process,sensory perception of temperature stimulus,response to stimulus,multicellular organismal process	detection of cold stimulus involved in thermoception			thermoception
UniProtKB:Q13002	Glutamate receptor ionotropic, kainate 2		GO:0120169		Ensembl	NCBITaxon:9606	IEA	UniProtKB:P39087,ensembl:ENSMUSP00000151921	PANTHER:PTHR18966	protein	UniProtKB:Q13002	GO_REF:0000107	20250313	GRIK2	Homo sapiens	detection of external stimulus,sensory perception of cold stimulus,biological_process,detection of cold stimulus involved in thermoception,detection of stimulus involved in sensory perception,response to temperature stimulus,detection of abiotic stimulus,sensory perception,detection of temperature stimulus involved in thermoception,detection of temperature stimulus involved in sensory perception,response to abiotic stimulus,system process,response to external stimulus,detection of stimulus,thermoception,detection of temperature stimulus,nervous system process,sensory perception of temperature stimulus,response to stimulus,multicellular organismal process	detection of external stimulus,sensory perception of cold stimulus,biological_process,detection of cold stimulus involved in thermoception,detection of stimulus involved in sensory perception,response to temperature stimulus,detection of abiotic stimulus,sensory perception,detection of temperature stimulus involved in thermoception,detection of temperature stimulus involved in sensory perception,response to abiotic stimulus,system process,response to external stimulus,detection of stimulus,thermoception,detection of temperature stimulus,nervous system process,sensory perception of temperature stimulus,response to stimulus,multicellular organismal process	detection of cold stimulus involved in thermoception			thermoception
UniProtKB:O75762	Transient receptor potential cation channel subfamily A member 1		GO:0050955		Ensembl	NCBITaxon:9606	IEA	UniProtKB:Q8BLA8,ensembl:ENSMUSP00000043594	PANTHER:PTHR24123	protein	UniProtKB:O75762	GO_REF:0000107	20250313	TRPA1	Homo sapiens	biological_process,system process,thermoception,nervous system process,sensory perception of temperature stimulus,sensory perception,multicellular organismal process	biological_process,system process,thermoception,nervous system process,sensory perception of temperature stimulus,sensory perception,multicellular organismal process	thermoception			thermoception
UniProtKB:O75762	Transient receptor potential cation channel subfamily A member 1		GO:0050955		GO_Central	NCBITaxon:9606	IBA	PANTHER:PTN008395498,FB:FBgn0035934,MGI:MGI:3522699	PANTHER:PTHR24123	protein		GO_REF:0000033	20250408	TRPA1	Homo sapiens	biological_process,system process,thermoception,nervous system process,sensory perception of temperature stimulus,sensory perception,multicellular organismal process	biological_process,system process,thermoception,nervous system process,sensory perception of temperature stimulus,sensory perception,multicellular organismal process	thermoception			thermoception
UniProtKB:Q7Z2W7	Transient receptor potential cation channel subfamily M member 8		GO:0050955		Ensembl	NCBITaxon:9606	IEA	UniProtKB:Q8R4D5,ensembl:ENSMUSP00000036991	PANTHER:PTHR13800	protein	UniProtKB:Q7Z2W7	GO_REF:0000107	20250313	TRPM8	Homo sapiens	biological_process,system process,thermoception,nervous system process,sensory perception of temperature stimulus,sensory perception,multicellular organismal process	biological_process,system process,thermoception,nervous system process,sensory perception of temperature stimulus,sensory perception,multicellular organismal process	thermoception			thermoception
UniProtKB:Q7Z2W7	Transient receptor potential cation channel subfamily M member 8		GO:0050955		GO_Central	NCBITaxon:9606	IBA	PANTHER:PTN008551499,MGI:MGI:2181435	PANTHER:PTHR13800	protein		GO_REF:0000033	20250408	TRPM8	Homo sapiens	biological_process,system process,thermoception,nervous system process,sensory perception of temperature stimulus,sensory perception,multicellular organismal process	biological_process,system process,thermoception,nervous system process,sensory perception of temperature stimulus,sensory perception,multicellular organismal process	thermoception			thermoception
UniProtKB:Q8NER1	Transient receptor potential cation channel subfamily V member 1		GO:0050955		MGI	NCBITaxon:9606	IDA		PANTHER:PTHR10582	protein	UniProtKB:Q8NER1	PMID:10201375	20081007	TRPV1	Homo sapiens	biological_process,system process,thermoception,nervous system process,sensory perception of temperature stimulus,sensory perception,multicellular organismal process	biological_process,system process,thermoception,nervous system process,sensory perception of temperature stimulus,sensory perception,multicellular organismal process	thermoception			thermoception
UniProtKB:Q8NER1	Transient receptor potential cation channel subfamily V member 1		GO:0050960		Ensembl	NCBITaxon:9606	IEA	UniProtKB:Q704Y3,ensembl:ENSMUSP00000099585	PANTHER:PTHR10582	protein	UniProtKB:Q8NER1	GO_REF:0000107	20250313	TRPV1	Homo sapiens	detection of external stimulus,biological_process,detection of stimulus involved in sensory perception,response to temperature stimulus,detection of abiotic stimulus,sensory perception,detection of temperature stimulus involved in thermoception,detection of temperature stimulus involved in sensory perception,response to abiotic stimulus,system process,response to external stimulus,detection of stimulus,thermoception,detection of temperature stimulus,nervous system process,sensory perception of temperature stimulus,response to stimulus,multicellular organismal process	detection of external stimulus,biological_process,detection of stimulus involved in sensory perception,response to temperature stimulus,detection of abiotic stimulus,sensory perception,detection of temperature stimulus involved in thermoception,detection of temperature stimulus involved in sensory perception,response to abiotic stimulus,system process,response to external stimulus,detection of stimulus,thermoception,detection of temperature stimulus,nervous system process,sensory perception of temperature stimulus,response to stimulus,multicellular organismal process	detection of temperature stimulus involved in thermoception			thermoception
UniProtKB:Q9UHM6	Melanopsin		GO:0050960		Ensembl	NCBITaxon:9606	IEA	UniProtKB:Q9QXZ9,ensembl:ENSMUSP00000022331	PANTHER:PTHR24240	protein	UniProtKB:Q9UHM6	GO_REF:0000107	20250313	OPN4	Homo sapiens	detection of external stimulus,biological_process,detection of stimulus involved in sensory perception,response to temperature stimulus,detection of abiotic stimulus,sensory perception,detection of temperature stimulus involved in thermoception,detection of temperature stimulus involved in sensory perception,response to abiotic stimulus,system process,response to external stimulus,detection of stimulus,thermoception,detection of temperature stimulus,nervous system process,sensory perception of temperature stimulus,response to stimulus,multicellular organismal process	detection of external stimulus,biological_process,detection of stimulus involved in sensory perception,response to temperature stimulus,detection of abiotic stimulus,sensory perception,detection of temperature stimulus involved in thermoception,detection of temperature stimulus involved in sensory perception,response to abiotic stimulus,system process,response to external stimulus,detection of stimulus,thermoception,detection of temperature stimulus,nervous system process,sensory perception of temperature stimulus,response to stimulus,multicellular organismal process	detection of temperature stimulus involved in thermoception			thermoception
