bioentity	bioentity_name	qualifier	annotation_class	annotation_extension_json	assigned_by	taxon	evidence_type	evidence_with	panther_family	type	bioentity_isoform	reference	date	bioentity_label	taxon_label	isa_partof_closure_label	regulates_closure_label	annotation_class_label	annotation_extension_class_labelannotation_extension_class_closure_label	has_participant_closure_label	term
UniProtKB:P80404	4-aminobutyrate aminotransferase, mitochondrial		GO:0031652		Ensembl	NCBITaxon:9606	IEA	UniProtKB:P50554,ensembl:ENSRNOP00000003633	PANTHER:PTHR43206	protein	UniProtKB:P80404	GO_REF:0000107	20250313	ABAT	Homo sapiens	biological regulation,biological_process,positive regulation of multicellular organismal process,positive regulation of heat generation,regulation of heat generation,regulation of multicellular organismal process,regulation of biological process,positive regulation of biological process	biological regulation,biological_process,positive regulation of biological process,heat generation,homeostatic process,positive regulation of multicellular organismal process,multicellular organismal-level homeostasis,temperature homeostasis,positive regulation of heat generation,regulation of heat generation,regulation of multicellular organismal process,regulation of biological process,multicellular organismal process	positive regulation of heat generation			positive_regulation_of_heat_generation
UniProtKB:O14788	Tumor necrosis factor ligand superfamily member 11		GO:0071812		Ensembl	NCBITaxon:9606	IEA	UniProtKB:O35235,ensembl:ENSMUSP00000022592	PANTHER:PTHR11471	protein	UniProtKB:O14788	GO_REF:0000107	20250313	TNFSF11	Homo sapiens	positive regulation of lipid transport,regulation of organic acid transport,regulation of response to stress,positive regulation of transport,positive regulation of biological process,positive regulation of acute inflammatory response,positive regulation of response to stimulus,positive regulation of prostaglandin secretion,regulation of transport,regulation of response to stimulus,regulation of secretion,regulation of prostaglandin secretion,positive regulation of secretion,regulation of cellular process,positive regulation of cellular process,positive regulation of multicellular organismal process,positive regulation of response to external stimulus,positive regulation of heat generation,regulation of response to external stimulus,regulation of heat generation,positive regulation of icosanoid secretion,regulation of lipid transport,positive regulation of fever generation by positive regulation of prostaglandin secretion,regulation of icosanoid secretion,biological regulation,positive regulation of fatty acid transport,biological_process,regulation of fatty acid transport,regulation of lipid localization,positive regulation of secretion by cell,positive regulation of inflammatory response,regulation of secretion by cell,positive regulation of lipid localization,regulation of acute inflammatory response,positive regulation of defense response,regulation of localization,regulation of inflammatory response,positive regulation of organic acid transport,regulation of multicellular organismal process,regulation of defense response,positive regulation of fever generation,regulation of biological process,regulation of fever generation	positive regulation of lipid transport,regulation of organic acid transport,regulation of response to stress,positive regulation of transport,positive regulation of biological process,positive regulation of acute inflammatory response,regulation of transport,regulation of secretion,inflammatory response,positive regulation of secretion,regulation of cellular process,fatty acid transport,positive regulation of cellular process,signal release,positive regulation of multicellular organismal process,export from cell,regulation of lipid transport,lipid export from cell,positive regulation of fever generation by positive regulation of prostaglandin secretion,biological regulation,biological_process,secretion,regulation of lipid localization,positive regulation of secretion by cell,positive regulation of inflammatory response,regulation of secretion by cell,carboxylic acid transport,positive regulation of lipid localization,transport,positive regulation of defense response,regulation of localization,localization,acute inflammatory response,homeostatic process,monocarboxylic acid transport,regulation of inflammatory response,prostaglandin secretion,regulation of defense response,positive regulation of fever generation,organic anion transport,regulation of fever generation,positive regulation of response to stimulus,positive regulation of prostaglandin secretion,regulation of response to stimulus,icosanoid secretion,regulation of prostaglandin secretion,response to external stimulus,organic acid transport,positive regulation of response to external stimulus,positive regulation of heat generation,macromolecule localization,lipid localization,regulation of response to external stimulus,regulation of heat generation,icosanoid transport,positive regulation of icosanoid secretion,response to stimulus,secretion by cell,multicellular organismal process,regulation of icosanoid secretion,positive regulation of fatty acid transport,regulation of fatty acid transport,defense response,acute-phase response,fever generation,regulation of acute inflammatory response,response to stress,cellular process,heat generation,lipid transport,establishment of localization,multicellular organismal-level homeostasis,temperature homeostasis,positive regulation of organic acid transport,regulation of multicellular organismal process,regulation of biological process,prostaglandin transport	positive regulation of fever generation by positive regulation of prostaglandin secretion			positive_regulation_of_heat_generation
UniProtKB:O14788	Tumor necrosis factor ligand superfamily member 11		GO:0071812		BHF-UCL	NCBITaxon:9606	ISS	UniProtKB:O35235	PANTHER:PTHR11471	protein	UniProtKB:O14788	PMID:19940926	20110110	TNFSF11	Homo sapiens	positive regulation of lipid transport,regulation of organic acid transport,regulation of response to stress,positive regulation of transport,positive regulation of biological process,positive regulation of acute inflammatory response,positive regulation of response to stimulus,positive regulation of prostaglandin secretion,regulation of transport,regulation of response to stimulus,regulation of secretion,regulation of prostaglandin secretion,positive regulation of secretion,regulation of cellular process,positive regulation of cellular process,positive regulation of multicellular organismal process,positive regulation of response to external stimulus,positive regulation of heat generation,regulation of response to external stimulus,regulation of heat generation,positive regulation of icosanoid secretion,regulation of lipid transport,positive regulation of fever generation by positive regulation of prostaglandin secretion,regulation of icosanoid secretion,biological regulation,positive regulation of fatty acid transport,biological_process,regulation of fatty acid transport,regulation of lipid localization,positive regulation of secretion by cell,positive regulation of inflammatory response,regulation of secretion by cell,positive regulation of lipid localization,regulation of acute inflammatory response,positive regulation of defense response,regulation of localization,regulation of inflammatory response,positive regulation of organic acid transport,regulation of multicellular organismal process,regulation of defense response,positive regulation of fever generation,regulation of biological process,regulation of fever generation	positive regulation of lipid transport,regulation of organic acid transport,regulation of response to stress,positive regulation of transport,positive regulation of biological process,positive regulation of acute inflammatory response,regulation of transport,regulation of secretion,inflammatory response,positive regulation of secretion,regulation of cellular process,fatty acid transport,positive regulation of cellular process,signal release,positive regulation of multicellular organismal process,export from cell,regulation of lipid transport,lipid export from cell,positive regulation of fever generation by positive regulation of prostaglandin secretion,biological regulation,biological_process,secretion,regulation of lipid localization,positive regulation of secretion by cell,positive regulation of inflammatory response,regulation of secretion by cell,carboxylic acid transport,positive regulation of lipid localization,transport,positive regulation of defense response,regulation of localization,localization,acute inflammatory response,homeostatic process,monocarboxylic acid transport,regulation of inflammatory response,prostaglandin secretion,regulation of defense response,positive regulation of fever generation,organic anion transport,regulation of fever generation,positive regulation of response to stimulus,positive regulation of prostaglandin secretion,regulation of response to stimulus,icosanoid secretion,regulation of prostaglandin secretion,response to external stimulus,organic acid transport,positive regulation of response to external stimulus,positive regulation of heat generation,macromolecule localization,lipid localization,regulation of response to external stimulus,regulation of heat generation,icosanoid transport,positive regulation of icosanoid secretion,response to stimulus,secretion by cell,multicellular organismal process,regulation of icosanoid secretion,positive regulation of fatty acid transport,regulation of fatty acid transport,defense response,acute-phase response,fever generation,regulation of acute inflammatory response,response to stress,cellular process,heat generation,lipid transport,establishment of localization,multicellular organismal-level homeostasis,temperature homeostasis,positive regulation of organic acid transport,regulation of multicellular organismal process,regulation of biological process,prostaglandin transport	positive regulation of fever generation by positive regulation of prostaglandin secretion			positive_regulation_of_heat_generation
UniProtKB:P43115	Prostaglandin E2 receptor EP3 subtype		GO:0031622		BHF-UCL	NCBITaxon:9606	ISS	UniProtKB:P30557	PANTHER:PTHR11866	protein	UniProtKB:P43115	GO_REF:0000024	20100611	PTGER3	Homo sapiens	biological regulation,biological_process,positive regulation of inflammatory response,regulation of response to stress,positive regulation of biological process,regulation of acute inflammatory response,positive regulation of response to stimulus,positive regulation of acute inflammatory response,regulation of response to stimulus,positive regulation of defense response,positive regulation of multicellular organismal process,regulation of inflammatory response,positive regulation of heat generation,positive regulation of response to external stimulus,regulation of heat generation,regulation of response to external stimulus,positive regulation of fever generation,regulation of multicellular organismal process,regulation of defense response,regulation of biological process,regulation of fever generation	regulation of response to stress,positive regulation of biological process,positive regulation of response to stimulus,positive regulation of acute inflammatory response,regulation of response to stimulus,inflammatory response,response to external stimulus,positive regulation of multicellular organismal process,positive regulation of heat generation,positive regulation of response to external stimulus,regulation of heat generation,regulation of response to external stimulus,response to stimulus,multicellular organismal process,biological regulation,biological_process,positive regulation of inflammatory response,defense response,acute-phase response,fever generation,regulation of acute inflammatory response,response to stress,heat generation,positive regulation of defense response,acute inflammatory response,homeostatic process,temperature homeostasis,multicellular organismal-level homeostasis,regulation of inflammatory response,positive regulation of fever generation,regulation of multicellular organismal process,regulation of defense response,regulation of biological process,regulation of fever generation	positive regulation of fever generation			positive_regulation_of_heat_generation
UniProtKB:Q9ULZ1	Apelin		GO:0031652		Ensembl	NCBITaxon:9606	IEA	UniProtKB:Q9R0R3,ensembl:ENSRNOP00000100018	PANTHER:PTHR15953	protein	UniProtKB:Q9ULZ1	GO_REF:0000107	20250313	APLN	Homo sapiens	biological regulation,biological_process,positive regulation of multicellular organismal process,positive regulation of heat generation,regulation of heat generation,regulation of multicellular organismal process,regulation of biological process,positive regulation of biological process	biological regulation,biological_process,positive regulation of biological process,heat generation,homeostatic process,positive regulation of multicellular organismal process,multicellular organismal-level homeostasis,temperature homeostasis,positive regulation of heat generation,regulation of heat generation,regulation of multicellular organismal process,regulation of biological process,multicellular organismal process	positive regulation of heat generation			positive_regulation_of_heat_generation
UniProtKB:Q9Y6Q6	Tumor necrosis factor receptor superfamily member 11A		GO:0071812		Ensembl	NCBITaxon:9606	IEA	UniProtKB:O35305,ensembl:ENSMUSP00000027559	PANTHER:PTHR47134	protein	UniProtKB:Q9Y6Q6	GO_REF:0000107	20250313	TNFRSF11A	Homo sapiens	positive regulation of lipid transport,regulation of organic acid transport,regulation of response to stress,positive regulation of transport,positive regulation of biological process,positive regulation of acute inflammatory response,positive regulation of response to stimulus,positive regulation of prostaglandin secretion,regulation of transport,regulation of response to stimulus,regulation of secretion,regulation of prostaglandin secretion,positive regulation of secretion,regulation of cellular process,positive regulation of cellular process,positive regulation of multicellular organismal process,positive regulation of response to external stimulus,positive regulation of heat generation,regulation of response to external stimulus,regulation of heat generation,positive regulation of icosanoid secretion,regulation of lipid transport,positive regulation of fever generation by positive regulation of prostaglandin secretion,regulation of icosanoid secretion,biological regulation,positive regulation of fatty acid transport,biological_process,regulation of fatty acid transport,regulation of lipid localization,positive regulation of secretion by cell,positive regulation of inflammatory response,regulation of secretion by cell,positive regulation of lipid localization,regulation of acute inflammatory response,positive regulation of defense response,regulation of localization,regulation of inflammatory response,positive regulation of organic acid transport,regulation of multicellular organismal process,regulation of defense response,positive regulation of fever generation,regulation of biological process,regulation of fever generation	positive regulation of lipid transport,regulation of organic acid transport,regulation of response to stress,positive regulation of transport,positive regulation of biological process,positive regulation of acute inflammatory response,regulation of transport,regulation of secretion,inflammatory response,positive regulation of secretion,regulation of cellular process,fatty acid transport,positive regulation of cellular process,signal release,positive regulation of multicellular organismal process,export from cell,regulation of lipid transport,lipid export from cell,positive regulation of fever generation by positive regulation of prostaglandin secretion,biological regulation,biological_process,secretion,regulation of lipid localization,positive regulation of secretion by cell,positive regulation of inflammatory response,regulation of secretion by cell,carboxylic acid transport,positive regulation of lipid localization,transport,positive regulation of defense response,regulation of localization,localization,acute inflammatory response,homeostatic process,monocarboxylic acid transport,regulation of inflammatory response,prostaglandin secretion,regulation of defense response,positive regulation of fever generation,organic anion transport,regulation of fever generation,positive regulation of response to stimulus,positive regulation of prostaglandin secretion,regulation of response to stimulus,icosanoid secretion,regulation of prostaglandin secretion,response to external stimulus,organic acid transport,positive regulation of response to external stimulus,positive regulation of heat generation,macromolecule localization,lipid localization,regulation of response to external stimulus,regulation of heat generation,icosanoid transport,positive regulation of icosanoid secretion,response to stimulus,secretion by cell,multicellular organismal process,regulation of icosanoid secretion,positive regulation of fatty acid transport,regulation of fatty acid transport,defense response,acute-phase response,fever generation,regulation of acute inflammatory response,response to stress,cellular process,heat generation,lipid transport,establishment of localization,multicellular organismal-level homeostasis,temperature homeostasis,positive regulation of organic acid transport,regulation of multicellular organismal process,regulation of biological process,prostaglandin transport	positive regulation of fever generation by positive regulation of prostaglandin secretion			positive_regulation_of_heat_generation
UniProtKB:Q9Y6Q6	Tumor necrosis factor receptor superfamily member 11A		GO:0071812		BHF-UCL	NCBITaxon:9606	ISS	UniProtKB:O35305	PANTHER:PTHR47134	protein	UniProtKB:Q9Y6Q6	PMID:19940926	20110110	TNFRSF11A	Homo sapiens	positive regulation of lipid transport,regulation of organic acid transport,regulation of response to stress,positive regulation of transport,positive regulation of biological process,positive regulation of acute inflammatory response,positive regulation of response to stimulus,positive regulation of prostaglandin secretion,regulation of transport,regulation of response to stimulus,regulation of secretion,regulation of prostaglandin secretion,positive regulation of secretion,regulation of cellular process,positive regulation of cellular process,positive regulation of multicellular organismal process,positive regulation of response to external stimulus,positive regulation of heat generation,regulation of response to external stimulus,regulation of heat generation,positive regulation of icosanoid secretion,regulation of lipid transport,positive regulation of fever generation by positive regulation of prostaglandin secretion,regulation of icosanoid secretion,biological regulation,positive regulation of fatty acid transport,biological_process,regulation of fatty acid transport,regulation of lipid localization,positive regulation of secretion by cell,positive regulation of inflammatory response,regulation of secretion by cell,positive regulation of lipid localization,regulation of acute inflammatory response,positive regulation of defense response,regulation of localization,regulation of inflammatory response,positive regulation of organic acid transport,regulation of multicellular organismal process,regulation of defense response,positive regulation of fever generation,regulation of biological process,regulation of fever generation	positive regulation of lipid transport,regulation of organic acid transport,regulation of response to stress,positive regulation of transport,positive regulation of biological process,positive regulation of acute inflammatory response,regulation of transport,regulation of secretion,inflammatory response,positive regulation of secretion,regulation of cellular process,fatty acid transport,positive regulation of cellular process,signal release,positive regulation of multicellular organismal process,export from cell,regulation of lipid transport,lipid export from cell,positive regulation of fever generation by positive regulation of prostaglandin secretion,biological regulation,biological_process,secretion,regulation of lipid localization,positive regulation of secretion by cell,positive regulation of inflammatory response,regulation of secretion by cell,carboxylic acid transport,positive regulation of lipid localization,transport,positive regulation of defense response,regulation of localization,localization,acute inflammatory response,homeostatic process,monocarboxylic acid transport,regulation of inflammatory response,prostaglandin secretion,regulation of defense response,positive regulation of fever generation,organic anion transport,regulation of fever generation,positive regulation of response to stimulus,positive regulation of prostaglandin secretion,regulation of response to stimulus,icosanoid secretion,regulation of prostaglandin secretion,response to external stimulus,organic acid transport,positive regulation of response to external stimulus,positive regulation of heat generation,macromolecule localization,lipid localization,regulation of response to external stimulus,regulation of heat generation,icosanoid transport,positive regulation of icosanoid secretion,response to stimulus,secretion by cell,multicellular organismal process,regulation of icosanoid secretion,positive regulation of fatty acid transport,regulation of fatty acid transport,defense response,acute-phase response,fever generation,regulation of acute inflammatory response,response to stress,cellular process,heat generation,lipid transport,establishment of localization,multicellular organismal-level homeostasis,temperature homeostasis,positive regulation of organic acid transport,regulation of multicellular organismal process,regulation of biological process,prostaglandin transport	positive regulation of fever generation by positive regulation of prostaglandin secretion			positive_regulation_of_heat_generation
UniProtKB:P28223	5-hydroxytryptamine receptor 2A		GO:0031652		Ensembl	NCBITaxon:9606	IEA	UniProtKB:P14842,ensembl:ENSRNOP00000013408	PANTHER:PTHR24247	protein	UniProtKB:P28223	GO_REF:0000107	20250313	HTR2A	Homo sapiens	biological regulation,biological_process,positive regulation of multicellular organismal process,positive regulation of heat generation,regulation of heat generation,regulation of multicellular organismal process,regulation of biological process,positive regulation of biological process	biological regulation,biological_process,positive regulation of biological process,heat generation,homeostatic process,positive regulation of multicellular organismal process,multicellular organismal-level homeostasis,temperature homeostasis,positive regulation of heat generation,regulation of heat generation,regulation of multicellular organismal process,regulation of biological process,multicellular organismal process	positive regulation of heat generation			positive_regulation_of_heat_generation
UniProtKB:P35354	Prostaglandin G/H synthase 2		GO:0031622		BHF-UCL	NCBITaxon:9606	ISS	UniProtKB:Q05769	PANTHER:PTHR11903	protein	UniProtKB:P35354	GO_REF:0000024	20100611	PTGS2	Homo sapiens	biological regulation,biological_process,positive regulation of inflammatory response,regulation of response to stress,positive regulation of biological process,regulation of acute inflammatory response,positive regulation of response to stimulus,positive regulation of acute inflammatory response,regulation of response to stimulus,positive regulation of defense response,positive regulation of multicellular organismal process,regulation of inflammatory response,positive regulation of heat generation,positive regulation of response to external stimulus,regulation of heat generation,regulation of response to external stimulus,positive regulation of fever generation,regulation of multicellular organismal process,regulation of defense response,regulation of biological process,regulation of fever generation	regulation of response to stress,positive regulation of biological process,positive regulation of response to stimulus,positive regulation of acute inflammatory response,regulation of response to stimulus,inflammatory response,response to external stimulus,positive regulation of multicellular organismal process,positive regulation of heat generation,positive regulation of response to external stimulus,regulation of heat generation,regulation of response to external stimulus,response to stimulus,multicellular organismal process,biological regulation,biological_process,positive regulation of inflammatory response,defense response,acute-phase response,fever generation,regulation of acute inflammatory response,response to stress,heat generation,positive regulation of defense response,acute inflammatory response,homeostatic process,temperature homeostasis,multicellular organismal-level homeostasis,regulation of inflammatory response,positive regulation of fever generation,regulation of multicellular organismal process,regulation of defense response,regulation of biological process,regulation of fever generation	positive regulation of fever generation			positive_regulation_of_heat_generation
UniProtKB:P35354	Prostaglandin G/H synthase 2		GO:0031622		Ensembl	NCBITaxon:9606	IEA	UniProtKB:Q05769,ensembl:ENSMUSP00000035065	PANTHER:PTHR11903	protein	UniProtKB:P35354	GO_REF:0000107	20250313	PTGS2	Homo sapiens	biological regulation,biological_process,positive regulation of inflammatory response,regulation of response to stress,positive regulation of biological process,regulation of acute inflammatory response,positive regulation of response to stimulus,positive regulation of acute inflammatory response,regulation of response to stimulus,positive regulation of defense response,positive regulation of multicellular organismal process,regulation of inflammatory response,positive regulation of heat generation,positive regulation of response to external stimulus,regulation of heat generation,regulation of response to external stimulus,positive regulation of fever generation,regulation of multicellular organismal process,regulation of defense response,regulation of biological process,regulation of fever generation	regulation of response to stress,positive regulation of biological process,positive regulation of response to stimulus,positive regulation of acute inflammatory response,regulation of response to stimulus,inflammatory response,response to external stimulus,positive regulation of multicellular organismal process,positive regulation of heat generation,positive regulation of response to external stimulus,regulation of heat generation,regulation of response to external stimulus,response to stimulus,multicellular organismal process,biological regulation,biological_process,positive regulation of inflammatory response,defense response,acute-phase response,fever generation,regulation of acute inflammatory response,response to stress,heat generation,positive regulation of defense response,acute inflammatory response,homeostatic process,temperature homeostasis,multicellular organismal-level homeostasis,regulation of inflammatory response,positive regulation of fever generation,regulation of multicellular organismal process,regulation of defense response,regulation of biological process,regulation of fever generation	positive regulation of fever generation			positive_regulation_of_heat_generation
