bioentity	bioentity_name	qualifier	annotation_class	annotation_extension_json	assigned_by	taxon	evidence_type	evidence_with	panther_family	type	bioentity_isoform	reference	date	bioentity_label	taxon_label	isa_partof_closure_label	regulates_closure_label	annotation_class_label	annotation_extension_class_labelannotation_extension_class_closure_label	has_participant_closure_label	term
UniProtKB:C9JCN9	Heat shock factor-binding protein 1-like protein 1		GO:0070370		GO_Central	NCBITaxon:9606	IBA	PANTHER:PTN000454531,TAIR:locus:1005716315	PANTHER:PTHR19424	protein		GO_REF:0000033	20170509	HSBP1L1	Homo sapiens	biological_process,response to heat,response to abiotic stimulus,heat acclimation,cellular heat acclimation,cellular response to heat,response to temperature stimulus,cellular response to stimulus,cellular response to stress,response to stress,cellular process,response to stimulus	biological_process,response to heat,response to abiotic stimulus,heat acclimation,cellular heat acclimation,cellular response to heat,response to temperature stimulus,cellular response to stimulus,cellular response to stress,response to stress,cellular process,response to stimulus	cellular heat acclimation			cellular_response_to_heat
UniProtKB:P54252	Ataxin-3		GO:0034605		Ensembl	NCBITaxon:9606	IEA	UniProtKB:Q9CVD2,ensembl:ENSMUSP00000021606	PANTHER:PTHR14159	protein	UniProtKB:P54252	GO_REF:0000107	20250313	ATXN3	Homo sapiens	biological_process,response to heat,response to abiotic stimulus,cellular response to heat,response to temperature stimulus,cellular response to stimulus,cellular response to stress,response to stress,cellular process,response to stimulus	biological_process,response to heat,response to abiotic stimulus,cellular response to heat,response to temperature stimulus,cellular response to stimulus,cellular response to stress,response to stress,cellular process,response to stimulus	cellular response to heat			cellular_response_to_heat
UniProtKB:P54252	Ataxin-3		GO:0034605		ParkinsonsUK-UCL	NCBITaxon:9606	ISS	UniProtKB:Q9CVD2	PANTHER:PTHR14159	protein	UniProtKB:P54252	GO_REF:0000024	20140918	ATXN3	Homo sapiens	biological_process,response to heat,response to abiotic stimulus,cellular response to heat,response to temperature stimulus,cellular response to stimulus,cellular response to stress,response to stress,cellular process,response to stimulus	biological_process,response to heat,response to abiotic stimulus,cellular response to heat,response to temperature stimulus,cellular response to stimulus,cellular response to stress,response to stress,cellular process,response to stimulus	cellular response to heat			cellular_response_to_heat
UniProtKB:P63165	Small ubiquitin-related modifier 1		GO:0034605		UniProt	NCBITaxon:9606	IDA		PANTHER:PTHR10562	protein	UniProtKB:P63165	PMID:11514557	20161007	SUMO1	Homo sapiens	biological_process,response to heat,response to abiotic stimulus,cellular response to heat,response to temperature stimulus,cellular response to stimulus,cellular response to stress,response to stress,cellular process,response to stimulus	biological_process,response to heat,response to abiotic stimulus,cellular response to heat,response to temperature stimulus,cellular response to stimulus,cellular response to stress,response to stress,cellular process,response to stimulus	cellular response to heat			cellular_response_to_heat
UniProtKB:P09601	Heme oxygenase 1		GO:0034605		UniProt	NCBITaxon:9606	IMP		PANTHER:PTHR10720	protein	UniProtKB:P09601	PMID:21597468	20150121	HMOX1	Homo sapiens	biological_process,response to heat,response to abiotic stimulus,cellular response to heat,response to temperature stimulus,cellular response to stimulus,cellular response to stress,response to stress,cellular process,response to stimulus	biological_process,response to heat,response to abiotic stimulus,cellular response to heat,response to temperature stimulus,cellular response to stimulus,cellular response to stress,response to stress,cellular process,response to stimulus	cellular response to heat			cellular_response_to_heat
UniProtKB:Q8TCF1	AN1-type zinc finger protein 1	not	GO:0034605		UniProt	NCBITaxon:9606	IMP		PANTHER:PTHR14677	protein	UniProtKB:Q8TCF1	PMID:29804830	20180712	ZFAND1	Homo sapiens	biological_process,response to heat,response to abiotic stimulus,cellular response to heat,response to temperature stimulus,cellular response to stimulus,cellular response to stress,response to stress,cellular process,response to stimulus	biological_process,response to heat,response to abiotic stimulus,cellular response to heat,response to temperature stimulus,cellular response to stimulus,cellular response to stress,response to stress,cellular process,response to stimulus	cellular response to heat			cellular_response_to_heat
UniProtKB:P29692	Elongation factor 1-delta		GO:0034605	"{""relationship"": {""relation"": [{""id"": ""RO:0002092""\, ""label"": ""happens during""}]\, ""id"": ""GO:0034605""\, ""label"": ""cellular response to heat""}}"	UniProt	NCBITaxon:9606	IMP		PANTHER:PTHR11595	protein	UniProtKB:P29692-2	PMID:21597468	20230503	EEF1D	Homo sapiens	biological_process,response to heat,response to abiotic stimulus,cellular response to heat,response to temperature stimulus,cellular response to stimulus,cellular response to stress,response to stress,cellular process,response to stimulus	biological_process,response to heat,response to abiotic stimulus,cellular response to heat,response to temperature stimulus,cellular response to stimulus,cellular response to stress,response to stress,cellular process,response to stimulus	cellular response to heat			cellular_response_to_heat
UniProtKB:Q58FF8	Putative heat shock protein HSP 90-beta 2		GO:0034605		GO_Central	NCBITaxon:9606	IBA	PANTHER:PTN000163629,MGI:MGI:96247,SGD:S000004798,WB:WBGene00000915,CGD:CAL0000201062,MGI:MGI:96250	PANTHER:PTHR11528	protein		GO_REF:0000033	20210904	HSP90AB2P	Homo sapiens	biological_process,response to heat,response to abiotic stimulus,cellular response to heat,response to temperature stimulus,cellular response to stimulus,cellular response to stress,response to stress,cellular process,response to stimulus	biological_process,response to heat,response to abiotic stimulus,cellular response to heat,response to temperature stimulus,cellular response to stimulus,cellular response to stress,response to stress,cellular process,response to stimulus	cellular response to heat			cellular_response_to_heat
UniProtKB:Q58FF7	Putative heat shock protein HSP 90-beta-3		GO:0034605		GO_Central	NCBITaxon:9606	IBA	PANTHER:PTN000163629,MGI:MGI:96247,SGD:S000004798,WB:WBGene00000915,CGD:CAL0000201062,MGI:MGI:96250	PANTHER:PTHR11528	protein		GO_REF:0000033	20210904	HSP90AB3P	Homo sapiens	biological_process,response to heat,response to abiotic stimulus,cellular response to heat,response to temperature stimulus,cellular response to stimulus,cellular response to stress,response to stress,cellular process,response to stimulus	biological_process,response to heat,response to abiotic stimulus,cellular response to heat,response to temperature stimulus,cellular response to stimulus,cellular response to stress,response to stress,cellular process,response to stimulus	cellular response to heat			cellular_response_to_heat
UniProtKB:Q58FF6	Putative heat shock protein HSP 90-beta 4		GO:0034605		GO_Central	NCBITaxon:9606	IBA	PANTHER:PTN000163629,MGI:MGI:96247,SGD:S000004798,WB:WBGene00000915,CGD:CAL0000201062,MGI:MGI:96250	PANTHER:PTHR11528	protein		GO_REF:0000033	20210904	HSP90AB4P	Homo sapiens	biological_process,response to heat,response to abiotic stimulus,cellular response to heat,response to temperature stimulus,cellular response to stimulus,cellular response to stress,response to stress,cellular process,response to stimulus	biological_process,response to heat,response to abiotic stimulus,cellular response to heat,response to temperature stimulus,cellular response to stimulus,cellular response to stress,response to stress,cellular process,response to stimulus	cellular response to heat			cellular_response_to_heat
