bioentity	bioentity_name	qualifier	annotation_class	annotation_extension_json	assigned_by	taxon	evidence_type	evidence_with	panther_family	type	bioentity_isoform	reference	date	bioentity_label	taxon_label	isa_partof_closure_label	regulates_closure_label	annotation_class_label	annotation_extension_class_labelannotation_extension_class_closure_label	has_participant_closure_label	term
UniProtKB:Q05655	Protein kinase C delta type		GO:0090331		UniProt	NCBITaxon:9606	ISS	UniProtKB:P28867	PANTHER:PTHR24356	protein	UniProtKB:Q05655	GO_REF:0000024	20111209	PRKCD	Homo sapiens	regulation of coagulation,regulation of cell-cell adhesion,negative regulation of coagulation,regulation of blood coagulation,negative regulation of homotypic cell-cell adhesion,negative regulation of platelet aggregation,negative regulation of cell-cell adhesion,regulation of homotypic cell-cell adhesion,negative regulation of blood coagulation,regulation of response to stress,regulation of platelet aggregation,negative regulation of biological process,regulation of response to stimulus,regulation of cellular process,negative regulation of response to stimulus,negative regulation of multicellular organismal process,negative regulation of response to external stimulus,regulation of body fluid levels,regulation of response to external stimulus,biological regulation,negative regulation of wound healing,regulation of biological quality,biological_process,regulation of wound healing,negative regulation of cell adhesion,regulation of response to wounding,negative regulation of response to wounding,negative regulation of hemostasis,regulation of hemostasis,negative regulation of cellular process,negative regulation of platelet activation,regulation of cell adhesion,regulation of cell activation,regulation of multicellular organismal process,regulation of biological process,negative regulation of cell activation,regulation of platelet activation	regulation of cell-cell adhesion,regulation of blood coagulation,negative regulation of homotypic cell-cell adhesion,negative regulation of platelet aggregation,negative regulation of cell-cell adhesion,regulation of homotypic cell-cell adhesion,negative regulation of blood coagulation,regulation of response to stress,regulation of platelet aggregation,negative regulation of biological process,wound healing,regulation of cellular process,negative regulation of multicellular organismal process,regulation of body fluid levels,homotypic cell-cell adhesion,platelet aggregation,biological regulation,negative regulation of wound healing,regulation of biological quality,biological_process,regulation of wound healing,negative regulation of cellular process,negative regulation of platelet activation,regulation of platelet activation,regulation of coagulation,negative regulation of coagulation,coagulation,response to wounding,cell adhesion,blood coagulation,hemostasis,regulation of response to stimulus,response to external stimulus,negative regulation of response to stimulus,negative regulation of response to external stimulus,regulation of response to external stimulus,platelet activation,response to stimulus,multicellular organismal process,negative regulation of cell adhesion,regulation of response to wounding,negative regulation of response to wounding,negative regulation of hemostasis,regulation of hemostasis,response to stress,cellular process,cell activation,regulation of cell adhesion,regulation of cell activation,regulation of multicellular organismal process,cell-cell adhesion,regulation of biological process,negative regulation of cell activation	negative regulation of platelet aggregation			regulation_of_coagulation
UniProtKB:Q05655	Protein kinase C delta type		GO:0090331		Ensembl	NCBITaxon:9606	IEA	UniProtKB:P28867,ensembl:ENSMUSP00000107829	PANTHER:PTHR24356	protein	UniProtKB:Q05655	GO_REF:0000107	20250313	PRKCD	Homo sapiens	regulation of coagulation,regulation of cell-cell adhesion,negative regulation of coagulation,regulation of blood coagulation,negative regulation of homotypic cell-cell adhesion,negative regulation of platelet aggregation,negative regulation of cell-cell adhesion,regulation of homotypic cell-cell adhesion,negative regulation of blood coagulation,regulation of response to stress,regulation of platelet aggregation,negative regulation of biological process,regulation of response to stimulus,regulation of cellular process,negative regulation of response to stimulus,negative regulation of multicellular organismal process,negative regulation of response to external stimulus,regulation of body fluid levels,regulation of response to external stimulus,biological regulation,negative regulation of wound healing,regulation of biological quality,biological_process,regulation of wound healing,negative regulation of cell adhesion,regulation of response to wounding,negative regulation of response to wounding,negative regulation of hemostasis,regulation of hemostasis,negative regulation of cellular process,negative regulation of platelet activation,regulation of cell adhesion,regulation of cell activation,regulation of multicellular organismal process,regulation of biological process,negative regulation of cell activation,regulation of platelet activation	regulation of cell-cell adhesion,regulation of blood coagulation,negative regulation of homotypic cell-cell adhesion,negative regulation of platelet aggregation,negative regulation of cell-cell adhesion,regulation of homotypic cell-cell adhesion,negative regulation of blood coagulation,regulation of response to stress,regulation of platelet aggregation,negative regulation of biological process,wound healing,regulation of cellular process,negative regulation of multicellular organismal process,regulation of body fluid levels,homotypic cell-cell adhesion,platelet aggregation,biological regulation,negative regulation of wound healing,regulation of biological quality,biological_process,regulation of wound healing,negative regulation of cellular process,negative regulation of platelet activation,regulation of platelet activation,regulation of coagulation,negative regulation of coagulation,coagulation,response to wounding,cell adhesion,blood coagulation,hemostasis,regulation of response to stimulus,response to external stimulus,negative regulation of response to stimulus,negative regulation of response to external stimulus,regulation of response to external stimulus,platelet activation,response to stimulus,multicellular organismal process,negative regulation of cell adhesion,regulation of response to wounding,negative regulation of response to wounding,negative regulation of hemostasis,regulation of hemostasis,response to stress,cellular process,cell activation,regulation of cell adhesion,regulation of cell activation,regulation of multicellular organismal process,cell-cell adhesion,regulation of biological process,negative regulation of cell activation	negative regulation of platelet aggregation			regulation_of_coagulation
UniProtKB:P04004	Vitronectin		GO:0030195		BHF-UCL	NCBITaxon:9606	IDA		PANTHER:PTHR22917	protein	UniProtKB:P04004	PMID:1695900	20250215	VTN	Homo sapiens	biological regulation,negative regulation of wound healing,biological_process,regulation of biological quality,regulation of wound healing,regulation of coagulation,negative regulation of coagulation,regulation of blood coagulation,regulation of response to wounding,negative regulation of blood coagulation,negative regulation of response to wounding,negative regulation of hemostasis,regulation of response to stress,regulation of hemostasis,negative regulation of biological process,regulation of response to stimulus,negative regulation of response to stimulus,negative regulation of multicellular organismal process,negative regulation of response to external stimulus,regulation of body fluid levels,regulation of response to external stimulus,regulation of multicellular organismal process,regulation of biological process	regulation of coagulation,negative regulation of coagulation,regulation of blood coagulation,negative regulation of blood coagulation,coagulation,response to wounding,regulation of response to stress,blood coagulation,negative regulation of biological process,hemostasis,regulation of response to stimulus,wound healing,response to external stimulus,negative regulation of response to stimulus,negative regulation of multicellular organismal process,negative regulation of response to external stimulus,regulation of body fluid levels,regulation of response to external stimulus,response to stimulus,multicellular organismal process,biological regulation,negative regulation of wound healing,biological_process,regulation of biological quality,regulation of wound healing,regulation of response to wounding,negative regulation of response to wounding,negative regulation of hemostasis,regulation of hemostasis,response to stress,regulation of multicellular organismal process,regulation of biological process	negative regulation of blood coagulation			regulation_of_coagulation
UniProtKB:P04004	Vitronectin		GO:0051918		ComplexPortal	NCBITaxon:9606	NAS		PANTHER:PTHR22917	protein	UniProtKB:P04004	PMID:1695900	20250310	VTN	Homo sapiens	regulation of coagulation,positive regulation of blood coagulation,regulation of blood coagulation,regulation of response to stress,negative regulation of biological process,positive regulation of biological process,positive regulation of response to stimulus,regulation of response to stimulus,positive regulation of multicellular organismal process,positive regulation of response to external stimulus,regulation of body fluid levels,regulation of response to external stimulus,biological regulation,regulation of biological quality,biological_process,positive regulation of wound healing,negative regulation of fibrinolysis,regulation of wound healing,positive regulation of response to wounding,regulation of response to wounding,regulation of fibrinolysis,regulation of hemostasis,positive regulation of hemostasis,regulation of multicellular organismal process,regulation of biological process,positive regulation of coagulation	regulation of coagulation,positive regulation of blood coagulation,negative regulation of coagulation,regulation of blood coagulation,coagulation,negative regulation of blood coagulation,response to wounding,regulation of response to stress,blood coagulation,negative regulation of biological process,fibrinolysis,positive regulation of biological process,hemostasis,positive regulation of response to stimulus,regulation of response to stimulus,wound healing,response to external stimulus,positive regulation of multicellular organismal process,negative regulation of response to stimulus,negative regulation of multicellular organismal process,negative regulation of response to external stimulus,positive regulation of response to external stimulus,regulation of body fluid levels,regulation of response to external stimulus,response to stimulus,multicellular organismal process,biological regulation,negative regulation of wound healing,regulation of biological quality,biological_process,positive regulation of wound healing,negative regulation of fibrinolysis,regulation of wound healing,positive regulation of response to wounding,regulation of response to wounding,regulation of fibrinolysis,negative regulation of response to wounding,negative regulation of hemostasis,regulation of hemostasis,positive regulation of hemostasis,response to stress,regulation of multicellular organismal process,regulation of biological process,positive regulation of coagulation	negative regulation of fibrinolysis			regulation_of_coagulation
UniProtKB:Q8TF42	Ubiquitin-associated and SH3 domain-containing protein B		GO:0090331		Ensembl	NCBITaxon:9606	IEA	UniProtKB:Q8BGG7,ensembl:ENSMUSP00000043865	PANTHER:PTHR16469	protein	UniProtKB:Q8TF42	GO_REF:0000107	20250313	UBASH3B	Homo sapiens	regulation of coagulation,regulation of cell-cell adhesion,negative regulation of coagulation,regulation of blood coagulation,negative regulation of homotypic cell-cell adhesion,negative regulation of platelet aggregation,negative regulation of cell-cell adhesion,regulation of homotypic cell-cell adhesion,negative regulation of blood coagulation,regulation of response to stress,regulation of platelet aggregation,negative regulation of biological process,regulation of response to stimulus,regulation of cellular process,negative regulation of response to stimulus,negative regulation of multicellular organismal process,negative regulation of response to external stimulus,regulation of body fluid levels,regulation of response to external stimulus,biological regulation,negative regulation of wound healing,regulation of biological quality,biological_process,regulation of wound healing,negative regulation of cell adhesion,regulation of response to wounding,negative regulation of response to wounding,negative regulation of hemostasis,regulation of hemostasis,negative regulation of cellular process,negative regulation of platelet activation,regulation of cell adhesion,regulation of cell activation,regulation of multicellular organismal process,regulation of biological process,negative regulation of cell activation,regulation of platelet activation	regulation of cell-cell adhesion,regulation of blood coagulation,negative regulation of homotypic cell-cell adhesion,negative regulation of platelet aggregation,negative regulation of cell-cell adhesion,regulation of homotypic cell-cell adhesion,negative regulation of blood coagulation,regulation of response to stress,regulation of platelet aggregation,negative regulation of biological process,wound healing,regulation of cellular process,negative regulation of multicellular organismal process,regulation of body fluid levels,homotypic cell-cell adhesion,platelet aggregation,biological regulation,negative regulation of wound healing,regulation of biological quality,biological_process,regulation of wound healing,negative regulation of cellular process,negative regulation of platelet activation,regulation of platelet activation,regulation of coagulation,negative regulation of coagulation,coagulation,response to wounding,cell adhesion,blood coagulation,hemostasis,regulation of response to stimulus,response to external stimulus,negative regulation of response to stimulus,negative regulation of response to external stimulus,regulation of response to external stimulus,platelet activation,response to stimulus,multicellular organismal process,negative regulation of cell adhesion,regulation of response to wounding,negative regulation of response to wounding,negative regulation of hemostasis,regulation of hemostasis,response to stress,cellular process,cell activation,regulation of cell adhesion,regulation of cell activation,regulation of multicellular organismal process,cell-cell adhesion,regulation of biological process,negative regulation of cell activation	negative regulation of platelet aggregation			regulation_of_coagulation
UniProtKB:P16671	Platelet glycoprotein 4		GO:0030194		Ensembl	NCBITaxon:9606	IEA	UniProtKB:Q08857,ensembl:ENSMUSP00000133008	PANTHER:PTHR11923	protein	UniProtKB:P16671	GO_REF:0000107	20250313	CD36	Homo sapiens	biological regulation,biological_process,regulation of biological quality,positive regulation of wound healing,positive regulation of blood coagulation,regulation of wound healing,positive regulation of response to wounding,regulation of coagulation,regulation of blood coagulation,regulation of response to wounding,regulation of response to stress,regulation of hemostasis,positive regulation of hemostasis,positive regulation of biological process,positive regulation of response to stimulus,regulation of response to stimulus,positive regulation of multicellular organismal process,regulation of body fluid levels,regulation of response to external stimulus,regulation of multicellular organismal process,regulation of biological process,positive regulation of coagulation	positive regulation of blood coagulation,regulation of coagulation,regulation of blood coagulation,coagulation,response to wounding,regulation of response to stress,blood coagulation,positive regulation of biological process,hemostasis,positive regulation of response to stimulus,regulation of response to stimulus,wound healing,response to external stimulus,positive regulation of multicellular organismal process,regulation of body fluid levels,regulation of response to external stimulus,response to stimulus,multicellular organismal process,biological regulation,biological_process,regulation of biological quality,positive regulation of wound healing,regulation of wound healing,positive regulation of response to wounding,regulation of response to wounding,regulation of hemostasis,positive regulation of hemostasis,response to stress,regulation of multicellular organismal process,regulation of biological process,positive regulation of coagulation	positive regulation of blood coagulation			regulation_of_coagulation
ComplexPortal:CPX-494	tPA-PAI-1 complex		GO:0051918		ComplexPortal	NCBITaxon:9606	NAS			protein_complex		PMID:8508955	20241021	tpa-pai-1_human	Homo sapiens	regulation of coagulation,positive regulation of blood coagulation,regulation of blood coagulation,regulation of response to stress,negative regulation of biological process,positive regulation of biological process,positive regulation of response to stimulus,regulation of response to stimulus,positive regulation of multicellular organismal process,positive regulation of response to external stimulus,regulation of body fluid levels,regulation of response to external stimulus,biological regulation,regulation of biological quality,biological_process,positive regulation of wound healing,negative regulation of fibrinolysis,regulation of wound healing,positive regulation of response to wounding,regulation of response to wounding,regulation of fibrinolysis,regulation of hemostasis,positive regulation of hemostasis,regulation of multicellular organismal process,regulation of biological process,positive regulation of coagulation	regulation of coagulation,positive regulation of blood coagulation,negative regulation of coagulation,regulation of blood coagulation,coagulation,negative regulation of blood coagulation,response to wounding,regulation of response to stress,blood coagulation,negative regulation of biological process,fibrinolysis,positive regulation of biological process,hemostasis,positive regulation of response to stimulus,regulation of response to stimulus,wound healing,response to external stimulus,positive regulation of multicellular organismal process,negative regulation of response to stimulus,negative regulation of multicellular organismal process,negative regulation of response to external stimulus,positive regulation of response to external stimulus,regulation of body fluid levels,regulation of response to external stimulus,response to stimulus,multicellular organismal process,biological regulation,negative regulation of wound healing,regulation of biological quality,biological_process,positive regulation of wound healing,negative regulation of fibrinolysis,regulation of wound healing,positive regulation of response to wounding,regulation of response to wounding,regulation of fibrinolysis,negative regulation of response to wounding,negative regulation of hemostasis,regulation of hemostasis,positive regulation of hemostasis,response to stress,regulation of multicellular organismal process,regulation of biological process,positive regulation of coagulation	negative regulation of fibrinolysis			regulation_of_coagulation
ComplexPortal:CPX-487	uPA-uPAR complex		GO:0051917		ComplexPortal	NCBITaxon:9606	NAS			protein_complex		PMID:3920216	20250127	upa-upar_human	Homo sapiens	biological regulation,biological_process,regulation of biological quality,regulation of wound healing,regulation of coagulation,regulation of blood coagulation,regulation of response to wounding,regulation of fibrinolysis,regulation of response to stress,regulation of hemostasis,regulation of response to stimulus,regulation of body fluid levels,regulation of response to external stimulus,regulation of multicellular organismal process,regulation of biological process	regulation of coagulation,negative regulation of coagulation,regulation of blood coagulation,negative regulation of blood coagulation,coagulation,response to wounding,regulation of response to stress,blood coagulation,negative regulation of biological process,fibrinolysis,hemostasis,regulation of response to stimulus,wound healing,response to external stimulus,negative regulation of response to stimulus,negative regulation of multicellular organismal process,negative regulation of response to external stimulus,regulation of body fluid levels,regulation of response to external stimulus,response to stimulus,multicellular organismal process,biological regulation,negative regulation of wound healing,biological_process,regulation of biological quality,regulation of wound healing,regulation of response to wounding,regulation of fibrinolysis,negative regulation of response to wounding,negative regulation of hemostasis,regulation of hemostasis,response to stress,regulation of multicellular organismal process,regulation of biological process	regulation of fibrinolysis			regulation_of_coagulation
ComplexPortal:CPX-483	uPA-PAI-1 complex		GO:0051918		ComplexPortal	NCBITaxon:9606	NAS			protein_complex		PMID:8508955	20250127	upa-pai-1_human	Homo sapiens	regulation of coagulation,positive regulation of blood coagulation,regulation of blood coagulation,regulation of response to stress,negative regulation of biological process,positive regulation of biological process,positive regulation of response to stimulus,regulation of response to stimulus,positive regulation of multicellular organismal process,positive regulation of response to external stimulus,regulation of body fluid levels,regulation of response to external stimulus,biological regulation,regulation of biological quality,biological_process,positive regulation of wound healing,negative regulation of fibrinolysis,regulation of wound healing,positive regulation of response to wounding,regulation of response to wounding,regulation of fibrinolysis,regulation of hemostasis,positive regulation of hemostasis,regulation of multicellular organismal process,regulation of biological process,positive regulation of coagulation	regulation of coagulation,positive regulation of blood coagulation,negative regulation of coagulation,regulation of blood coagulation,coagulation,negative regulation of blood coagulation,response to wounding,regulation of response to stress,blood coagulation,negative regulation of biological process,fibrinolysis,positive regulation of biological process,hemostasis,positive regulation of response to stimulus,regulation of response to stimulus,wound healing,response to external stimulus,positive regulation of multicellular organismal process,negative regulation of response to stimulus,negative regulation of multicellular organismal process,negative regulation of response to external stimulus,positive regulation of response to external stimulus,regulation of body fluid levels,regulation of response to external stimulus,response to stimulus,multicellular organismal process,biological regulation,negative regulation of wound healing,regulation of biological quality,biological_process,positive regulation of wound healing,negative regulation of fibrinolysis,regulation of wound healing,positive regulation of response to wounding,regulation of response to wounding,regulation of fibrinolysis,negative regulation of response to wounding,negative regulation of hemostasis,regulation of hemostasis,positive regulation of hemostasis,response to stress,regulation of multicellular organismal process,regulation of biological process,positive regulation of coagulation	negative regulation of fibrinolysis			regulation_of_coagulation
ComplexPortal:CPX-475	Vitronectin-PAI-1 complex		GO:0051918		ComplexPortal	NCBITaxon:9606	NAS			protein_complex		PMID:1695900	20250310	vitronectin-pai-1_human	Homo sapiens	regulation of coagulation,positive regulation of blood coagulation,regulation of blood coagulation,regulation of response to stress,negative regulation of biological process,positive regulation of biological process,positive regulation of response to stimulus,regulation of response to stimulus,positive regulation of multicellular organismal process,positive regulation of response to external stimulus,regulation of body fluid levels,regulation of response to external stimulus,biological regulation,regulation of biological quality,biological_process,positive regulation of wound healing,negative regulation of fibrinolysis,regulation of wound healing,positive regulation of response to wounding,regulation of response to wounding,regulation of fibrinolysis,regulation of hemostasis,positive regulation of hemostasis,regulation of multicellular organismal process,regulation of biological process,positive regulation of coagulation	regulation of coagulation,positive regulation of blood coagulation,negative regulation of coagulation,regulation of blood coagulation,coagulation,negative regulation of blood coagulation,response to wounding,regulation of response to stress,blood coagulation,negative regulation of biological process,fibrinolysis,positive regulation of biological process,hemostasis,positive regulation of response to stimulus,regulation of response to stimulus,wound healing,response to external stimulus,positive regulation of multicellular organismal process,negative regulation of response to stimulus,negative regulation of multicellular organismal process,negative regulation of response to external stimulus,positive regulation of response to external stimulus,regulation of body fluid levels,regulation of response to external stimulus,response to stimulus,multicellular organismal process,biological regulation,negative regulation of wound healing,regulation of biological quality,biological_process,positive regulation of wound healing,negative regulation of fibrinolysis,regulation of wound healing,positive regulation of response to wounding,regulation of response to wounding,regulation of fibrinolysis,negative regulation of response to wounding,negative regulation of hemostasis,regulation of hemostasis,positive regulation of hemostasis,response to stress,regulation of multicellular organismal process,regulation of biological process,positive regulation of coagulation	negative regulation of fibrinolysis			regulation_of_coagulation
