bioentity	bioentity_name	qualifier	annotation_class	annotation_extension_json	assigned_by	taxon	evidence_type	evidence_with	panther_family	type	bioentity_isoform	reference	date	bioentity_label	taxon_label	annotation_class_label	annotation_extension_class_label	term
UniProtKB:P13866	Sodium/glucose cotransporter 1		GO:0035377		ARUK-UCL	NCBITaxon:9606	IDA		PANTHER:PTHR11819	protein	UniProtKB:P13866	PMID:26945065	20200323	SLC5A1	Homo sapiens	transepithelial water transport		epithelial_fluid_transport
UniProtKB:P56856	Claudin-18		GO:0042045		UniProt	NCBITaxon:9606	ISS	UniProtKB:P56857	PANTHER:PTHR12002	protein	UniProtKB:P56856	GO_REF:0000024	20221212	CLDN18	Homo sapiens	epithelial fluid transport		epithelial_fluid_transport
UniProtKB:P56856	Claudin-18		GO:0042045		Ensembl	NCBITaxon:9606	IEA	UniProtKB:P56857,ensembl:ENSMUSP00000035048	PANTHER:PTHR12002	protein	UniProtKB:P56856	GO_REF:0000107	20250313	CLDN18	Homo sapiens	epithelial fluid transport		epithelial_fluid_transport
UniProtKB:P29972	Aquaporin-1		GO:0035377		UniProt	NCBITaxon:9606	IDA		PANTHER:PTHR19139	protein	UniProtKB:P29972	PMID:12766090	20100319	AQP1	Homo sapiens	transepithelial water transport		epithelial_fluid_transport
UniProtKB:P13569	Cystic fibrosis transmembrane conductance regulator		GO:0035377		UniProt	NCBITaxon:9606	IMP		PANTHER:PTHR24223	protein	UniProtKB:P13569	PMID:19621064	20170301	CFTR	Homo sapiens	transepithelial water transport		epithelial_fluid_transport
UniProtKB:P24530	Endothelin receptor type B		GO:0042045		Ensembl	NCBITaxon:9606	IEA	UniProtKB:P21451,ensembl:ENSRNOP00000014747	PANTHER:PTHR46099	protein	UniProtKB:P24530	GO_REF:0000107	20250313	EDNRB	Homo sapiens	epithelial fluid transport		epithelial_fluid_transport
UniProtKB:P51168	Epithelial sodium channel subunit beta		GO:0042045		Ensembl	NCBITaxon:9606	IEA	UniProtKB:Q9WU38,ensembl:ENSMUSP00000033161	PANTHER:PTHR11690	protein	UniProtKB:P51168	GO_REF:0000107	20250313	SCNN1B	Homo sapiens	epithelial fluid transport		epithelial_fluid_transport
UniProtKB:P04141	Granulocyte-macrophage colony-stimulating factor		GO:0042045		Ensembl	NCBITaxon:9606	IEA	UniProtKB:P48750,ensembl:ENSRNOP00000034235	PANTHER:PTHR10059	protein	UniProtKB:P04141	GO_REF:0000107	20250313	CSF2	Homo sapiens	epithelial fluid transport		epithelial_fluid_transport
UniProtKB:O43865	S-adenosylhomocysteine hydrolase-like protein 1		GO:0042045		Ensembl	NCBITaxon:9606	IEA	UniProtKB:Q80SW1,ensembl:ENSMUSP00000029490	PANTHER:PTHR23420	protein	UniProtKB:O43865	GO_REF:0000107	20250313	AHCYL1	Homo sapiens	epithelial fluid transport		epithelial_fluid_transport
UniProtKB:Q9BXS9	Solute carrier family 26 member 6		GO:0042045		UniProt	NCBITaxon:9606	ISS	UniProtKB:Q8CIW6	PANTHER:PTHR11814	protein	UniProtKB:Q9BXS9	GO_REF:0000024	20130613	SLC26A6	Homo sapiens	epithelial fluid transport		epithelial_fluid_transport
UniProtKB:Q9BXS9	Solute carrier family 26 member 6		GO:0042045		Ensembl	NCBITaxon:9606	IEA	UniProtKB:Q8CIW6,ensembl:ENSMUSP00000140849	PANTHER:PTHR11814	protein	UniProtKB:Q9BXS9	GO_REF:0000107	20250313	SLC26A6	Homo sapiens	epithelial fluid transport		epithelial_fluid_transport
UniProtKB:O94778	Aquaporin-8		GO:0035377		UniProt	NCBITaxon:9606	ISS	UniProtKB:P56405	PANTHER:PTHR45665	protein	UniProtKB:O94778	GO_REF:0000024	20220927	AQP8	Homo sapiens	transepithelial water transport		epithelial_fluid_transport
UniProtKB:Q14643	Inositol 1,4,5-trisphosphate-gated calcium channel ITPR1		GO:0042045		Ensembl	NCBITaxon:9606	IEA	UniProtKB:P11881,ensembl:ENSMUSP00000032192	PANTHER:PTHR13715	protein	UniProtKB:Q14643	GO_REF:0000107	20250313	ITPR1	Homo sapiens	epithelial fluid transport		epithelial_fluid_transport
UniProtKB:P05305	Endothelin-1		GO:0042045		Ensembl	NCBITaxon:9606	IEA	UniProtKB:P22388,ensembl:ENSRNOP00000019361	PANTHER:PTHR13874	protein	UniProtKB:P05305	GO_REF:0000107	20250313	EDN1	Homo sapiens	epithelial fluid transport		epithelial_fluid_transport
UniProtKB:Q13835	Plakophilin-1		GO:0035377		Ensembl	NCBITaxon:9606	IEA	UniProtKB:P97350,ensembl:ENSMUSP00000027667	PANTHER:PTHR10372	protein	UniProtKB:Q13835	GO_REF:0000107	20250313	PKP1	Homo sapiens	transepithelial water transport		epithelial_fluid_transport
