bioentity	bioentity_name	qualifier	annotation_class	annotation_extension_json	assigned_by	taxon	evidence_type	evidence_with	panther_family	type	bioentity_isoform	reference	date	bioentity_label	taxon_label	isa_partof_closure_label	regulates_closure_label	annotation_class_label	annotation_extension_class_labelannotation_extension_class_closure_label	has_participant_closure_label	term
UniProtKB:Q92819	Hyaluronan synthase 2		GO:0070295		UniProt	NCBITaxon:9606	ISS	UniProtKB:O35776	PANTHER:PTHR22913	protein	UniProtKB:Q92819	GO_REF:0000024	20120215	HAS2	Homo sapiens	biological regulation,biological_process,regulation of biological quality,renal water homeostasis,fluid transport,chemical homeostasis,renal water transport,transport,renal system process,renal water absorption,water transport,system process,renal absorption,localization,establishment of localization,multicellular organismal-level water homeostasis,homeostatic process,multicellular organismal-level homeostasis,regulation of body fluid levels,multicellular organismal-level chemical homeostasis,multicellular organismal process	renal water homeostasis,chemical homeostasis,renal water transport,renal system process,anatomical entity,material anatomical entity,water transport,system process,connected anatomical structure,renal system,multicellular organismal-level water homeostasis,anatomical entity,regulation of body fluid levels,multicellular organismal process,biological regulation,biological_process,regulation of biological quality,multicellular anatomical structure,biological entity,fluid transport,excretory system,transport,anatomical structure,multicellular organism,renal water absorption,anatomical system,renal absorption,localization,establishment of localization,homeostatic process,material anatomical entity,multicellular organismal-level homeostasis,multicellular organismal-level chemical homeostasis	renal water absorption			fluid_transport
UniProtKB:Q92819	Hyaluronan synthase 2		GO:0070295		Ensembl	NCBITaxon:9606	IEA	UniProtKB:O35776,ensembl:ENSRNOP00000006517	PANTHER:PTHR22913	protein	UniProtKB:Q92819	GO_REF:0000107	20250313	HAS2	Homo sapiens	biological regulation,biological_process,regulation of biological quality,renal water homeostasis,fluid transport,chemical homeostasis,renal water transport,transport,renal system process,renal water absorption,water transport,system process,renal absorption,localization,establishment of localization,multicellular organismal-level water homeostasis,homeostatic process,multicellular organismal-level homeostasis,regulation of body fluid levels,multicellular organismal-level chemical homeostasis,multicellular organismal process	renal water homeostasis,chemical homeostasis,renal water transport,renal system process,anatomical entity,material anatomical entity,water transport,system process,connected anatomical structure,renal system,multicellular organismal-level water homeostasis,anatomical entity,regulation of body fluid levels,multicellular organismal process,biological regulation,biological_process,regulation of biological quality,multicellular anatomical structure,biological entity,fluid transport,excretory system,transport,anatomical structure,multicellular organism,renal water absorption,anatomical system,renal absorption,localization,establishment of localization,homeostatic process,material anatomical entity,multicellular organismal-level homeostasis,multicellular organismal-level chemical homeostasis	renal water absorption			fluid_transport
UniProtKB:P13866	Sodium/glucose cotransporter 1		GO:0005372		UniProt	NCBITaxon:9606	IDA		PANTHER:PTHR11819	protein	UniProtKB:P13866	PMID:14695256	20220225	SLC5A1	Homo sapiens	biological_process,transmembrane transport,transmembrane transporter activity,water transmembrane transporter activity,fluid transport,transport,cellular process,molecular_function,transporter activity,water transport,localization,establishment of localization,inorganic molecular entity transmembrane transporter activity	biological_process,transmembrane transport,transmembrane transporter activity,water transmembrane transporter activity,fluid transport,transport,cellular process,molecular_function,transporter activity,water transport,localization,establishment of localization,inorganic molecular entity transmembrane transporter activity	water transmembrane transporter activity			fluid_transport
UniProtKB:P13866	Sodium/glucose cotransporter 1		GO:0005372		ARUK-UCL	NCBITaxon:9606	IDA		PANTHER:PTHR11819	protein	UniProtKB:P13866	PMID:26945065	20200323	SLC5A1	Homo sapiens	biological_process,transmembrane transport,transmembrane transporter activity,water transmembrane transporter activity,fluid transport,transport,cellular process,molecular_function,transporter activity,water transport,localization,establishment of localization,inorganic molecular entity transmembrane transporter activity	biological_process,transmembrane transport,transmembrane transporter activity,water transmembrane transporter activity,fluid transport,transport,cellular process,molecular_function,transporter activity,water transport,localization,establishment of localization,inorganic molecular entity transmembrane transporter activity	water transmembrane transporter activity			fluid_transport
UniProtKB:P13866	Sodium/glucose cotransporter 1		GO:0005372		UniProt	NCBITaxon:9606	IDA		PANTHER:PTHR11819	protein	UniProtKB:P13866	PMID:34880492	20220225	SLC5A1	Homo sapiens	biological_process,transmembrane transport,transmembrane transporter activity,water transmembrane transporter activity,fluid transport,transport,cellular process,molecular_function,transporter activity,water transport,localization,establishment of localization,inorganic molecular entity transmembrane transporter activity	biological_process,transmembrane transport,transmembrane transporter activity,water transmembrane transporter activity,fluid transport,transport,cellular process,molecular_function,transporter activity,water transport,localization,establishment of localization,inorganic molecular entity transmembrane transporter activity	water transmembrane transporter activity			fluid_transport
UniProtKB:P13866	Sodium/glucose cotransporter 1		GO:0035377		ARUK-UCL	NCBITaxon:9606	IDA		PANTHER:PTHR11819	protein	UniProtKB:P13866	PMID:26945065	20200323	SLC5A1	Homo sapiens	biological_process,water transport,transepithelial water transport,localization,establishment of localization,fluid transport,transepithelial transport,epithelial fluid transport,transport	biological_process,water transport,transepithelial water transport,localization,establishment of localization,fluid transport,transepithelial transport,epithelial fluid transport,transport	transepithelial water transport			fluid_transport
UniProtKB:Q12891	Hyaluronidase-2		GO:0070295		UniProt	NCBITaxon:9606	ISS	UniProtKB:Q9Z2Q3	PANTHER:PTHR11769	protein	UniProtKB:Q12891	GO_REF:0000024	20120215	HYAL2	Homo sapiens	biological regulation,biological_process,regulation of biological quality,renal water homeostasis,fluid transport,chemical homeostasis,renal water transport,transport,renal system process,renal water absorption,water transport,system process,renal absorption,localization,establishment of localization,multicellular organismal-level water homeostasis,homeostatic process,multicellular organismal-level homeostasis,regulation of body fluid levels,multicellular organismal-level chemical homeostasis,multicellular organismal process	renal water homeostasis,chemical homeostasis,renal water transport,renal system process,anatomical entity,material anatomical entity,water transport,system process,connected anatomical structure,renal system,multicellular organismal-level water homeostasis,anatomical entity,regulation of body fluid levels,multicellular organismal process,biological regulation,biological_process,regulation of biological quality,multicellular anatomical structure,biological entity,fluid transport,excretory system,transport,anatomical structure,multicellular organism,renal water absorption,anatomical system,renal absorption,localization,establishment of localization,homeostatic process,material anatomical entity,multicellular organismal-level homeostasis,multicellular organismal-level chemical homeostasis	renal water absorption			fluid_transport
UniProtKB:P56856	Claudin-18		GO:0042045		UniProt	NCBITaxon:9606	ISS	UniProtKB:P56857	PANTHER:PTHR12002	protein	UniProtKB:P56856	GO_REF:0000024	20221212	CLDN18	Homo sapiens	biological_process,localization,establishment of localization,fluid transport,epithelial fluid transport,transepithelial transport,transport	biological_process,localization,establishment of localization,fluid transport,epithelial fluid transport,transepithelial transport,transport	epithelial fluid transport			fluid_transport
UniProtKB:P56856	Claudin-18		GO:0042045		Ensembl	NCBITaxon:9606	IEA	UniProtKB:P56857,ensembl:ENSMUSP00000035048	PANTHER:PTHR12002	protein	UniProtKB:P56856	GO_REF:0000107	20250313	CLDN18	Homo sapiens	biological_process,localization,establishment of localization,fluid transport,epithelial fluid transport,transepithelial transport,transport	biological_process,localization,establishment of localization,fluid transport,epithelial fluid transport,transepithelial transport,transport	epithelial fluid transport			fluid_transport
UniProtKB:Q92482	Aquaporin-3		GO:0070295		Ensembl	NCBITaxon:9606	IEA	UniProtKB:Q8R2N1,ensembl:ENSMUSP00000055110	PANTHER:PTHR43829	protein	UniProtKB:Q92482	GO_REF:0000107	20250313	AQP3	Homo sapiens	biological regulation,biological_process,regulation of biological quality,renal water homeostasis,fluid transport,chemical homeostasis,renal water transport,transport,renal system process,renal water absorption,water transport,system process,renal absorption,localization,establishment of localization,multicellular organismal-level water homeostasis,homeostatic process,multicellular organismal-level homeostasis,regulation of body fluid levels,multicellular organismal-level chemical homeostasis,multicellular organismal process	renal water homeostasis,chemical homeostasis,renal water transport,renal system process,anatomical entity,material anatomical entity,water transport,system process,connected anatomical structure,renal system,multicellular organismal-level water homeostasis,anatomical entity,regulation of body fluid levels,multicellular organismal process,biological regulation,biological_process,regulation of biological quality,multicellular anatomical structure,biological entity,fluid transport,excretory system,transport,anatomical structure,multicellular organism,renal water absorption,anatomical system,renal absorption,localization,establishment of localization,homeostatic process,material anatomical entity,multicellular organismal-level homeostasis,multicellular organismal-level chemical homeostasis	renal water absorption			fluid_transport
