bioentity	bioentity_name	qualifier	annotation_class	annotation_extension_json	assigned_by	taxon	evidence_type	evidence_with	panther_family	type	bioentity_isoform	reference	date	bioentity_label	taxon_label	isa_partof_closure_label	regulates_closure_label	annotation_class_label	annotation_extension_class_labelannotation_extension_class_closure_label	has_participant_closure_label	term
UniProtKB:P14770	Platelet glycoprotein IX		GO:0007596		UniProt	NCBITaxon:9606	IEA	UniProtKB-KW:KW-0094	PANTHER:PTHR22650	protein	UniProtKB:P14770	GO_REF:0000043	20250428	GP9	Homo sapiens	biological regulation,biological_process,regulation of biological quality,wound healing,coagulation,response to wounding,regulation of body fluid levels,blood coagulation,hemostasis,response to stress,response to stimulus,multicellular organismal process	biological regulation,biological_process,regulation of biological quality,wound healing,coagulation,response to wounding,regulation of body fluid levels,blood coagulation,hemostasis,response to stress,response to stimulus,multicellular organismal process	blood coagulation			coagulation
UniProtKB:P14770	Platelet glycoprotein IX		GO:0007596		Ensembl	NCBITaxon:9606	IEA	UniProtKB:O88186,ensembl:ENSMUSP00000032133	PANTHER:PTHR22650	protein	UniProtKB:P14770	GO_REF:0000107	20250313	GP9	Homo sapiens	biological regulation,biological_process,regulation of biological quality,wound healing,coagulation,response to wounding,regulation of body fluid levels,blood coagulation,hemostasis,response to stress,response to stimulus,multicellular organismal process	biological regulation,biological_process,regulation of biological quality,wound healing,coagulation,response to wounding,regulation of body fluid levels,blood coagulation,hemostasis,response to stress,response to stimulus,multicellular organismal process	blood coagulation			coagulation
UniProtKB:P14770	Platelet glycoprotein IX		GO:0007596		PINC	NCBITaxon:9606	TAS		PANTHER:PTHR22650	protein	UniProtKB:P14770	PMID:9432024	20030904	GP9	Homo sapiens	biological regulation,biological_process,regulation of biological quality,wound healing,coagulation,response to wounding,regulation of body fluid levels,blood coagulation,hemostasis,response to stress,response to stimulus,multicellular organismal process	biological regulation,biological_process,regulation of biological quality,wound healing,coagulation,response to wounding,regulation of body fluid levels,blood coagulation,hemostasis,response to stress,response to stimulus,multicellular organismal process	blood coagulation			coagulation
UniProtKB:P14770	Platelet glycoprotein IX		GO:0007597		ComplexPortal	NCBITaxon:9606	IPI		PANTHER:PTHR22650	protein	UniProtKB:P14770	PMID:10501658	20240823	GP9	Homo sapiens	biological regulation,biological_process,regulation of biological quality,protein metabolic process,metabolic process,coagulation,blood coagulation\, intrinsic pathway,response to wounding,macromolecule biosynthetic process,blood coagulation,biosynthetic process,primary metabolic process,cellular process,response to stress,hemostasis,macromolecule metabolic process,wound healing,blood coagulation\, fibrin clot formation,protein activation cascade,gene expression,regulation of body fluid levels,protein maturation,response to stimulus,multicellular organismal process	biological regulation,biological_process,regulation of biological quality,protein metabolic process,metabolic process,coagulation,blood coagulation\, intrinsic pathway,response to wounding,macromolecule biosynthetic process,blood coagulation,biosynthetic process,primary metabolic process,cellular process,response to stress,hemostasis,macromolecule metabolic process,wound healing,blood coagulation\, fibrin clot formation,protein activation cascade,gene expression,regulation of body fluid levels,protein maturation,response to stimulus,multicellular organismal process	blood coagulation, intrinsic pathway			coagulation
UniProtKB:P14770	Platelet glycoprotein IX		GO:0007597		ComplexPortal	NCBITaxon:9606	NAS		PANTHER:PTHR22650	protein	UniProtKB:P14770	PMID:16293600	20250325	GP9	Homo sapiens	biological regulation,biological_process,regulation of biological quality,protein metabolic process,metabolic process,coagulation,blood coagulation\, intrinsic pathway,response to wounding,macromolecule biosynthetic process,blood coagulation,biosynthetic process,primary metabolic process,cellular process,response to stress,hemostasis,macromolecule metabolic process,wound healing,blood coagulation\, fibrin clot formation,protein activation cascade,gene expression,regulation of body fluid levels,protein maturation,response to stimulus,multicellular organismal process	biological regulation,biological_process,regulation of biological quality,protein metabolic process,metabolic process,coagulation,blood coagulation\, intrinsic pathway,response to wounding,macromolecule biosynthetic process,blood coagulation,biosynthetic process,primary metabolic process,cellular process,response to stress,hemostasis,macromolecule metabolic process,wound healing,blood coagulation\, fibrin clot formation,protein activation cascade,gene expression,regulation of body fluid levels,protein maturation,response to stimulus,multicellular organismal process	blood coagulation, intrinsic pathway			coagulation
UniProtKB:P53582	Methionine aminopeptidase 1		GO:0070527		UniProt	NCBITaxon:9606	HMP		PANTHER:PTHR43330	protein	UniProtKB:P53582	PMID:23382103	20140721	METAP1	Homo sapiens	biological regulation,biological_process,regulation of biological quality,coagulation,response to wounding,cell adhesion,blood coagulation,cellular process,hemostasis,response to stress,wound healing,cell activation,regulation of body fluid levels,cell-cell adhesion,homotypic cell-cell adhesion,platelet aggregation,platelet activation,response to stimulus,multicellular organismal process	biological regulation,biological_process,regulation of biological quality,coagulation,response to wounding,cell adhesion,blood coagulation,cellular process,hemostasis,response to stress,wound healing,cell activation,regulation of body fluid levels,cell-cell adhesion,homotypic cell-cell adhesion,platelet aggregation,platelet activation,response to stimulus,multicellular organismal process	platelet aggregation			coagulation
UniProtKB:Q86UX7	Fermitin family homolog 3		GO:0070527		UniProt	NCBITaxon:9606	ISS	UniProtKB:Q8K1B8	PANTHER:PTHR16160	protein	UniProtKB:Q86UX7	GO_REF:0000024	20091113	FERMT3	Homo sapiens	biological regulation,biological_process,regulation of biological quality,coagulation,response to wounding,cell adhesion,blood coagulation,cellular process,hemostasis,response to stress,wound healing,cell activation,regulation of body fluid levels,cell-cell adhesion,homotypic cell-cell adhesion,platelet aggregation,platelet activation,response to stimulus,multicellular organismal process	biological regulation,biological_process,regulation of biological quality,coagulation,response to wounding,cell adhesion,blood coagulation,cellular process,hemostasis,response to stress,wound healing,cell activation,regulation of body fluid levels,cell-cell adhesion,homotypic cell-cell adhesion,platelet aggregation,platelet activation,response to stimulus,multicellular organismal process	platelet aggregation			coagulation
UniProtKB:Q86UX7	Fermitin family homolog 3		GO:0070527		Ensembl	NCBITaxon:9606	IEA	UniProtKB:Q8K1B8,ensembl:ENSMUSP00000037858	PANTHER:PTHR16160	protein	UniProtKB:Q86UX7	GO_REF:0000107	20250313	FERMT3	Homo sapiens	biological regulation,biological_process,regulation of biological quality,coagulation,response to wounding,cell adhesion,blood coagulation,cellular process,hemostasis,response to stress,wound healing,cell activation,regulation of body fluid levels,cell-cell adhesion,homotypic cell-cell adhesion,platelet aggregation,platelet activation,response to stimulus,multicellular organismal process	biological regulation,biological_process,regulation of biological quality,coagulation,response to wounding,cell adhesion,blood coagulation,cellular process,hemostasis,response to stress,wound healing,cell activation,regulation of body fluid levels,cell-cell adhesion,homotypic cell-cell adhesion,platelet aggregation,platelet activation,response to stimulus,multicellular organismal process	platelet aggregation			coagulation
UniProtKB:Q86UX7	Fermitin family homolog 3		GO:0070527		UniProt	NCBITaxon:9606	HMP		PANTHER:PTHR16160	protein	UniProtKB:Q86UX7	PMID:23382103	20140721	FERMT3	Homo sapiens	biological regulation,biological_process,regulation of biological quality,coagulation,response to wounding,cell adhesion,blood coagulation,cellular process,hemostasis,response to stress,wound healing,cell activation,regulation of body fluid levels,cell-cell adhesion,homotypic cell-cell adhesion,platelet aggregation,platelet activation,response to stimulus,multicellular organismal process	biological regulation,biological_process,regulation of biological quality,coagulation,response to wounding,cell adhesion,blood coagulation,cellular process,hemostasis,response to stress,wound healing,cell activation,regulation of body fluid levels,cell-cell adhesion,homotypic cell-cell adhesion,platelet aggregation,platelet activation,response to stimulus,multicellular organismal process	platelet aggregation			coagulation
UniProtKB:Q86UX7	Fermitin family homolog 3		GO:0070527		GO_Central	NCBITaxon:9606	IBA	PANTHER:PTN002700586,MGI:MGI:2147790	PANTHER:PTHR16160	protein		GO_REF:0000033	20200319	FERMT3	Homo sapiens	biological regulation,biological_process,regulation of biological quality,coagulation,response to wounding,cell adhesion,blood coagulation,cellular process,hemostasis,response to stress,wound healing,cell activation,regulation of body fluid levels,cell-cell adhesion,homotypic cell-cell adhesion,platelet aggregation,platelet activation,response to stimulus,multicellular organismal process	biological regulation,biological_process,regulation of biological quality,coagulation,response to wounding,cell adhesion,blood coagulation,cellular process,hemostasis,response to stress,wound healing,cell activation,regulation of body fluid levels,cell-cell adhesion,homotypic cell-cell adhesion,platelet aggregation,platelet activation,response to stimulus,multicellular organismal process	platelet aggregation			coagulation
