UniProtKB:Q9BV68	E3 ubiquitin-protein ligase RNF126		GO:0071629		UniProt	NCBITaxon:9606	IMP		PANTHER:PTHR15710	protein	UniProtKB:Q9BV68	PMID:24981174	20141110
UniProtKB:Q5T4S7	E3 ubiquitin-protein ligase UBR4		GO:0071629		UniProt	NCBITaxon:9606	IDA		PANTHER:PTHR21725	protein	UniProtKB:Q5T4S7	PMID:29033132	20240402
UniProtKB:Q5T4S7	E3 ubiquitin-protein ligase UBR4		GO:0140455		UniProt	NCBITaxon:9606	IDA		PANTHER:PTHR21725	protein	UniProtKB:Q5T4S7	PMID:29033132	20240402
UniProtKB:O95071	E3 ubiquitin-protein ligase UBR5		GO:0071629		UniProt	NCBITaxon:9606	IDA		PANTHER:PTHR46276	protein	UniProtKB:O95071	PMID:29033132	20240402
UniProtKB:O95071	E3 ubiquitin-protein ligase UBR5		GO:0140455		UniProt	NCBITaxon:9606	IDA		PANTHER:PTHR46276	protein	UniProtKB:O95071	PMID:29033132	20240402
UniProtKB:P55072	Transitional endoplasmic reticulum ATPase		GO:0140455		UniProt	NCBITaxon:9606	IDA		PANTHER:PTHR23077	protein	UniProtKB:P55072	PMID:29033132	20240402
