Input	Match type	Approved symbol	Approved name	HGNC ID	Location
HSBP1L1	Approved symbol	HSBP1L1	heat shock factor binding protein 1 like 1	HGNC:37243	18q23
HSPA6	Approved symbol	HSPA6	heat shock protein family A (Hsp70) member 6	HGNC:5239	1q23.3
RBBP7	Approved symbol	RBBP7	RB binding protein 7, chromatin remodeling factor	HGNC:9890	Xp22.2
HSBP1	Approved symbol	HSBP1	heat shock factor binding protein 1	HGNC:5203	16q23.3
HSPA1A	Approved symbol	HSPA1A	heat shock protein family A (Hsp70) member 1A	HGNC:5232	6p21.33
HSPA1B	Approved symbol	HSPA1B	heat shock protein family A (Hsp70) member 1B	HGNC:5233	6p21.33
ABAT	Approved symbol	ABAT	4-aminobutyrate aminotransferase	HGNC:23	16p13.2
TNFSF11	Approved symbol	TNFSF11	TNF superfamily member 11	HGNC:11926	13q14.11
PTGER3	Approved symbol	PTGER3	prostaglandin E receptor 3	HGNC:9595	1p31.1
APLN	Approved symbol	APLN	apelin	HGNC:16665	Xq26.1
TNFRSF11A	Approved symbol	TNFRSF11A	TNF receptor superfamily member 11a	HGNC:11908	18q21.33
HTR2A	Approved symbol	HTR2A	5-hydroxytryptamine receptor 2A	HGNC:5293	13q14.2
PTGS2	Approved symbol	PTGS2	prostaglandin-endoperoxide synthase 2	HGNC:9605	1q31.1
TNF	Approved symbol	TNF	tumor necrosis factor	HGNC:11892	6p21.33
NMU	Approved symbol	NMU	neuromedin U	HGNC:7859	4q12
SLC27A1	Approved symbol	SLC27A1	solute carrier family 27 member 1	HGNC:10995	19p13.11
IL1B	Approved symbol	IL1B	interleukin 1 beta	HGNC:5992	2q14.1
NR1D1	Approved symbol	NR1D1	nuclear receptor subfamily 1 group D member 1	HGNC:7962	17q21.1
EGR1	Approved symbol	EGR1	early growth response 1	HGNC:3238	5q31.2
TRPV1	Approved symbol	TRPV1	transient receptor potential cation channel subfamily V member 1	HGNC:12716	17p13.2
ARRDC3	Approved symbol	ARRDC3	arrestin domain containing 3	HGNC:29263	5q14.3
ADRB2	Approved symbol	ADRB2	adrenoceptor beta 2	HGNC:286	5q32
ADRB3	Approved symbol	ADRB3	adrenoceptor beta 3	HGNC:288	8p11.23
ADRB1	Approved symbol	ADRB1	adrenoceptor beta 1	HGNC:285	10q25.3
IL1A	Approved symbol	IL1A	interleukin 1 alpha	HGNC:5991	2q14.1
DBH	Approved symbol	DBH	dopamine beta-hydroxylase	HGNC:2689	9q34.2
CLSTN3	Approved symbol	CLSTN3	calsyntenin 3	HGNC:18371	12p13.31
NOX3	Approved symbol	NOX3	NADPH oxidase 3	HGNC:7890	6q25.3
SQSTM1	Approved symbol	SQSTM1	sequestosome 1	HGNC:11280	5q35.3
DRD2	Approved symbol	DRD2	dopamine receptor D2	HGNC:3023	11q23.2
FOXO1	Approved symbol	FOXO1	forkhead box O1	HGNC:3819	13q14.11
NAPEPLD	Approved symbol	NAPEPLD	N-acyl phosphatidylethanolamine phospholipase D	HGNC:21683	7q22.1
STAT3	Approved symbol	STAT3	signal transducer and activator of transcription 3	HGNC:11364	17q21.2
NTSR1	Approved symbol	NTSR1	neurotensin receptor 1	HGNC:8039	20q13.33
PPARGC1A	Approved symbol	PPARGC1A	PPARG coactivator 1 alpha	HGNC:9237	4p15.2
ADORA1	Approved symbol	ADORA1	adenosine A1 receptor	HGNC:262	1q32.1
FTO	Approved symbol	FTO	FTO alpha-ketoglutarate dependent dioxygenase	HGNC:24678	16q12.2
ACADVL	Approved symbol	ACADVL	acyl-CoA dehydrogenase very long chain	HGNC:92	17p13.1
EDN2	Approved symbol	EDN2	endothelin 2	HGNC:3177	1p34.2
GPX1	Approved symbol	GPX1	glutathione peroxidase 1	HGNC:4553	3p21.31
IGF2BP2	Approved symbol	IGF2BP2	insulin like growth factor 2 mRNA binding protein 2	HGNC:28867	3q27.2
CIDEA	Approved symbol	CIDEA	cell death inducing DFFA like effector a	HGNC:1976	18p11.21
MCRIP2	Approved symbol	MCRIP2	MAPK regulated corepressor interacting protein 2	HGNC:14142	16p13.3
DRD1	Approved symbol	DRD1	dopamine receptor D1	HGNC:3020	5q35.2
ACADL	Approved symbol	ACADL	acyl-CoA dehydrogenase long chain	HGNC:88	2q34
MC3R	Approved symbol	MC3R	melanocortin 3 receptor	HGNC:6931	20q13.2
TRPM2	Approved symbol	TRPM2	transient receptor potential cation channel subfamily M member 2	HGNC:12339	21q22.3
HCRT	Approved symbol	HCRT	hypocretin neuropeptide precursor	HGNC:4847	17q21.2
NOD2	Approved symbol	NOD2	nucleotide binding oligomerization domain containing 2	HGNC:5331	16q12.1
PPP5C	Approved symbol	PPP5C	protein phosphatase 5 catalytic subunit	HGNC:9322	19q13.32
RPS3	Approved symbol	RPS3	ribosomal protein S3	HGNC:10420	11q13.4
GPR37	Approved symbol	GPR37	G protein-coupled receptor 37	HGNC:4494	7q31.33
DNAJC2	Approved symbol	DNAJC2	DnaJ heat shock protein family (Hsp40) member C2	HGNC:13192	7q22.1
CDK1	Approved symbol	CDK1	cyclin dependent kinase 1	HGNC:1722	10q21.2
METTL21A	Approved symbol	METTL21A	methyltransferase 21A, HSPA lysine	HGNC:30476	2q33.3
DNAJB3	Approved symbol	DNAJB3	DnaJ heat shock protein family (Hsp40) member B3	HGNC:32397	2q37.1
DNAJA4	Approved symbol	DNAJA4	DnaJ heat shock protein family (Hsp40) member A4	HGNC:14885	15q25.1
RNF207	Approved symbol	RNF207	ring finger protein 207	HGNC:32947	1p36.31
DNAJA2	Approved symbol	DNAJA2	DnaJ heat shock protein family (Hsp40) member A2	HGNC:14884	16q11.2
FICD	Approved symbol	FICD	FIC domain protein adenylyltransferase	HGNC:18416	12q23.3
TSC1	Approved symbol	TSC1	TSC complex subunit 1	HGNC:12362	9q34.13
DNAJB14	Approved symbol	DNAJB14	DnaJ heat shock protein family (Hsp40) member B14	HGNC:25881	4q23
BAG6	Approved symbol	BAG6	BAG cochaperone 6	HGNC:13919	6p21.33
HDAC8	Approved symbol	HDAC8	histone deacetylase 8	HGNC:13315	Xq13.1
SPN	Approved symbol	SPN	sialophorin	HGNC:11249	16p11.2
TFRC	Approved symbol	TFRC	transferrin receptor	HGNC:11763	3q29
DNAJC10	Approved symbol	DNAJC10	DnaJ heat shock protein family (Hsp40) member C10	HGNC:24637	2q32.1
DNAJC18	Approved symbol	DNAJC18	DnaJ heat shock protein family (Hsp40) member C18	HGNC:28429	5q31.2
PRKN	Approved symbol	PRKN	parkin RBR E3 ubiquitin protein ligase	HGNC:8607	6q26
MVD	Approved symbol	MVD	mevalonate diphosphate decarboxylase	HGNC:7529	16q24.2
DNAJB12	Approved symbol	DNAJB12	DnaJ heat shock protein family (Hsp40) member B12	HGNC:14891	10q22.1
DNAJB7	Approved symbol	DNAJB7	DnaJ heat shock protein family (Hsp40) member B7	HGNC:24986	22q13.2
PACRG	Approved symbol	PACRG	parkin coregulated	HGNC:19152	6q26
DNAJC8	Approved symbol	DNAJC8	DnaJ heat shock protein family (Hsp40) member C8	HGNC:15470	1p35.3
STUB1	Approved symbol	STUB1	STIP1 homology and U-box containing protein 1	HGNC:11427	16p13.3
STAU2	Approved symbol	STAU2	staufen double-stranded RNA binding protein 2	HGNC:11371	8q21.11
SACS	Approved symbol	SACS	sacsin molecular chaperone	HGNC:10519	13q12.12
DNAJB6	Approved symbol	DNAJB6	DnaJ heat shock protein family (Hsp40) member B6	HGNC:14888	7q36.3
DNAJB9	Approved symbol	DNAJB9	DnaJ heat shock protein family (Hsp40) member B9	HGNC:6968	7q31.1
TTC4	Approved symbol	TTC4	tetratricopeptide repeat domain 4	HGNC:12394	1p32.3
PGLYRP1	Approved symbol	PGLYRP1	peptidoglycan recognition protein 1	HGNC:8904	19q13.32
ERN1	Approved symbol	ERN1	endoplasmic reticulum to nucleus signaling 1	HGNC:3449	17q23.3
DNAJA3	Approved symbol	DNAJA3	DnaJ heat shock protein family (Hsp40) member A3	HGNC:11808	16p13.3
DNAJB8	Approved symbol	DNAJB8	DnaJ heat shock protein family (Hsp40) member B8	HGNC:23699	3q21.3
SGTB	Approved symbol	SGTB	small glutamine rich tetratricopeptide repeat co-chaperone beta	HGNC:23567	5q12.3
NUP62	Approved symbol	NUP62	nucleoporin 62	HGNC:8066	19q13.33
SNCA	Approved symbol	SNCA	synuclein alpha	HGNC:11138	4q22.1
CYP1A1	Approved symbol	CYP1A1	cytochrome P450 family 1 subfamily A member 1	HGNC:2595	15q24.1
ST13	Approved symbol	ST13	ST13 Hsp70 interacting protein	HGNC:11343	22q13.2
PPEF2	Approved symbol	PPEF2	protein phosphatase with EF-hand domain 2	HGNC:9244	4q21.1
CREB1	Approved symbol	CREB1	cAMP responsive element binding protein 1	HGNC:2345	2q33.3
BAX	Approved symbol	BAX	BCL2 associated X, apoptosis regulator	HGNC:959	19q13.33
PPID	Approved symbol	PPID	peptidylprolyl isomerase D	HGNC:9257	4q32.1
DNAJA1	Approved symbol	DNAJA1	DnaJ heat shock protein family (Hsp40) member A1	HGNC:5229	9p21.1
DNAJB2	Approved symbol	DNAJB2	DnaJ heat shock protein family (Hsp40) member B2	HGNC:5228	2q35
DNAJB1	Approved symbol	DNAJB1	DnaJ heat shock protein family (Hsp40) member B1	HGNC:5270	19p13.12
CYP2E1	Approved symbol	CYP2E1	cytochrome P450 family 2 subfamily E member 1	HGNC:2631	10q26.3
MIR155HG	Approved symbol	MIR155HG	MIR155 host gene	HGNC:35460	21q21.3
HIKESHI	Approved symbol	HIKESHI	heat shock protein nuclear import factor hikeshi	HGNC:26938	11q14.2
WDR47	Approved symbol	WDR47	WD repeat domain 47	HGNC:29141	1p13.3
