bioentity	bioentity_name	qualifier	annotation_class	annotation_extension_json	assigned_by	taxon	evidence_type	evidence_with	panther_family	type	bioentity_isoform	reference	date	bioentity_label	taxon_label	isa_partof_closure_label	regulates_closure_label	annotation_class_label	annotation_extension_class_labelannotation_extension_class_closure_label	has_participant_closure_label	term
UniProtKB:P04629	High affinity nerve growth factor receptor		GO:0050965		Ensembl	NCBITaxon:9606	IEA	UniProtKB:P35739,ensembl:ENSRNOP00000018961	PANTHER:PTHR24416	protein	UniProtKB:P04629	GO_REF:0000107	20250313	NTRK1	Homo sapiens	detection of external stimulus,biological_process,detection of stimulus involved in sensory perception,response to temperature stimulus,detection of abiotic stimulus,detection of stimulus involved in sensory perception of pain,sensory perception,detection of temperature stimulus involved in sensory perception,response to abiotic stimulus,system process,response to external stimulus,detection of stimulus,sensory perception of pain,detection of temperature stimulus involved in sensory perception of pain,detection of temperature stimulus,nervous system process,sensory perception of temperature stimulus,response to stimulus,multicellular organismal process	detection of external stimulus,biological_process,detection of stimulus involved in sensory perception,response to temperature stimulus,detection of abiotic stimulus,detection of stimulus involved in sensory perception of pain,sensory perception,detection of temperature stimulus involved in sensory perception,response to abiotic stimulus,system process,response to external stimulus,detection of stimulus,sensory perception of pain,detection of temperature stimulus involved in sensory perception of pain,detection of temperature stimulus,nervous system process,sensory perception of temperature stimulus,response to stimulus,multicellular organismal process	detection of temperature stimulus involved in sensory perception of pain			detection_of_temperature_stimulus
UniProtKB:O94967	WD repeat-containing protein 47		GO:0120168		Ensembl	NCBITaxon:9606	IEA	UniProtKB:Q8CGF6,ensembl:ENSMUSP00000057482	PANTHER:PTHR19863	protein	UniProtKB:O94967	GO_REF:0000107	20250313	WDR47	Homo sapiens	detection of external stimulus,biological_process,sensory perception of hot stimulus,detection of hot stimulus involved in thermoception,detection of stimulus involved in sensory perception,response to temperature stimulus,detection of abiotic stimulus,sensory perception,detection of temperature stimulus involved in thermoception,detection of temperature stimulus involved in sensory perception,response to abiotic stimulus,system process,response to external stimulus,detection of stimulus,thermoception,detection of temperature stimulus,nervous system process,sensory perception of temperature stimulus,response to stimulus,multicellular organismal process	detection of external stimulus,biological_process,sensory perception of hot stimulus,detection of hot stimulus involved in thermoception,detection of stimulus involved in sensory perception,response to temperature stimulus,detection of abiotic stimulus,sensory perception,detection of temperature stimulus involved in thermoception,detection of temperature stimulus involved in sensory perception,response to abiotic stimulus,system process,response to external stimulus,detection of stimulus,thermoception,detection of temperature stimulus,nervous system process,sensory perception of temperature stimulus,response to stimulus,multicellular organismal process	detection of hot stimulus involved in thermoception			detection_of_temperature_stimulus
UniProtKB:Q15858	Sodium channel protein type 9 subunit alpha		GO:0050965		Ensembl	NCBITaxon:9606	IEA	UniProtKB:Q62205,ensembl:ENSMUSP00000097642	PANTHER:PTHR45628	protein	UniProtKB:Q15858	GO_REF:0000107	20250313	SCN9A	Homo sapiens	detection of external stimulus,biological_process,detection of stimulus involved in sensory perception,response to temperature stimulus,detection of abiotic stimulus,detection of stimulus involved in sensory perception of pain,sensory perception,detection of temperature stimulus involved in sensory perception,response to abiotic stimulus,system process,response to external stimulus,detection of stimulus,sensory perception of pain,detection of temperature stimulus involved in sensory perception of pain,detection of temperature stimulus,nervous system process,sensory perception of temperature stimulus,response to stimulus,multicellular organismal process	detection of external stimulus,biological_process,detection of stimulus involved in sensory perception,response to temperature stimulus,detection of abiotic stimulus,detection of stimulus involved in sensory perception of pain,sensory perception,detection of temperature stimulus involved in sensory perception,response to abiotic stimulus,system process,response to external stimulus,detection of stimulus,sensory perception of pain,detection of temperature stimulus involved in sensory perception of pain,detection of temperature stimulus,nervous system process,sensory perception of temperature stimulus,response to stimulus,multicellular organismal process	detection of temperature stimulus involved in sensory perception of pain			detection_of_temperature_stimulus
UniProtKB:Q9BYT9	Anoctamin-3		GO:0016048		Ensembl	NCBITaxon:9606	IEA	UniProtKB:F1M0A0,ensembl:ENSRNOP00000006349	PANTHER:PTHR12308	protein	UniProtKB:Q9BYT9	GO_REF:0000107	20250313	ANO3	Homo sapiens	detection of external stimulus,biological_process,response to abiotic stimulus,response to external stimulus,response to temperature stimulus,detection of abiotic stimulus,detection of stimulus,detection of temperature stimulus,response to stimulus	detection of external stimulus,biological_process,response to abiotic stimulus,response to external stimulus,response to temperature stimulus,detection of abiotic stimulus,detection of stimulus,detection of temperature stimulus,response to stimulus	detection of temperature stimulus			detection_of_temperature_stimulus
UniProtKB:Q9BS40	Latexin		GO:0050965		Ensembl	NCBITaxon:9606	IEA	UniProtKB:P70202,ensembl:ENSMUSP00000060732	PANTHER:PTHR28591	protein	UniProtKB:Q9BS40	GO_REF:0000107	20250313	LXN	Homo sapiens	detection of external stimulus,biological_process,detection of stimulus involved in sensory perception,response to temperature stimulus,detection of abiotic stimulus,detection of stimulus involved in sensory perception of pain,sensory perception,detection of temperature stimulus involved in sensory perception,response to abiotic stimulus,system process,response to external stimulus,detection of stimulus,sensory perception of pain,detection of temperature stimulus involved in sensory perception of pain,detection of temperature stimulus,nervous system process,sensory perception of temperature stimulus,response to stimulus,multicellular organismal process	detection of external stimulus,biological_process,detection of stimulus involved in sensory perception,response to temperature stimulus,detection of abiotic stimulus,detection of stimulus involved in sensory perception of pain,sensory perception,detection of temperature stimulus involved in sensory perception,response to abiotic stimulus,system process,response to external stimulus,detection of stimulus,sensory perception of pain,detection of temperature stimulus involved in sensory perception of pain,detection of temperature stimulus,nervous system process,sensory perception of temperature stimulus,response to stimulus,multicellular organismal process	detection of temperature stimulus involved in sensory perception of pain			detection_of_temperature_stimulus
UniProtKB:Q5XXA6	Anoctamin-1		GO:0050965		UniProt	NCBITaxon:9606	ISS	UniProtKB:Q8BHY3	PANTHER:PTHR12308	protein	UniProtKB:Q5XXA6	GO_REF:0000024	20150429	ANO1	Homo sapiens	detection of external stimulus,biological_process,detection of stimulus involved in sensory perception,response to temperature stimulus,detection of abiotic stimulus,detection of stimulus involved in sensory perception of pain,sensory perception,detection of temperature stimulus involved in sensory perception,response to abiotic stimulus,system process,response to external stimulus,detection of stimulus,sensory perception of pain,detection of temperature stimulus involved in sensory perception of pain,detection of temperature stimulus,nervous system process,sensory perception of temperature stimulus,response to stimulus,multicellular organismal process	detection of external stimulus,biological_process,detection of stimulus involved in sensory perception,response to temperature stimulus,detection of abiotic stimulus,detection of stimulus involved in sensory perception of pain,sensory perception,detection of temperature stimulus involved in sensory perception,response to abiotic stimulus,system process,response to external stimulus,detection of stimulus,sensory perception of pain,detection of temperature stimulus involved in sensory perception of pain,detection of temperature stimulus,nervous system process,sensory perception of temperature stimulus,response to stimulus,multicellular organismal process	detection of temperature stimulus involved in sensory perception of pain			detection_of_temperature_stimulus
UniProtKB:Q13002	Glutamate receptor ionotropic, kainate 2		GO:0120169		UniProt	NCBITaxon:9606	ISS	UniProtKB:P39087	PANTHER:PTHR18966	protein	UniProtKB:Q13002	GO_REF:0000024	20200305	GRIK2	Homo sapiens	detection of external stimulus,sensory perception of cold stimulus,biological_process,detection of cold stimulus involved in thermoception,detection of stimulus involved in sensory perception,response to temperature stimulus,detection of abiotic stimulus,sensory perception,detection of temperature stimulus involved in thermoception,detection of temperature stimulus involved in sensory perception,response to abiotic stimulus,system process,response to external stimulus,detection of stimulus,thermoception,detection of temperature stimulus,nervous system process,sensory perception of temperature stimulus,response to stimulus,multicellular organismal process	detection of external stimulus,sensory perception of cold stimulus,biological_process,detection of cold stimulus involved in thermoception,detection of stimulus involved in sensory perception,response to temperature stimulus,detection of abiotic stimulus,sensory perception,detection of temperature stimulus involved in thermoception,detection of temperature stimulus involved in sensory perception,response to abiotic stimulus,system process,response to external stimulus,detection of stimulus,thermoception,detection of temperature stimulus,nervous system process,sensory perception of temperature stimulus,response to stimulus,multicellular organismal process	detection of cold stimulus involved in thermoception			detection_of_temperature_stimulus
UniProtKB:Q13002	Glutamate receptor ionotropic, kainate 2		GO:0120169		Ensembl	NCBITaxon:9606	IEA	UniProtKB:P39087,ensembl:ENSMUSP00000151921	PANTHER:PTHR18966	protein	UniProtKB:Q13002	GO_REF:0000107	20250313	GRIK2	Homo sapiens	detection of external stimulus,sensory perception of cold stimulus,biological_process,detection of cold stimulus involved in thermoception,detection of stimulus involved in sensory perception,response to temperature stimulus,detection of abiotic stimulus,sensory perception,detection of temperature stimulus involved in thermoception,detection of temperature stimulus involved in sensory perception,response to abiotic stimulus,system process,response to external stimulus,detection of stimulus,thermoception,detection of temperature stimulus,nervous system process,sensory perception of temperature stimulus,response to stimulus,multicellular organismal process	detection of external stimulus,sensory perception of cold stimulus,biological_process,detection of cold stimulus involved in thermoception,detection of stimulus involved in sensory perception,response to temperature stimulus,detection of abiotic stimulus,sensory perception,detection of temperature stimulus involved in thermoception,detection of temperature stimulus involved in sensory perception,response to abiotic stimulus,system process,response to external stimulus,detection of stimulus,thermoception,detection of temperature stimulus,nervous system process,sensory perception of temperature stimulus,response to stimulus,multicellular organismal process	detection of cold stimulus involved in thermoception			detection_of_temperature_stimulus
UniProtKB:Q86UU9	Tachykinin-4		GO:0050965		UniProt	NCBITaxon:9606	IDA		PANTHER:PTHR11250	protein	UniProtKB:Q86UU9-3	PMID:17655832	20170922	TAC4	Homo sapiens	detection of external stimulus,biological_process,detection of stimulus involved in sensory perception,response to temperature stimulus,detection of abiotic stimulus,detection of stimulus involved in sensory perception of pain,sensory perception,detection of temperature stimulus involved in sensory perception,response to abiotic stimulus,system process,response to external stimulus,detection of stimulus,sensory perception of pain,detection of temperature stimulus involved in sensory perception of pain,detection of temperature stimulus,nervous system process,sensory perception of temperature stimulus,response to stimulus,multicellular organismal process	detection of external stimulus,biological_process,detection of stimulus involved in sensory perception,response to temperature stimulus,detection of abiotic stimulus,detection of stimulus involved in sensory perception of pain,sensory perception,detection of temperature stimulus involved in sensory perception,response to abiotic stimulus,system process,response to external stimulus,detection of stimulus,sensory perception of pain,detection of temperature stimulus involved in sensory perception of pain,detection of temperature stimulus,nervous system process,sensory perception of temperature stimulus,response to stimulus,multicellular organismal process	detection of temperature stimulus involved in sensory perception of pain			detection_of_temperature_stimulus
UniProtKB:Q86UU9	Tachykinin-4		GO:0050965		UniProt	NCBITaxon:9606	IDA		PANTHER:PTHR11250	protein	UniProtKB:Q86UU9-4	PMID:17655832	20170922	TAC4	Homo sapiens	detection of external stimulus,biological_process,detection of stimulus involved in sensory perception,response to temperature stimulus,detection of abiotic stimulus,detection of stimulus involved in sensory perception of pain,sensory perception,detection of temperature stimulus involved in sensory perception,response to abiotic stimulus,system process,response to external stimulus,detection of stimulus,sensory perception of pain,detection of temperature stimulus involved in sensory perception of pain,detection of temperature stimulus,nervous system process,sensory perception of temperature stimulus,response to stimulus,multicellular organismal process	detection of external stimulus,biological_process,detection of stimulus involved in sensory perception,response to temperature stimulus,detection of abiotic stimulus,detection of stimulus involved in sensory perception of pain,sensory perception,detection of temperature stimulus involved in sensory perception,response to abiotic stimulus,system process,response to external stimulus,detection of stimulus,sensory perception of pain,detection of temperature stimulus involved in sensory perception of pain,detection of temperature stimulus,nervous system process,sensory perception of temperature stimulus,response to stimulus,multicellular organismal process	detection of temperature stimulus involved in sensory perception of pain			detection_of_temperature_stimulus
