bioentity	bioentity_name	qualifier	annotation_class	annotation_extension_json	assigned_by	taxon	evidence_type	evidence_with	panther_family	type	bioentity_isoform	reference	date	bioentity_label	taxon_label	isa_partof_closure_label	regulates_closure_label	annotation_class_label	annotation_extension_class_labelannotation_extension_class_closure_label	has_participant_closure_label	term
UniProtKB:P14770	Platelet glycoprotein IX		GO:0007596		UniProt	NCBITaxon:9606	IEA	UniProtKB-KW:KW-0094	PANTHER:PTHR22650	protein	UniProtKB:P14770	GO_REF:0000043	20250428	GP9	Homo sapiens	biological regulation,biological_process,regulation of biological quality,wound healing,coagulation,response to wounding,regulation of body fluid levels,blood coagulation,hemostasis,response to stress,response to stimulus,multicellular organismal process	biological regulation,biological_process,regulation of biological quality,wound healing,coagulation,response to wounding,regulation of body fluid levels,blood coagulation,hemostasis,response to stress,response to stimulus,multicellular organismal process	blood coagulation			regulation_of_body_fluid_levels
UniProtKB:P14770	Platelet glycoprotein IX		GO:0007596		Ensembl	NCBITaxon:9606	IEA	UniProtKB:O88186,ensembl:ENSMUSP00000032133	PANTHER:PTHR22650	protein	UniProtKB:P14770	GO_REF:0000107	20250313	GP9	Homo sapiens	biological regulation,biological_process,regulation of biological quality,wound healing,coagulation,response to wounding,regulation of body fluid levels,blood coagulation,hemostasis,response to stress,response to stimulus,multicellular organismal process	biological regulation,biological_process,regulation of biological quality,wound healing,coagulation,response to wounding,regulation of body fluid levels,blood coagulation,hemostasis,response to stress,response to stimulus,multicellular organismal process	blood coagulation			regulation_of_body_fluid_levels
UniProtKB:P14770	Platelet glycoprotein IX		GO:0007596		PINC	NCBITaxon:9606	TAS		PANTHER:PTHR22650	protein	UniProtKB:P14770	PMID:9432024	20030904	GP9	Homo sapiens	biological regulation,biological_process,regulation of biological quality,wound healing,coagulation,response to wounding,regulation of body fluid levels,blood coagulation,hemostasis,response to stress,response to stimulus,multicellular organismal process	biological regulation,biological_process,regulation of biological quality,wound healing,coagulation,response to wounding,regulation of body fluid levels,blood coagulation,hemostasis,response to stress,response to stimulus,multicellular organismal process	blood coagulation			regulation_of_body_fluid_levels
UniProtKB:P14770	Platelet glycoprotein IX		GO:0007597		ComplexPortal	NCBITaxon:9606	IPI		PANTHER:PTHR22650	protein	UniProtKB:P14770	PMID:10501658	20240823	GP9	Homo sapiens	biological regulation,biological_process,regulation of biological quality,protein metabolic process,metabolic process,coagulation,blood coagulation\, intrinsic pathway,response to wounding,macromolecule biosynthetic process,blood coagulation,biosynthetic process,primary metabolic process,cellular process,response to stress,hemostasis,macromolecule metabolic process,wound healing,blood coagulation\, fibrin clot formation,protein activation cascade,gene expression,regulation of body fluid levels,protein maturation,response to stimulus,multicellular organismal process	biological regulation,biological_process,regulation of biological quality,protein metabolic process,metabolic process,coagulation,blood coagulation\, intrinsic pathway,response to wounding,macromolecule biosynthetic process,blood coagulation,biosynthetic process,primary metabolic process,cellular process,response to stress,hemostasis,macromolecule metabolic process,wound healing,blood coagulation\, fibrin clot formation,protein activation cascade,gene expression,regulation of body fluid levels,protein maturation,response to stimulus,multicellular organismal process	blood coagulation, intrinsic pathway			regulation_of_body_fluid_levels
UniProtKB:P14770	Platelet glycoprotein IX		GO:0007597		ComplexPortal	NCBITaxon:9606	NAS		PANTHER:PTHR22650	protein	UniProtKB:P14770	PMID:16293600	20250325	GP9	Homo sapiens	biological regulation,biological_process,regulation of biological quality,protein metabolic process,metabolic process,coagulation,blood coagulation\, intrinsic pathway,response to wounding,macromolecule biosynthetic process,blood coagulation,biosynthetic process,primary metabolic process,cellular process,response to stress,hemostasis,macromolecule metabolic process,wound healing,blood coagulation\, fibrin clot formation,protein activation cascade,gene expression,regulation of body fluid levels,protein maturation,response to stimulus,multicellular organismal process	biological regulation,biological_process,regulation of biological quality,protein metabolic process,metabolic process,coagulation,blood coagulation\, intrinsic pathway,response to wounding,macromolecule biosynthetic process,blood coagulation,biosynthetic process,primary metabolic process,cellular process,response to stress,hemostasis,macromolecule metabolic process,wound healing,blood coagulation\, fibrin clot formation,protein activation cascade,gene expression,regulation of body fluid levels,protein maturation,response to stimulus,multicellular organismal process	blood coagulation, intrinsic pathway			regulation_of_body_fluid_levels
UniProtKB:P14770	Platelet glycoprotein IX		GO:0007599		UniProt	NCBITaxon:9606	IEA	UniProtKB-KW:KW-0356	PANTHER:PTHR22650	protein	UniProtKB:P14770	GO_REF:0000043	20250428	GP9	Homo sapiens	biological regulation,biological_process,regulation of biological quality,regulation of body fluid levels,hemostasis	biological regulation,biological_process,regulation of biological quality,regulation of body fluid levels,hemostasis	hemostasis			regulation_of_body_fluid_levels
UniProtKB:P06744	Glucose-6-phosphate isomerase		GO:0007599		PINC	NCBITaxon:9606	TAS		PANTHER:PTHR11469	protein	UniProtKB:P06744	PMID:7435496	20030904	GPI	Homo sapiens	biological regulation,biological_process,regulation of biological quality,regulation of body fluid levels,hemostasis	biological regulation,biological_process,regulation of biological quality,regulation of body fluid levels,hemostasis	hemostasis			regulation_of_body_fluid_levels
UniProtKB:P53582	Methionine aminopeptidase 1		GO:0070527		UniProt	NCBITaxon:9606	HMP		PANTHER:PTHR43330	protein	UniProtKB:P53582	PMID:23382103	20140721	METAP1	Homo sapiens	biological regulation,biological_process,regulation of biological quality,coagulation,response to wounding,cell adhesion,blood coagulation,cellular process,hemostasis,response to stress,wound healing,cell activation,regulation of body fluid levels,cell-cell adhesion,homotypic cell-cell adhesion,platelet aggregation,platelet activation,response to stimulus,multicellular organismal process	biological regulation,biological_process,regulation of biological quality,coagulation,response to wounding,cell adhesion,blood coagulation,cellular process,hemostasis,response to stress,wound healing,cell activation,regulation of body fluid levels,cell-cell adhesion,homotypic cell-cell adhesion,platelet aggregation,platelet activation,response to stimulus,multicellular organismal process	platelet aggregation			regulation_of_body_fluid_levels
UniProtKB:P41145	Kappa-type opioid receptor		GO:0046877		UniProt	NCBITaxon:9606	ISS	UniProtKB:P33534	PANTHER:PTHR24229	protein	UniProtKB:P41145	GO_REF:0000024	20130927	OPRK1	Homo sapiens	biological regulation,biological_process,regulation of biological quality,regulation of transport,regulation of secretion,regulation of localization,regulation of digestive system process,regulation of system process,regulation of body fluid levels,regulation of multicellular organismal process,regulation of biological process,regulation of saliva secretion	biological regulation,biological_process,regulation of biological quality,secretion,regulation of digestive system process,digestive system process,regulation of system process,transport,regulation of saliva secretion,body fluid secretion,regulation of transport,regulation of secretion,establishment of localization,localization,regulation of localization,system process,saliva secretion,regulation of body fluid levels,regulation of multicellular organismal process,regulation of biological process,secretion by tissue,multicellular organismal process	regulation of saliva secretion			regulation_of_body_fluid_levels
UniProtKB:P41145	Kappa-type opioid receptor		GO:0046877		Ensembl	NCBITaxon:9606	IEA	UniProtKB:P33534,ensembl:ENSMUSP00000125105	PANTHER:PTHR24229	protein	UniProtKB:P41145	GO_REF:0000107	20250313	OPRK1	Homo sapiens	biological regulation,biological_process,regulation of biological quality,regulation of transport,regulation of secretion,regulation of localization,regulation of digestive system process,regulation of system process,regulation of body fluid levels,regulation of multicellular organismal process,regulation of biological process,regulation of saliva secretion	biological regulation,biological_process,regulation of biological quality,secretion,regulation of digestive system process,digestive system process,regulation of system process,transport,regulation of saliva secretion,body fluid secretion,regulation of transport,regulation of secretion,establishment of localization,localization,regulation of localization,system process,saliva secretion,regulation of body fluid levels,regulation of multicellular organismal process,regulation of biological process,secretion by tissue,multicellular organismal process	regulation of saliva secretion			regulation_of_body_fluid_levels
