bioentity	bioentity_name	qualifier	annotation_class	annotation_extension_json	assigned_by	taxon	evidence_type	evidence_with	panther_family	type	bioentity_isoform	reference	date	bioentity_label	taxon_label	annotation_class_label	annotation_extension_class_label	term
UniProtKB:P80404	4-aminobutyrate aminotransferase, mitochondrial		GO:0031652		Ensembl	NCBITaxon:9606	IEA	UniProtKB:P50554,ensembl:ENSRNOP00000003633	PANTHER:PTHR43206	protein	UniProtKB:P80404	GO_REF:0000107	20250313	ABAT	Homo sapiens	positive regulation of heat generation		regulation_of_heat_generation
UniProtKB:O14788	Tumor necrosis factor ligand superfamily member 11		GO:0071812		Ensembl	NCBITaxon:9606	IEA	UniProtKB:O35235,ensembl:ENSMUSP00000022592	PANTHER:PTHR11471	protein	UniProtKB:O14788	GO_REF:0000107	20250313	TNFSF11	Homo sapiens	positive regulation of fever generation by positive regulation of prostaglandin secretion		regulation_of_heat_generation
UniProtKB:O14788	Tumor necrosis factor ligand superfamily member 11		GO:0071812		BHF-UCL	NCBITaxon:9606	ISS	UniProtKB:O35235	PANTHER:PTHR11471	protein	UniProtKB:O14788	PMID:19940926	20110110	TNFSF11	Homo sapiens	positive regulation of fever generation by positive regulation of prostaglandin secretion		regulation_of_heat_generation
UniProtKB:P43115	Prostaglandin E2 receptor EP3 subtype		GO:0031622		BHF-UCL	NCBITaxon:9606	ISS	UniProtKB:P30557	PANTHER:PTHR11866	protein	UniProtKB:P43115	GO_REF:0000024	20100611	PTGER3	Homo sapiens	positive regulation of fever generation		regulation_of_heat_generation
UniProtKB:P24530	Endothelin receptor type B		GO:0031620		Ensembl	NCBITaxon:9606	IEA	UniProtKB:P21451,ensembl:ENSRNOP00000014747	PANTHER:PTHR46099	protein	UniProtKB:P24530	GO_REF:0000107	20250313	EDNRB	Homo sapiens	regulation of fever generation		regulation_of_heat_generation
UniProtKB:Q9ULZ1	Apelin		GO:0031652		Ensembl	NCBITaxon:9606	IEA	UniProtKB:Q9R0R3,ensembl:ENSRNOP00000100018	PANTHER:PTHR15953	protein	UniProtKB:Q9ULZ1	GO_REF:0000107	20250313	APLN	Homo sapiens	positive regulation of heat generation		regulation_of_heat_generation
UniProtKB:Q96B67	Arrestin domain-containing protein 3		GO:0031651		Ensembl	NCBITaxon:9606	IEA	UniProtKB:Q7TPQ9,ensembl:ENSMUSP00000096957	PANTHER:PTHR11188	protein	UniProtKB:Q96B67	GO_REF:0000107	20250313	ARRDC3	Homo sapiens	negative regulation of heat generation		regulation_of_heat_generation
UniProtKB:Q9Y6Q6	Tumor necrosis factor receptor superfamily member 11A		GO:0071812		Ensembl	NCBITaxon:9606	IEA	UniProtKB:O35305,ensembl:ENSMUSP00000027559	PANTHER:PTHR47134	protein	UniProtKB:Q9Y6Q6	GO_REF:0000107	20250313	TNFRSF11A	Homo sapiens	positive regulation of fever generation by positive regulation of prostaglandin secretion		regulation_of_heat_generation
UniProtKB:Q9Y6Q6	Tumor necrosis factor receptor superfamily member 11A		GO:0071812		BHF-UCL	NCBITaxon:9606	ISS	UniProtKB:O35305	PANTHER:PTHR47134	protein	UniProtKB:Q9Y6Q6	PMID:19940926	20110110	TNFRSF11A	Homo sapiens	positive regulation of fever generation by positive regulation of prostaglandin secretion		regulation_of_heat_generation
UniProtKB:O14684	Prostaglandin E synthase		GO:0031620		UniProt	NCBITaxon:9606	ISS	UniProtKB:Q9JM51	PANTHER:PTHR10689	protein	UniProtKB:O14684	GO_REF:0000024	20200629	PTGES	Homo sapiens	regulation of fever generation		regulation_of_heat_generation
UniProtKB:O14684	Prostaglandin E synthase		GO:0031620		Ensembl	NCBITaxon:9606	IEA	UniProtKB:Q9JM51,ensembl:ENSMUSP00000099916	PANTHER:PTHR10689	protein	UniProtKB:O14684	GO_REF:0000107	20250313	PTGES	Homo sapiens	regulation of fever generation		regulation_of_heat_generation
UniProtKB:P28223	5-hydroxytryptamine receptor 2A		GO:0031652		Ensembl	NCBITaxon:9606	IEA	UniProtKB:P14842,ensembl:ENSRNOP00000013408	PANTHER:PTHR24247	protein	UniProtKB:P28223	GO_REF:0000107	20250313	HTR2A	Homo sapiens	positive regulation of heat generation		regulation_of_heat_generation
UniProtKB:P35354	Prostaglandin G/H synthase 2		GO:0031622		BHF-UCL	NCBITaxon:9606	ISS	UniProtKB:Q05769	PANTHER:PTHR11903	protein	UniProtKB:P35354	GO_REF:0000024	20100611	PTGS2	Homo sapiens	positive regulation of fever generation		regulation_of_heat_generation
UniProtKB:P35354	Prostaglandin G/H synthase 2		GO:0031622		Ensembl	NCBITaxon:9606	IEA	UniProtKB:Q05769,ensembl:ENSMUSP00000035065	PANTHER:PTHR11903	protein	UniProtKB:P35354	GO_REF:0000107	20250313	PTGS2	Homo sapiens	positive regulation of fever generation		regulation_of_heat_generation
UniProtKB:P01375	Tumor necrosis factor		GO:0031622		BHF-UCL	NCBITaxon:9606	ISS	UniProtKB:P06804	PANTHER:PTHR11471	protein	UniProtKB:P01375	GO_REF:0000024	20100611	TNF	Homo sapiens	positive regulation of fever generation		regulation_of_heat_generation
UniProtKB:P01375	Tumor necrosis factor		GO:0031622		Ensembl	NCBITaxon:9606	IEA	UniProtKB:P06804,ensembl:ENSMUSP00000025263	PANTHER:PTHR11471	protein	UniProtKB:P01375	GO_REF:0000107	20250313	TNF	Homo sapiens	positive regulation of fever generation		regulation_of_heat_generation
UniProtKB:P48645	Neuromedin-U		GO:0031652		Ensembl	NCBITaxon:9606	IEA	UniProtKB:P12760,ensembl:ENSRNOP00000103523	PANTHER:PTHR15390	protein	UniProtKB:P48645	GO_REF:0000107	20250313	NMU	Homo sapiens	positive regulation of heat generation		regulation_of_heat_generation
UniProtKB:Q6PCB7	Long-chain fatty acid transport protein 1		GO:0031652		Ensembl	NCBITaxon:9606	IEA	UniProtKB:Q60714,ensembl:ENSMUSP00000034267	PANTHER:PTHR43107	protein	UniProtKB:Q6PCB7	GO_REF:0000107	20250313	SLC27A1	Homo sapiens	positive regulation of heat generation		regulation_of_heat_generation
UniProtKB:P01584	Interleukin-1 beta		GO:0031622		BHF-UCL	NCBITaxon:9606	ISS	UniProtKB:P10749	PANTHER:PTHR10078	protein	UniProtKB:P01584	GO_REF:0000024	20100611	IL1B	Homo sapiens	positive regulation of fever generation		regulation_of_heat_generation
UniProtKB:P01584	Interleukin-1 beta		GO:0031622		Ensembl	NCBITaxon:9606	IEA	UniProtKB:P10749,ensembl:ENSMUSP00000028881	PANTHER:PTHR10078	protein	UniProtKB:P01584	GO_REF:0000107	20250313	IL1B	Homo sapiens	positive regulation of fever generation		regulation_of_heat_generation
