bioentity	bioentity_name	qualifier	annotation_class	annotation_extension_json	assigned_by	taxon	evidence_type	evidence_with	panther_family	type	bioentity_isoform	reference	date	bioentity_label	taxon_label	annotation_class_label	annotation_extension_class_label	term
UniProtKB:P04004	Vitronectin		GO:0051918		ComplexPortal	NCBITaxon:9606	NAS		PANTHER:PTHR22917	protein	UniProtKB:P04004	PMID:1695900	20250310	VTN	Homo sapiens	negative regulation of fibrinolysis		positive_regulation_of_coagulation
UniProtKB:P16671	Platelet glycoprotein 4		GO:0030194		Ensembl	NCBITaxon:9606	IEA	UniProtKB:Q08857,ensembl:ENSMUSP00000133008	PANTHER:PTHR11923	protein	UniProtKB:P16671	GO_REF:0000107	20250313	CD36	Homo sapiens	positive regulation of blood coagulation		positive_regulation_of_coagulation
ComplexPortal:CPX-494	tPA-PAI-1 complex		GO:0051918		ComplexPortal	NCBITaxon:9606	NAS			protein_complex		PMID:8508955	20241021	tpa-pai-1_human	Homo sapiens	negative regulation of fibrinolysis		positive_regulation_of_coagulation
ComplexPortal:CPX-483	uPA-PAI-1 complex		GO:0051918		ComplexPortal	NCBITaxon:9606	NAS			protein_complex		PMID:8508955	20250127	upa-pai-1_human	Homo sapiens	negative regulation of fibrinolysis		positive_regulation_of_coagulation
ComplexPortal:CPX-475	Vitronectin-PAI-1 complex		GO:0051918		ComplexPortal	NCBITaxon:9606	NAS			protein_complex		PMID:1695900	20250310	vitronectin-pai-1_human	Homo sapiens	negative regulation of fibrinolysis		positive_regulation_of_coagulation
ComplexPortal:CPX-421	EMILIN-1 complex		GO:0030194		ComplexPortal	NCBITaxon:9606	ISS	ComplexPortal:CPX-438		protein_complex		GO_REF:0000114	20240823	emilin1_human	Homo sapiens	positive regulation of blood coagulation		positive_regulation_of_coagulation
UniProtKB:Q9BXX0	EMILIN-2		GO:0030194		Ensembl	NCBITaxon:9606	IEA	UniProtKB:Q8K482,ensembl:ENSMUSP00000156446	PANTHER:PTHR15427	protein	UniProtKB:Q9BXX0	GO_REF:0000107	20250313	EMILIN2	Homo sapiens	positive regulation of blood coagulation		positive_regulation_of_coagulation
UniProtKB:Q9BXX0	EMILIN-2		GO:0030194		ComplexPortal	NCBITaxon:9606	ISO	ComplexPortal:CPX-438	PANTHER:PTHR15427	protein	UniProtKB:Q9BXX0	GO_REF:0000114	20240823	EMILIN2	Homo sapiens	positive regulation of blood coagulation		positive_regulation_of_coagulation
UniProtKB:P02749	Beta-2-glycoprotein 1		GO:0030194		BHF-UCL	NCBITaxon:9606	TAS		PANTHER:PTHR19325	protein	UniProtKB:P02749	PMID:16480936	20080402	APOH	Homo sapiens	positive regulation of blood coagulation		positive_regulation_of_coagulation
UniProtKB:P02749	Beta-2-glycoprotein 1		GO:0051918		BHF-UCL	NCBITaxon:9606	IDA		PANTHER:PTHR19325	protein	UniProtKB:P02749	PMID:14726399	20080402	APOH	Homo sapiens	negative regulation of fibrinolysis		positive_regulation_of_coagulation
ComplexPortal:CPX-436	EMILIN-2 complex		GO:0030194		ComplexPortal	NCBITaxon:9606	ISO	ComplexPortal:CPX-438		protein_complex		GO_REF:0000114	20240823	emilin2_human	Homo sapiens	positive regulation of blood coagulation		positive_regulation_of_coagulation
UniProtKB:Q9BQB6	Vitamin K epoxide reductase complex subunit 1		GO:0050820		Ensembl	NCBITaxon:9606	IEA	UniProtKB:Q9CRC0,ensembl:ENSMUSP00000033074	PANTHER:PTHR14519	protein	UniProtKB:Q9BQB6	GO_REF:0000107	20250313	VKORC1	Homo sapiens	positive regulation of coagulation		positive_regulation_of_coagulation
ComplexPortal:CPX-2808	Coagulation factor VIIa - tissue factor complex		GO:0002543		ComplexPortal	NCBITaxon:9606	NAS			protein_complex		PMID:18640965	20241126	f3-f7_human	Homo sapiens	activation of blood coagulation via clotting cascade		positive_regulation_of_coagulation
UniProtKB:P04196	Histidine-rich glycoprotein		GO:0051918		GO_Central	NCBITaxon:9606	IBA	PANTHER:PTN001418583,MGI:MGI:2146636	PANTHER:PTHR13814	protein		GO_REF:0000033	20170228	HRG	Homo sapiens	negative regulation of fibrinolysis		positive_regulation_of_coagulation
UniProtKB:O15123	Angiopoietin-2		GO:0050820		UniProt	NCBITaxon:9606	IDA		PANTHER:PTHR19143	protein	UniProtKB:O15123	PMID:29323190	20240613	ANGPT2	Homo sapiens	positive regulation of coagulation		positive_regulation_of_coagulation
UniProtKB:P00750	Tissue-type plasminogen activator		GO:0051918		ComplexPortal	NCBITaxon:9606	NAS		PANTHER:PTHR24264	protein	UniProtKB:P00750	PMID:8508955	20241021	PLAT	Homo sapiens	negative regulation of fibrinolysis		positive_regulation_of_coagulation
UniProtKB:P00749	Urokinase-type plasminogen activator		GO:0051918		ComplexPortal	NCBITaxon:9606	NAS		PANTHER:PTHR24264	protein	UniProtKB:P00749	PMID:8508955	20250127	PLAU	Homo sapiens	negative regulation of fibrinolysis		positive_regulation_of_coagulation
UniProtKB:P00748	Coagulation factor XII		GO:0030194		BHF-UCL	NCBITaxon:9606	IDA		PANTHER:PTHR24264	protein	UniProtKB:P00748	PMID:6793628	20081015	F12	Homo sapiens	positive regulation of blood coagulation		positive_regulation_of_coagulation
UniProtKB:P00747	Plasminogen		GO:0051918		BHF-UCL	NCBITaxon:9606	IDA		PANTHER:PTHR24261	protein	UniProtKB:P00747	PMID:14726399	20080402	PLG	Homo sapiens	negative regulation of fibrinolysis		positive_regulation_of_coagulation
UniProtKB:P00734	Prothrombin		GO:0030194		BHF-UCL	NCBITaxon:9606	IDA		PANTHER:PTHR24254	protein	UniProtKB:P00734	PMID:9038223	20080425	F2	Homo sapiens	positive regulation of blood coagulation		positive_regulation_of_coagulation
UniProtKB:P00734	Prothrombin		GO:0051918		BHF-UCL	NCBITaxon:9606	TAS		PANTHER:PTHR24254	protein	UniProtKB:P00734	PMID:17379830	20100426	F2	Homo sapiens	negative regulation of fibrinolysis		positive_regulation_of_coagulation
UniProtKB:P00734	Prothrombin		GO:0030194		GO_Central	NCBITaxon:9606	IBA	PANTHER:PTN002799255,UniProtKB:P00734,UniProtKB:P00735,RGD:61996	PANTHER:PTHR24254	protein		GO_REF:0000033	20200207	F2	Homo sapiens	positive regulation of blood coagulation		positive_regulation_of_coagulation
UniProtKB:P07996	Thrombospondin-1		GO:0051918		BHF-UCL	NCBITaxon:9606	IDA		PANTHER:PTHR10199	protein	UniProtKB:P07996	PMID:6438154	20080928	THBS1	Homo sapiens	negative regulation of fibrinolysis		positive_regulation_of_coagulation
UniProtKB:Q9Y6C2	EMILIN-1		GO:0030194		ComplexPortal	NCBITaxon:9606	ISS	ComplexPortal:CPX-438	PANTHER:PTHR15427	protein	UniProtKB:Q9Y6C2	GO_REF:0000114	20240823	EMILIN1	Homo sapiens	positive regulation of blood coagulation		positive_regulation_of_coagulation
UniProtKB:Q9Y251	Heparanase		GO:0030194		UniProt	NCBITaxon:9606	IDA		PANTHER:PTHR46145	protein	UniProtKB:Q9Y251	PMID:20634491	20110815	HPSE	Homo sapiens	positive regulation of blood coagulation		positive_regulation_of_coagulation
UniProtKB:P49768	Presenilin-1		GO:0050820		Ensembl	NCBITaxon:9606	IEA	UniProtKB:P49769,ensembl:ENSMUSP00000098786	PANTHER:PTHR10202	protein	UniProtKB:P49768	GO_REF:0000107	20250313	PSEN1	Homo sapiens	positive regulation of coagulation		positive_regulation_of_coagulation
UniProtKB:Q11206	CMP-N-acetylneuraminate-beta-galactosamide-alpha-2,3-sialyltransferase 4		GO:0030194		UniProt	NCBITaxon:9606	ISS	UniProtKB:Q91Y74	PANTHER:PTHR13713	protein	UniProtKB:Q11206	GO_REF:0000024	20200915	ST3GAL4	Homo sapiens	positive regulation of blood coagulation		positive_regulation_of_coagulation
UniProtKB:Q11206	CMP-N-acetylneuraminate-beta-galactosamide-alpha-2,3-sialyltransferase 4		GO:0030194		Ensembl	NCBITaxon:9606	IEA	UniProtKB:Q91Y74,ensembl:ENSMUSP00000034537	PANTHER:PTHR13713	protein	UniProtKB:Q11206	GO_REF:0000107	20250313	ST3GAL4	Homo sapiens	positive regulation of blood coagulation		positive_regulation_of_coagulation
UniProtKB:P07204	Thrombomodulin		GO:0051918		BHF-UCL	NCBITaxon:9606	TAS		PANTHER:PTHR24036	protein	UniProtKB:P07204	PMID:17379830	20100426	THBD	Homo sapiens	negative regulation of fibrinolysis		positive_regulation_of_coagulation
UniProtKB:Q16236	Nuclear factor erythroid 2-related factor 2		GO:0030194		Ensembl	NCBITaxon:9606	IEA	UniProtKB:Q60795,ensembl:ENSMUSP00000099733	PANTHER:PTHR24411	protein	UniProtKB:Q16236	GO_REF:0000107	20250313	NFE2L2	Homo sapiens	positive regulation of blood coagulation		positive_regulation_of_coagulation
UniProtKB:Q9Y6X5	Bis(5'-adenosyl)-triphosphatase ENPP4		GO:0030194		UniProt	NCBITaxon:9606	IDA		PANTHER:PTHR10151	protein	UniProtKB:Q9Y6X5	PMID:22995898	20130903	ENPP4	Homo sapiens	positive regulation of blood coagulation		positive_regulation_of_coagulation
ComplexPortal:CPX-362	Heparanase complex		GO:0030194		ComplexPortal	NCBITaxon:9606	IDA			protein_complex		PMID:20634491	20241021	hpse_human-1	Homo sapiens	positive regulation of blood coagulation		positive_regulation_of_coagulation
UniProtKB:P13726	Tissue factor		GO:0002543		BHF-UCL	NCBITaxon:9606	IDA		PANTHER:PTHR20859	protein	UniProtKB:P13726	PMID:17469850	20250115	F3	Homo sapiens	activation of blood coagulation via clotting cascade		positive_regulation_of_coagulation
UniProtKB:P08709	Coagulation factor VII		GO:0030194		Ensembl	NCBITaxon:9606	IEA	UniProtKB:Q8K3U6,ensembl:ENSRNOP00000038466	PANTHER:PTHR24278	protein	UniProtKB:P08709	GO_REF:0000107	20250313	F7	Homo sapiens	positive regulation of blood coagulation		positive_regulation_of_coagulation
