"Input","Match type","Approved symbol","Approved name","HGNC ID","Location"
"MME","Approved symbol","MME","membrane metalloendopeptidase","HGNC:7154","3q25.2"
"DNAJB2","Approved symbol","DNAJB2","DnaJ heat shock protein family (Hsp40) member B2","HGNC:5228","2q35"
"RYR1","Approved symbol","RYR1","ryanodine receptor 1","HGNC:10483","19q13.2"
"ASPH","Approved symbol","ASPH","aspartate beta-hydroxylase","HGNC:757","8q12.3"
"HSPA1A","Approved symbol","HSPA1A","heat shock protein family A (Hsp70) member 1A","HGNC:5232","6p21.33"
"TNF","Approved symbol","TNF","tumor necrosis factor","HGNC:11892","6p21.33"
"IL1B","Approved symbol","IL1B","interleukin 1 beta","HGNC:5992","2q14.1"
"IL6","Approved symbol","IL6","interleukin 6","HGNC:6018","7p15.3"
"IL10","Approved symbol","IL10","interleukin 10","HGNC:5962","1q32.1"
"IL1A","Approved symbol","IL1A","interleukin 1 alpha","HGNC:5991","2q14.1"
"FOS","Approved symbol","FOS","Fos proto-oncogene, AP-1 transcription factor subunit","HGNC:3796","14q24.3"
"RELB","Approved symbol","RELB","RELB proto-oncogene, NF-kB subunit","HGNC:9956","19q13.32"
"JUN","Approved symbol","JUN","Jun proto-oncogene, AP-1 transcription factor subunit","HGNC:6204","1p32.1"
"NFKB1","Approved symbol","NFKB1","nuclear factor kappa B subunit 1","HGNC:7794","4q24"
"REL","Approved symbol","REL","REL proto-oncogene, NF-kB subunit","HGNC:9954","2p16.1"
"ALPL","Approved symbol","ALPL","alkaline phosphatase, biomineralization associated","HGNC:438","1p36.12"
"IL6R","Approved symbol","IL6R","interleukin 6 receptor","HGNC:6019","1q21.3"
"IL11RA","Approved symbol","IL11RA","interleukin 11 receptor subunit alpha","HGNC:5967","9p13.3"
"NFKB2","Approved symbol","NFKB2","nuclear factor kappa B subunit 2","HGNC:7795","10q24.32"
"RELA","Approved symbol","RELA","RELA proto-oncogene, NF-kB subunit","HGNC:9955","11q13.1"
"ABCC8","Approved symbol","ABCC8","ATP binding cassette subfamily C member 8","HGNC:59","11p15.1"
"KL","Approved symbol","KL","klotho","HGNC:6344","13q13.1"
"ACE","Approved symbol","ACE","angiotensin I converting enzyme","HGNC:2707","17q23.3"
"PLAT","Approved symbol","PLAT","plasminogen activator, tissue type","HGNC:9051","8p11.21"
"MMP9","Approved symbol","MMP9","matrix metallopeptidase 9","HGNC:7176","20q13.12"
"F2","Approved symbol","F2","coagulation factor II, thrombin","HGNC:3535","11p11.2"
"APOE","Approved symbol","APOE","apolipoprotein E","HGNC:613","19q13.32"
"MMP2","Approved symbol","MMP2","matrix metallopeptidase 2","HGNC:7166","16q12.2"
"F5","Approved symbol","F5","coagulation factor V","HGNC:3542","1q24.2"
"MTHFR","Approved symbol","MTHFR","methylenetetrahydrofolate reductase","HGNC:7436","1p36.22"
"NTRK2","Approved symbol","NTRK2","neurotrophic receptor tyrosine kinase 2","HGNC:8032","9q21.33"
"PRKCH","Approved symbol","PRKCH","protein kinase C eta","HGNC:9403","14q23.1"
"PLAU","Approved symbol","PLAU","plasminogen activator, urokinase","HGNC:9052","10q22.2"
"GPX3","Approved symbol","GPX3","glutathione peroxidase 3","HGNC:4555","5q33.1"
"PARK7","Approved symbol","PARK7","Parkinsonism associated deglycase","HGNC:16369","1p36.23"
"APOA5","Approved symbol","APOA5","apolipoprotein A5","HGNC:17288","11q23.3"
"LTA","Approved symbol","LTA","lymphotoxin alpha","HGNC:6709","6p21.33"
"PROS1","Approved symbol","PROS1","protein S","HGNC:9456","3q11.1"
"THBD","Approved symbol","THBD","thrombomodulin","HGNC:11784","20p11.21"
"F7","Approved symbol","F7","coagulation factor VII","HGNC:3544","13q34"
"PON1","Approved symbol","PON1","paraoxonase 1","HGNC:9204","7q21.3"
"PTGIS","Approved symbol","PTGIS","prostaglandin I2 synthase","HGNC:9603","20q13.13"
"CBS","Approved symbol","CBS","cystathionine beta-synthase","HGNC:1550","21q22.3"
"ALOX5AP","Approved symbol","ALOX5AP","arachidonate 5-lipoxygenase activating protein","HGNC:436","13q12.3"
"GRIN1","Approved symbol","GRIN1","glutamate ionotropic receptor NMDA type subunit 1","HGNC:4584","9q34.3"
"GRIN1","Alias symbol","GPRIN1","G protein regulated inducer of neurite outgrowth 1","HGNC:24835","5q35.2"
"PROC","Approved symbol","PROC","protein C, inactivator of coagulation factors Va and VIIIa","HGNC:9451","2q14.3"
"NPY","Approved symbol","NPY","neuropeptide Y","HGNC:7955","7p15.3"
"TBXAS1","Approved symbol","TBXAS1","thromboxane A synthase 1","HGNC:11609","7q34"
"ITGA9","Approved symbol","ITGA9","integrin subunit alpha 9","HGNC:6145","3p22.2"
"PON2","Approved symbol","PON2","paraoxonase 2","HGNC:9205","7q21.3"
"KCNN4","Approved symbol","KCNN4","potassium calcium-activated channel subfamily N member 4","HGNC:6293","19q13.31"
"NR1H3","Approved symbol","NR1H3","nuclear receptor subfamily 1 group H member 3","HGNC:7966","11p11.2"
"HLA-DRB1","Approved symbol","HLA-DRB1","major histocompatibility complex, class II, DR beta 1","HGNC:4948","6p21.32"
"IFNB1","Approved symbol","IFNB1","interferon beta 1","HGNC:5434","9p21.3"
"MTR","Approved symbol","MTR","5-methyltetrahydrofolate-homocysteine methyltransferase","HGNC:7468","1q43"
